"KCA197504110",62,"Debut game for Rod Scott"FILENAME_TX","LINE_NUMBER_CT"

"KCA197504120",78,"Debut game for Dan Ford"1975KCA.EVA.regular.comment.csv",2

"KCA197504140",17,"$Harmon Killebrew rounded 2B too far"1975KCA.EVA.regular.comment.csv",3

"KCA197504140",76,"$Hal McRae's takeout slide caused bad throw"1975KCA.EVA.regular.comment.csv",4

"KCA197504160",13,"425' HR"1975KCA.EVA.regular.comment.csv",5

"KCA197504160",47,"$ball four got by Gene Tenace"1975KCA.EVA.regular.comment.csv",6

"KCA197504260",42,"Debut game for Ozzie Osborn"1975KCA.EVA.regular.comment.csv",7

"KCA197505010",14,"ej,figue101,P,garcr901,Call at HP ej,rodre101,P,garcr901,Call at HP ej,willd104,M,garcr901,Call at HP Ed Figueroa, Ellie Rodriguez and Angels Manager Dick Williams ejected by HP umpire Rich Garcia"1975KCA.EVA.regular.comment.csv",8

"KCA197505010",132,"$Harmon Killebrew, stunned by the call at 1B on a close play, held the ball while Tommy Harper scored from 2B"1975KCA.EVA.regular.comment.csv",9

"KCA197505070",0,"1:38 rain delay before start of game"1975KCA.EVA.regular.comment.csv",10

"KCA197505070",40,"ej,martb105,M,sprim901,Fair/foul call $Rangers manager Martin ejected by 3B umpire Springstead for arguing that ball hit by McRae was foul"1975KCA.EVA.regular.comment.csv",11

"KCA197505110",59,"ej,bretg001,P,mccol901,Fighting ej,bevak001,P,mccol901,Fighting George Brett slid hard into 2B; he and Kurt Bevacqua came up fighting; both benches cleared; Brett and Bevacqua ejected by HP umpire Larry McCoy"1975KCA.EVA.regular.comment.csv",12

"KCA197505250",65,"ej,torrm001,P,bremn901,Bench jockeying Mike Torrez ejected by HP umpire Nick Bremigan"1975KCA.EVA.regular.comment.csv",13

"KCA197505260",61,"$Alex Johnson slid hard to break up DP, caused bad throw"1975KCA.EVA.regular.comment.csv",14

"KCA197505260",81,"$Cookie Rojas hurt head on Graig Nettles' foot making tag; left field on stretcher"1975KCA.EVA.regular.comment.csv",15

"KCA197505280",4,"28 minute rain delay"1975KCA.EVA.regular.comment.csv",16

"KCA197506110",27,"ej,robif103,M,lucir901,Checked swing Indians coach Tom McCraw objected to the checked swing call for strike three made by 1B umpire Ron Luciano; Indians Manager Frank Robinson ran out to get between them and was ejected by Luciano"1975KCA.EVA.regular.comment.csv",17

"KCA197506131",25,"ej,tianl101,P,goetr901,Balls and strikes (not in game) Luis Tiant ejected by HP umpire Russ Goetz"1975KCA.EVA.regular.comment.csv",18

"KCA197506170",42,"$Dave Collins rounded 1B bag too far"1975KCA.EVA.regular.comment.csv",19

"KCA197507080",70,"Debut game for Gary Martz"1975KCA.EVA.regular.comment.csv",20

"KCA197507090",43,"$Fran Healy faked throw to 2B and ran Darrell Porter down"1975KCA.EVA.regular.comment.csv",21

"KCA197507100",19,"$Freddie Patek injured on ground ball"1975KCA.EVA.regular.comment.csv",22

"KCA197507251",49,"Nelson Briles left with groin pull"1975KCA.EVA.regular.comment.csv",23

"KCA197508150",39,"390' HR"1975KCA.EVA.regular.comment.csv",24

"KCA197508150",50,"$Hal McRae rounded the bag too far"1975KCA.EVA.regular.comment.csv",25

"KCA197508160",21,"$Line drive struck Steve Busby on right elbow; taken to hospital"1975KCA.EVA.regular.comment.csv",26

"KCA197508240",34,"$George Brett, who was not running, scored when George Hendrick threw the ball over Alan Ashby's head"1975KCA.EVA.regular.comment.csv",27

"KCA197508261",47,"$Vada Pinson caught ball, slipped and dropped it"1975KCA.EVA.regular.comment.csv",28

"KCA197508262",43,"$Paul Blair advanced to 3B on deep fly; Amos Otis threw past George Brett; Steve Bubsy backed up the play"1975KCA.EVA.regular.comment.csv",29

"KCA197508270",55,"ej,herzw101,M,malog901,Call at 2B $Mark Belanger spiked on right shin; stitches required; Royals Manager Whitey Herzog ejected by 2B umpire George Maloney"1975KCA.EVA.regular.comment.csv",30

"KCA197508270",67,"ej,singk001,P,goetr901,Called third strike Ken Singleton ejected by HP umpire Russ Goetz"1975KCA.EVA.regular.comment.csv",31

"KCA197508270",75,"$Orioles pitcher Mike Torrez was enraged by the call at 1B and started to charge to 1B when he changed his mind"1975KCA.EVA.regular.comment.csv",32

"KCA197509121",40,"Debut game for Sid Monge"1975KCA.EVA.regular.comment.csv",33

"KCA197509122",8,"Debut game for Paul Dade"1975KCA.EVA.regular.comment.csv",34

"KCA197509122",9,"Debut game for Ron Jackson"1975KCA.EVA.regular.comment.csv",35

"KCA197509190",4,"$Bert Campaneris slipped, recovered, and threw low"1975KCA.EVA.regular.comment.csv",36

"KCA197509190",21,"$Phil Garner scored when Freddie Patek's throw hit him in back"1975KCA.EVA.regular.comment.csv",37

"KCA197509230",10,"$Doug Bird strained right shoulder on first pitch to Toby Harrah"1975KCA.EVA.regular.comment.csv",38

