"PHA192904230",0,"Windy","FILENAME_TX","LINE_NUMBER_CT"
"PHA192904230",1,"Cochrane: running catch at railing of WS1 dugout","1929PHA.EVA.regular.comment.csv",2
"PHA192904230",3,"Over RF wall","1929PHA.EVA.regular.comment.csv",3
"PHA192904230",8,"Hit scoreboard in deep CF on first bounce","1929PHA.EVA.regular.comment.csv",4
"PHA192904230",14,"Hit in the short ribs","1929PHA.EVA.regular.comment.csv",5
"PHA192904230",17,"Myer: good play","1929PHA.EVA.regular.comment.csv",6
"PHA192904230",19,"Myer: dazzling stop","1929PHA.EVA.regular.comment.csv",7
"PHA192904230",20,"Cochrane protested long and loud","1929PHA.EVA.regular.comment.csv",8
"PHA192904230",28,"Goslin: good catch","1929PHA.EVA.regular.comment.csv",9
"PHA192904230",30,"Out trying to scramble back to 1B","1929PHA.EVA.regular.comment.csv",10
"PHA192904230",44,"Over RF wall","1929PHA.EVA.regular.comment.csv",11
"PHA192904230",63,"Past Bluege","1929PHA.EVA.regular.comment.csv",12
"PHA192904230",64,"Goslin: diving catch; ball looked headed for the stands but the wind caught it and played tricks with it.","1929PHA.EVA.regular.comment.csv",13
"PHA192904230",80,"Hale: great play","1929PHA.EVA.regular.comment.csv",14
"PHA192904240",2,"Perfect hit & run; grounded through the spot just vacated by Bishop.","1929PHA.EVA.regular.comment.csv",15
"PHA192904240",8,"Judge ran back almost to the bullpen for a 1-handed catch","1929PHA.EVA.regular.comment.csv",16
"PHA192904240",19,"Goslin: good hustle","1929PHA.EVA.regular.comment.csv",17
"PHA192904240",22,"Bishop: great stop and peg","1929PHA.EVA.regular.comment.csv",18
"PHA192904240",32,"West misjudged it -- he started in but it sailed over him","1929PHA.EVA.regular.comment.csv",19
"PHA192904240",34,"Into upper deck, LF","1929PHA.EVA.regular.comment.csv",20
"PHA192904240",36,"Goslin and West collided; both went down in a heap","1929PHA.EVA.regular.comment.csv",21
"PHA192904240",40,"Hale deflected it","1929PHA.EVA.regular.comment.csv",22
"PHA192904240",50,"Rice lost it in the sun","1929PHA.EVA.regular.comment.csv",23
