"PIT201504140",55,"ej,hurdc001,M,rackd901,Balls and strikes Pirates Manager Clint Hurdle ejected by HP umpire David Rackley","FILENAME_TX","LINE_NUMBER_CT"
"PIT201504150",7,"replay,1,walkn001,PIT,laynj901,PIT08,,Y,M,DET,A $when Andrew McCutchen was called safe at 2B on a steal attempt, Tigers manager Brad Ausmus challenged the ruling; the call was overturned by replay","2015PIT.EVN.regular.comment.csv",2
"PIT201504150",59,"umpchange,9,umphome,davib902 umpchange,9,ump2b,(None) $a pitch glanced off the catcher's glove and struck HP umpire Jerry Layne on the mask; Layne left the game and 2B umpire Bob Davidson moved behind HP; there was confusion whether the pitch was a foul ball; after an umpire meeting, the pitch was ruled ball four","2015PIT.EVN.regular.comment.csv",3
"PIT201504190",19,"$originally scored as single, changed to E5 on 04-22-2015, creating an unearned run and removing an RBI","2015PIT.EVN.regular.comment.csv",4
"PIT201504190",50,"Pirates shortstop Jordy Mercer left the game due to an injured chest","2015PIT.EVN.regular.comment.csv",5
"PIT201504200",16,"$Jake Arrieta called for interference for running into his own batted ball","2015PIT.EVN.regular.comment.csv",6
"PIT201504200",40,"replay,5,montm001,CHN,westj901,PIT08,,Y,M,PIT,A replay,5,montm001,CHN,westj901,PIT08,,N,M,CHN,P $when Anthony Rizzo was called safe at HP, Pirates manager Clint Hurdle challenged the ruling; the call was overturned to out by replay; Cubs manager Joe Maddon challenged the ruling that catcher Francisco Cervelli blocked HP without the ball; the out call was upheld by replay","2015PIT.EVN.regular.comment.csv",7
"PIT201504210",61,"$when Kris Bryant was called out at HP, Cubs manager Joe Maddon challenged the ruling; the call was upheld by replay","2015PIT.EVN.regular.comment.csv",8
"PIT201504220",19,"Cubs center fielder Dexter Fowler left the game due to an injured groin","2015PIT.EVN.regular.comment.csv",9
"PIT201504220",44,"Pirates left fielder Starling Marte left the game due to an injured hand","2015PIT.EVN.regular.comment.csv",10
"PIT201505060",20,"ej,vottj001,P,conrc901,Balls and strikes [Threw equipment; bumped umpire] Reds first baseman Joey Votto ejected by HP umpire Chris Conroy; Votto threw his bat and helmet down after striking out and that was the cause; Votto had walked out to his position before he was told he had been ejected; Votto ran back to HP and bumped Conroy","2015PIT.EVN.regular.comment.csv",11
