"TOR201510080",19,"Rangers third baseman Adrian Beltre left the game due to back spasms"FILENAME_TX","LINE_NUMBER_CT"

"TOR201510080",28,"$Josh Donaldson struck on the head by Rougned Odor's leg"2015ALD2.EVE.post.comment.csv",2

"TOR201510080",40,"$Josh Donaldson left with a head injury"2015ALD2.EVE.post.comment.csv",3

"TOR201510080",63,"Blue Jays right fielder Jose Bautista left the game due to an injured leg"2015ALD2.EVE.post.comment.csv",4

"TOR201510090",12,"replay,2,gimec001,TEX,scotd901,TOR02,,N,M,TOR,A $when Rougned Odor was called safe at 3B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2015ALD2.EVE.post.comment.csv",5

"TOR201510090",106,"replay,14,gimec001,TEX,scotd901,TOR02,,N,M,TOR,A $when Rougned Odor was called safe at 2B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2015ALD2.EVE.post.comment.csv",6

"TEX201510120",67,"replay,8,donaj001,TOR,scotd901,ARL02,,N,M,TEX,A $when Ben Revere was called safe at 2B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"2015ALD2.EVE.post.comment.csv",7

"TOR201510140",13,"replay,2,deshd002,TEX,scotd901,TOR02,,N,M,TEX,A $when Elvis Andrus was called out at 3B, Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"2015ALD2.EVE.post.comment.csv",8

"TOR201510140",48,"$into the third deck"2015ALD2.EVE.post.comment.csv",9

"TOR201510140",54,"replay,7,choos001,TEX,scotd901,TOR02,,N,U,,Q ej,saunm001,P,carav901,Bench jockeying $with a 2-2 count, Russell Martin's return throw to pitcher Aaron Sanchez struck Shin-Soo Choo's left hand; he was holding his bat in front of him and the ball struck that hand; Rougned Odor scored but HP umpire Dale Scott called time and sent Odor back to 3B; Rangers manager Jeff Banister talked to Scott and the umpires huddled; Odor was allowed to score; fans threw beer cans and other trash onto the field; Scott requested a review on a rules check; the run was allowed and Blue Jays manager John Gibbons protested the game; the protest became moot when the Blue Jays won; Michael Saunders ejected by 3B umpire Vic Carapazza for yelling from the dugout"2015ALD2.EVE.post.comment.csv",10

"TOR201510140",59,"replay,7,reveb001,TOR,scotd901,TOR02,,N,M,TEX,P $when Dalton Pompey was called out at HP, he slid into catcher Chris Gimenez' legs, knocking down Gimenez; Pompey was not called for interference with Gimenez on the HP collision rule; Rangers manager Jeff Banister challenged the ruling; the call was upheld by replay"2015ALD2.EVE.post.comment.csv",11

"TOR201510140",61,"ej,buehm001,P,scotd901,Coming onto the field (not on roster) $Jose Bautista stood at HP admiring his homer and then made an elaborate bat flip; fans threw trash onto the field again; Edwin Encarnacion stood near HP before stepping into the batter's box; he was gesturing to the fans to stop throwing trash; pitcher Sam Dyson walked to HP and yelled at Encarnacion, thinking that Encarnacion was continuing Bautista's showboating; both benches cleared; Mark Buehrle ejected by HP umpire Dale Scott for coming on the field; Buehrle was not on the active roster and not allowed on the field"2015ALD2.EVE.post.comment.csv",12

"TOR201510140",64,"$Troy Tulowitzki stood at HP taking off his batting gloves; pitcher Sam Dyson walked to HP, spoke to Tulo and tapped him on the butt; Tulo took exception to this; Dyson continued walking to the dugout; as he did, Dyson said somthing else and waved off Tulo; both benches cleared again"2015ALD2.EVE.post.comment.csv",13

