"BAL198504280",56,"ej,altoj101,M,cousd901,Called third strike Orioles manager Joe Altobelli ejected by HP umpire Derryl Cousins","FILENAME_TX","LINE_NUMBER_CT"
"BAL198504280",70,"$Mel Hall picked off 2B; both runners at 2B after rundown","1985BAL.EVA.regular.comment.csv",2
"BAL198504280",79,"Debut game for Rich Thompson","1985BAL.EVA.regular.comment.csv",3
"BAL198505010",49,"$ball hit 3B umpire Tim Welke","1985BAL.EVA.regular.comment.csv",4
"BAL198505130",41,"$Willie Wilson stole on a pitch out","1985BAL.EVA.regular.comment.csv",5
"BAL198505130",68,"ej,altoj101,M,merrd901,Balls and strikes ej,roeng001,P,merrd901,Balls and strikes Gary Roenicke and Orioles manager Joe Altobelli ejected by HP umpire Durwood Merrill","1985BAL.EVA.regular.comment.csv",6
"BAL198505300",12,"$Mike Moore left with pulled groin","1985BAL.EVA.regular.comment.csv",7
"BAL198506010",69,"Safety squeeze","1985BAL.EVA.regular.comment.csv",8
"BAL198506020",12,"$Dusty Baker called for interference at 2B","1985BAL.EVA.regular.comment.csv",9
"BAL198506020",68,"Debut game for Charlie O'Brien","1985BAL.EVA.regular.comment.csv",10
"BAL198506030",49,"Suicide squeeze","1985BAL.EVA.regular.comment.csv",11
"BAL198506090",50,"$Wade Boggs rounded 2B too far","1985BAL.EVA.regular.comment.csv",12
"BAL198506150",28,"$Ben Oglivie rounded 3B too far","1985BAL.EVA.regular.comment.csv",13
"BAL198506160",46,"$Lynn's line drive hit second base umpire Terry Cooney on knee","1985BAL.EVA.regular.comment.csv",14
"BAL198506180",51,"$Rickey Henderson fell after rounding 3B","1985BAL.EVA.regular.comment.csv",15
"BAL198506190",19,"$runners had to wait to see if liner would be caught","1985BAL.EVA.regular.comment.csv",16
"BAL198507020",56,"27 minute rain delay","1985BAL.EVA.regular.comment.csv",17
"BAL198507030",34,"$John Grubb injured left heel on the play","1985BAL.EVA.regular.comment.csv",18
"BAL198507030",71,"Debut game for Al Pardo","1985BAL.EVA.regular.comment.csv",19
"BAL198507080",57,"36 minute rain delay","1985BAL.EVA.regular.comment.csv",20
"BAL198507080",73,"36 minute rain delay","1985BAL.EVA.regular.comment.csv",21
"BAL198507090",70,"$Nat Snell injured by line drive","1985BAL.EVA.regular.comment.csv",22
"BAL198507090",87,"36 minute rain delay","1985BAL.EVA.regular.comment.csv",23
"BAL198507130",51,"ej,fiskc001,P,morrd901,Balls and strikes ej,larut101,M,morrd901,Balls and strikes $Catcher Fisk and White Sox manager LaRussa ejected by HP umpire Morrison agruing balls and strikes after the home runr","1985BAL.EVA.regular.comment.csv",24
"BAL198507130",78,"$Eddie Murray let ball drop to get DP but ruled illegal","1985BAL.EVA.regular.comment.csv",25
"BAL198507290",26,"ej,lacyl001,P,brinj901,Balls and strikes Leon Lacy ejected by HP umpire Joe Brinkman","1985BAL.EVA.regular.comment.csv",26
"BAL198508130",45,"Rayford had 2 errors in game... guessing both on this play","1985BAL.EVA.regular.comment.csv",27
"BAL198508170",44,"DWS: check this play, may be FLE5","1985BAL.EVA.regular.comment.csv",28
"BAL198508170",52,"DWS: check this error","1985BAL.EVA.regular.comment.csv",29
"BAL198509020",77,"Debut game for Jose Canseco","1985BAL.EVA.regular.comment.csv",30
"BAL198509030",33,"$slug bunt past 3b","1985BAL.EVA.regular.comment.csv",31
"BAL198509070",88,"$Angels removed RF Ruppert Jones and put extra infielder between 1B and 2B","1985BAL.EVA.regular.comment.csv",32
"BAL198509070",89,"Debut game for Gus Polidor","1985BAL.EVA.regular.comment.csv",33
"BAL198509210",85,"ej,meacb001,P,brinj901,Call at 2B (Laughed at umpire) $Yankees Meacham ejected by 2B umpire Brinkman for laughing at at him after Hudler was called out on the steal attempt","1985BAL.EVA.regular.comment.csv",34
"BAL198510032",59,"$throw home pulled catcher off plate","1985BAL.EVA.regular.comment.csv",35
"BAL198510032",86,"$Marty Barrett called for interference for runnng his own bunt","1985BAL.EVA.regular.comment.csv",36
