"DET196304090",72,"Debut game for Dick Egan"FILENAME_TX","LINE_NUMBER_CT"

"DET196304090",76,"Debut game for Bob Dustal"1963DET.EVA.regular.comment.csv",2

"DET196304240",93,"$lights on 4:32"1963DET.EVA.regular.comment.csv",3

"DET196305030",73,"ej,hitcb101,M,honoj901,Balls and strikes $Orioles manager Hitchcock ejected by HP umpire Honochick for arguing ball called to Colavito"1963DET.EVA.regular.comment.csv",4

"DET196305110",72,"Debut game for Don Wert"1963DET.EVA.regular.comment.csv",5

"DET196305120",68,"Debut game for Mickey Lolich"1963DET.EVA.regular.comment.csv",6

"DET196306070",2,"$Phil Linz hurt right knee on steal attempt"1963DET.EVA.regular.comment.csv",7

"DET196306282",76,"ej,sadob101,P,soarh901,Called third strike ej,rignb101,M,soarh901,Called third strike Bob Sadowski and Angels Manager Bill Rigney ejected by HP umpire Hank Soar"1963DET.EVA.regular.comment.csv",8

"DET196307260",56,"Debut game for Alan Koch"1963DET.EVA.regular.comment.csv",9

"DET196308041",17,"Debut game for George Smith"1963DET.EVA.regular.comment.csv",10

"DET196308200",56,"previous two plays one play ej,batte101,P,hallb901,Call at HP ej,meles101,M,hallb901,Call at HP Earl Battey and Twins Manager Sam Mele ejected by HP umpire Bill Haller claiming that George Smith ran out of the baseline to score"1963DET.EVA.regular.comment.csv",11

"DET196308251",25,"ej,aguih101,P,carrh901,Balls and strikes Hank Aguirre ejected by HP umpire Sam Carrigan"1963DET.EVA.regular.comment.csv",12

"DET196309030",59,"18 minute rain delay"1963DET.EVA.regular.comment.csv",13

"DET196309150",52,"$Frank Lary called for interference for running into his own bunt"1963DET.EVA.regular.comment.csv",14

"DET196309200",17,"Debut game for John Sullivan"1963DET.EVA.regular.comment.csv",15

"DET196309210",1,"Debut game for Fritz Ackley Debut game for Denny McLain"1963DET.EVA.regular.comment.csv",16

"DET196309250",0,"ej,blacw801,C,papaj901,Bench jockeying Tigers Coach Wayne Blackburn ejected by HP umpire Joe Paparella sometime in game"1963DET.EVA.regular.comment.csv",17

