"OAK200704100",52,"$Scott Podsednik called for interference"FILENAME_TX","LINE_NUMBER_CT"

"OAK200704150",49,"Athletics pitcher Rich Harden left the game due to an injured neck/shoulder"2007OAK.EVA.regular.comment.csv",2

"OAK200705170",45,"Debut game for Connor Robertson"2007OAK.EVA.regular.comment.csv",3

"OAK200705180",60,"Athletics left fielder Shannon Stewart left the game due to an injured hand/wrist"2007OAK.EVA.regular.comment.csv",4

"OAK200705180",79,"ej,klins002,P,millb901,Balls and strikes ej,bochb002,M,millb901,Balls and strikes Giants pitcher Steve Kline & Mgr Bruce Bochy ejected by HP umpire Bill Miller for arguing balls and strikes"2007OAK.EVA.regular.comment.csv",5

"OAK200706010",1,"Debut game for Kevin Slowey"2007OAK.EVA.regular.comment.csv",6

"OAK200706020",7,"Athletics left fielder Travis Buck left the game due to an injured chest"2007OAK.EVA.regular.comment.csv",7

"OAK200706020",27,"Athletics right fielder Milton Bradley left the game due to an injured leg"2007OAK.EVA.regular.comment.csv",8

"OAK200706030",18,"$Mark Kotsay called for interference"2007OAK.EVA.regular.comment.csv",9

"OAK200706060",64,"ej,frant001,M,iassd901,Balls and strikes Red Sox Manager Terry Francona ejected by HP umpire Dan Iassogna"2007OAK.EVA.regular.comment.csv",10

"OAK200706070",63,"$first hit of game for Oakland with two out in ninth"2007OAK.EVA.regular.comment.csv",11

"OAK200706150",46,"Cardinals pitcher Braden Looper left the game due to an injured neck/shoulder"2007OAK.EVA.regular.comment.csv",12

"OAK200707040",25,"Blue Jays third baseman Troy Glaus left the game due to an injured foot/ankle"2007OAK.EVA.regular.comment.csv",13

"OAK200707040",69,"orginally scored E5/TH, changed next day to single"2007OAK.EVA.regular.comment.csv",14

"OAK200707080",57,"ej,blanj001,P,reint901,Pushing opposing player ej,batim001,P,reint901,Fighting $Pitcher Blanton ejected by HP umpire Reininger for pushing Ichiro (who had just scored) while trying to retrieve ball; Mariners Batista, not in game, also ejected by Reininger for fighting with Blanton"2007OAK.EVA.regular.comment.csv",15

"OAK200707170",70,"originally not SH, changed next day to add SH"2007OAK.EVA.regular.comment.csv",16

"OAK200707200",62,"Athletics Nick Swisher left the game due to an injured neck/shoulder"2007OAK.EVA.regular.comment.csv",17

"OAK200707310",73,"Tigers shortstop Carlos Guillen left the game due to an injured knee"2007OAK.EVA.regular.comment.csv",18

"OAK200708040",44,"Previous play was batter safe at first on dropped catch 6E1, then batter continued to second and runner from second scored"2007OAK.EVA.regular.comment.csv",19

"OAK200708170",46,"Athletics Travis Buck left the game due to an injured leg"2007OAK.EVA.regular.comment.csv",20

"OAK200708180",19,"$Joey Gathright called for interference"2007OAK.EVA.regular.comment.csv",21

"OAK200708180",39,"ej,gereb001,M,muchm901,Obstruction call on Mark Ellis $Mark Ellis and Joey Gathright made contact when Ellis tried to field the ground ball; Ellis wanted interference but was called for obstructing Gathright; Oakland Manager Bob Geren ejected by 2B umpire Mike Muchlinski, who had made the call; rule 10.12(c) requires an error be charged on the play but that ruling was changed later in the game to a single, probably due to Ellis' 81-game errorless streak"2007OAK.EVA.regular.comment.csv",22

"OAK200709150",66,"Debut game for Armando Galarraga"2007OAK.EVA.regular.comment.csv",23

"OAK200709160",6,"ej,swisn001,P,meric901,Brawl after intentional HBP ej,padiv001,P,meric901,Brawl after intentional HBP $Nick Swisher, who had hit three homers in the past three games and had been hit in the previous game, charged the mound and tackled Vicente Padilla; both benches cleared; during the melee, 2B umpire Tim Timmons was knocked to the ground; both Swisher and Padilla were ejected by HP umpire Chuck Meriwether"2007OAK.EVA.regular.comment.csv",24

"OAK200709160",84,"Debut game for Jerry Blevins"2007OAK.EVA.regular.comment.csv",25

