"PIT195304160",0,"$snow showers","FILENAME_TX","LINE_NUMBER_CT"
"PIT195304160",34,"hit and run","1953PIT.EVN.regular.comment.csv",2
"PIT195304160",77,"$hit top of railing in front of bullpen","1953PIT.EVN.regular.comment.csv",3
"PIT195304190",28,"$37 minute snow delay","1953PIT.EVN.regular.comment.csv",4
"PIT195304210",15,"$Wes Westrum spiked on hand by Danny O'Connell","1953PIT.EVN.regular.comment.csv",5
"PIT195304220",69,"ej,durol101,M,stewb901,Call at 2B (Appeal) ej,darka101,P,stewb901,Call at 2B (Appeal) $Dark and Giants manager Durocher ejected by 2B umpire Stewart arguing out on appeal for leaving 2B too soon","1953PIT.EVN.regular.comment.csv",6
"PIT195304300",8,"rain started","1953PIT.EVN.regular.comment.csv",7
"PIT195304300",14,"rain eased up","1953PIT.EVN.regular.comment.csv",8
"PIT195304300",32,"rain stopped","1953PIT.EVN.regular.comment.csv",9
"PIT195305210",54,"$Granny Hamner failed to touch 2B then threw wild to HP","1953PIT.EVN.regular.comment.csv",10
"PIT195305230",70,"to match daily/TSN, arbitrary 63 to 53","1953PIT.EVN.regular.comment.csv",11
"PIT195305280",51,"$Garagiola pulled muscle fouling off pitch and left game; Metkovich flied out on 1st pitch","1953PIT.EVN.regular.comment.csv",12
"PIT195305301",1,"4 minute rain delay; as the tarp was being put on the field, the umpires ordered play to resume","1953PIT.EVN.regular.comment.csv",13
"PIT195305302",9,"$the popup fell between three fielders","1953PIT.EVN.regular.comment.csv",14
"PIT195305302",43,"ej,bernc102,P,balll901,Balls and strikes Carlos Bernier ejected by HP umpire Lee Ballanfant","1953PIT.EVN.regular.comment.csv",15
"PIT195305302",75,"$Rube Walker injured","1953PIT.EVN.regular.comment.csv",16
"PIT195306040",7,"$ball rolled to flagpole in CF","1953PIT.EVN.regular.comment.csv",17
"PIT195306060",33,"$Vic Janowicz suffered bruised ribs in plate collision","1953PIT.EVN.regular.comment.csv",18
"PIT195306072",50,"previous two plays (+ fielding) conjecture","1953PIT.EVN.regular.comment.csv",19
"PIT195306100",69,"pbp account ends here, rest deduced","1953PIT.EVN.regular.comment.csv",20
"PIT195307051",67,"ej,burgs101,P,boggd901,Balls and strikes Smoky Burgess ejected by HP Umpire Dusty Boggess","1953PIT.EVN.regular.comment.csv",21
"PIT195307052",0,"Suspend=19530811,,0,7,37","1953PIT.EVN.regular.comment.csv",22
"PIT195307052",57,"umpchange,7,umphome,gormt101 umpchange,7,ump1b,donaa901 umpchange,7,ump2b,conlj102 umpchange,7,ump3b,warnl101 suspended,19530811,PIT06,curfew $Game suspended due to curfew and completed 8/11 with new umpires","1953PIT.EVN.regular.comment.csv",23
"PIT195307060",85,"ej,bowmr101,P,stewb901,Warning to pitcher ej,hanef101,M,stewb901,Warning to pitcher $HP umpire Bill Stewart warned Bob Schultz about throwing at Jim Gilliam and Duke Snider; Roger Bowman and Pirates Manager Fred Haney ejected by Stewart; fans threw cushions and trash onto the field","1953PIT.EVN.regular.comment.csv",24
"PIT195307072",15,"to match daily/TSN, arbitrary 64 to 54","1953PIT.EVN.regular.comment.csv",25
"PIT195307080",10,"DWS: bogus FLE2 but Westrum needs error this game","1953PIT.EVN.regular.comment.csv",26
"PIT195307180",28,"$480 ft into bullpen in LCF","1953PIT.EVN.regular.comment.csv",27
"PIT195307180",40,"$Eddie Mathews left with stomach disorder","1953PIT.EVN.regular.comment.csv",28
"PIT195307180",53,"$Johnny Liddle injured his right leg making the throw","1953PIT.EVN.regular.comment.csv",29
"PIT195307192",0,"Suspend=19530720,,4,6,31","1953PIT.EVN.regular.comment.csv",30
"PIT195307192",52,"suspended,19530720,PIT06,curfew $game suspended for Sunday curfew and completed the next day","1953PIT.EVN.regular.comment.csv",31
"PIT195307200",27,"to match daily/TSN, arbitrary 43 to 63","1953PIT.EVN.regular.comment.csv",32
"PIT195307210",67,"to match daily/TSN, arbitrary 63 to 43","1953PIT.EVN.regular.comment.csv",33
"PIT195307220",18,"to matchdaily/TSN, arbitrary 7 to 8","1953PIT.EVN.regular.comment.csv",34
"PIT195307230",46,"to match daily/TSN, arbitrary 7 to 8","1953PIT.EVN.regular.comment.csv",35
"PIT195307230",80,"to match daily, arbitrary 53 to 54","1953PIT.EVN.regular.comment.csv",36
"PIT195307250",37,"to match daily/TSN, arbitrary 53 to 6","1953PIT.EVN.regular.comment.csv",37
"PIT195308110",52,"$Richie Ashburn out before Ted Kazanski scored","1953PIT.EVN.regular.comment.csv",38
"PIT195308120",66,"$Johnny O'Brien fumbled the relay throw","1953PIT.EVN.regular.comment.csv",39
"PIT195308220",46,"to match daily/TSN, arbitrary K to K23","1953PIT.EVN.regular.comment.csv",40
"PIT195308220",57,"$Jim Gilliam injured left leg","1953PIT.EVN.regular.comment.csv",41
"PIT195308252",5,"to match daily/TSN, arbitrary 63 to 43","1953PIT.EVN.regular.comment.csv",42
"PIT195308280",34,"$Preston Ward overslid 3B on apparent triple","1953PIT.EVN.regular.comment.csv",43
"PIT195308280",40,"$off the LF light tower","1953PIT.EVN.regular.comment.csv",44
"PIT195309060",74,"$Frank Thomas juggled the ball; Earl Torgeson broke for 2B but he stopped and got in a rundown, allowing Richie Ashburn to score","1953PIT.EVN.regular.comment.csv",45
