"CHN200310070",34,"umpchange,4,umphp,reilm901 umpchange,4,umprf,(None) $HP umpire Jerry Crawford left game with unknown illness; RF umpire Mike Reilly moved to HP","FILENAME_TX","LINE_NUMBER_CT"
"CHN200310080",23,"$the ball struck the wall behind the CF camera hut and bounced back towards the field; estimated at 495 feet","2003NLCS.EVE.post.comment.csv",2
"FLO200310110",5,"$the first post-season grand slam by a Cub","2003NLCS.EVE.post.comment.csv",3
"CHN200310140",61,"$Luis Castillo hit a foul ball down the LF line at the stands where the ruling was that fan did not interfere with Moises Alou","2003NLCS.EVE.post.comment.csv",4
