"SFN201010080",13,"ej,cox-b103,M,emmep901,Call at 1B (Threw hat) $Braves Manager Bobby Cox ejected by 1B umpire Paul Emmel for throwing his hat","FILENAME_TX","LINE_NUMBER_CT"
"SFN201010080",79,"$Billy Wagner strained his oblique making the throw to 1B on the bunt","2010NLD2.EVE.post.comment.csv",2
"ATL201010110",0,"$the last game managed by Bobby Cox","2010NLD2.EVE.post.comment.csv",3
