"BSN194004160",13,"ej,phelb101,P,klemb901,Balls and strikes Babe Phelps ejected by HP umpire Bill Klem"FILENAME_TX","LINE_NUMBER_CT"

"BSN194004270",44,"$Max West rounded 2B too far"1940BSN.EVN.regular.comment.csv",2

"BSN194005110",7,"$Game delayed a short time as a dog ran on the field."1940BSN.EVN.regular.comment.csv",3

"BSN194005290",55,"ej,lopea102,P,dunnt901,Non-interference call at 1st $Atwood rounded the bag and unintentionally inteferred with the throw attempting to double off Bragan; the Bees argued strongly that Bragan should be sent back to first and catcher Lopez was ejected by 1b umpire Dunn"1940BSN.EVN.regular.comment.csv",4

"BSN194006140",8,"out on short PB"1940BSN.EVN.regular.comment.csv",5

"BSN194006171",24,"$Pep Young pulled a leg muscle swinging at a pitch and left with 0-2 count"1940BSN.EVN.regular.comment.csv",6

"BSN194006190",29,"$Rain started to fall."1940BSN.EVN.regular.comment.csv",7

"BSN194006190",34,"$45-minute rain delay"1940BSN.EVN.regular.comment.csv",8

"BSN194006190",47,"$Hassett started for 2B on the groundball then returned to first base following Fletcher's throw to Vaughn after the 43 putout."1940BSN.EVN.regular.comment.csv",9

"BSN194006220",48,"$missed bunt on squeeze try, but error on rundown"1940BSN.EVN.regular.comment.csv",10

"BSN194006231",7,"$Bowman badly spiked, left game"1940BSN.EVN.regular.comment.csv",11

"BSN194007050",79,"ej,kellg101,C,campb901,Incorrectly calling time ej,stenc101,M,campb901,Incorrectly calling time $as Joe Sullivan delivered a pitch to Dolph Camilli, HP umpire Bick Campbell turned and started to walk to the Bees bench; Camilli lined out to RF, but Campbell ruled time was out; Bees Coach High Pockets Kelly and Manager Casey Stengel ejected by Campbell for arguing Camilli should have been out on the fly to right"1940BSN.EVN.regular.comment.csv",12

"BSN194007050",118,"$Joe Medwick struck on the right wrist"1940BSN.EVN.regular.comment.csv",13

"BSN194007060",11,"arbitrary 8 to 7"1940BSN.EVN.regular.comment.csv",14

"BSN194007060",20,"arbitrary 63 to 6"1940BSN.EVN.regular.comment.csv",15

"BSN194007071",45,"arbitrary 13 to 3/G"1940BSN.EVN.regular.comment.csv",16

"BSN194007071",59,"arbtrary 13 to 43"1940BSN.EVN.regular.comment.csv",17

"BSN194007250",0,"2 RBI for Galan unavoidable"1940BSN.EVN.regular.comment.csv",18

"BSN194007290",36,"Grounder to SS who threw to 2nd but pulled 2B off bag 2B throw to 1st went into St Louis dugout, runners advanced"1940BSN.EVN.regular.comment.csv",19

"BSN194007300",41,"Hit into the Jury Box in RF"1940BSN.EVN.regular.comment.csv",20

"BSN194007311",66,"$Ccatcher dropped 3rd strike and fell down chasing batter to 1st; St Louis manager argued that runner was touched before catcher fell"1940BSN.EVN.regular.comment.csv",21

"BSN194007312",37,"Mize's 30th home run."1940BSN.EVN.regular.comment.csv",22

"BSN194008021",52,"This walk may have been intentional"1940BSN.EVN.regular.comment.csv",23

"BSN194008021",55,"It is unclear how and when Cooney was out on the bases."1940BSN.EVN.regular.comment.csv",24

"BSN194008022",60,"I believe this is where Hassett made his error."1940BSN.EVN.regular.comment.csv",25

"BSN194008031",0,"$Reds catcher Willard Hershberger, distraught that he 'called the wrong pitch' on the game-ending home run by the Giants Harry Danning on 7/31, did not show up at the park today and committed suicide in his hotel room"1940BSN.EVN.regular.comment.csv",26

"BSN194008031",42,"$Lonny Frey rounded 3B too far"1940BSN.EVN.regular.comment.csv",27

"BSN194008130",41,"ej,terrb101,M,mageg901,Call at 1B $Terry was ejected at the end of the inning for continuing to argue the first out of the inning."1940BSN.EVN.regular.comment.csv",28

"BSN194008150",14,"$Bill Posedel left with a sore right shoulder"1940BSN.EVN.regular.comment.csv",29

"BSN194008310",66,"$Umpire Reardon called the ball fair but inexplicably picked it up.  Batter was awarded 2nd. Phillies argued."1940BSN.EVN.regular.comment.csv",30

"BSN194009021",68,"$Braves manager Casey Stengel went to the mound and ostentatiously cleaned the rubber of dust with his hand"1940BSN.EVN.regular.comment.csv",31

"BSN194009121",32,"$Jimmy Brown injured by takeout slide"1940BSN.EVN.regular.comment.csv",32

"BSN194009122",64,"pbp account ends here, rest deduced"1940BSN.EVN.regular.comment.csv",33

"BSN194009140",72,"$West held up as Slaughter and Moore nearly collided on what should have been an easy catch so he only went to third"1940BSN.EVN.regular.comment.csv",34

"BSN194009170",12,"$This was Mel Preibisch's major-league debut"1940BSN.EVN.regular.comment.csv",35

