"BAL200804020",43,"Debut game for Randor Bierd","FILENAME_TX","LINE_NUMBER_CT"
"BAL200804050",60,"Previous two plays really one continuous action, must separate for now","2008BAL.EVA.regular.comment.csv",2
"BAL200804200",41,"Yankees third baseman Alex Rodriguez left the game due to a strained right quad","2008BAL.EVA.regular.comment.csv",3
"BAL200804300",48,"Debut game for Bob McCrory","2008BAL.EVA.regular.comment.csv",4
"BAL200805010",38,"Rays center fielder B. J. Upton left the game due to an injured neck/shoulder","2008BAL.EVA.regular.comment.csv",5
"BAL200805130",0,"$Boston manager Terry Francona away due to the death of his mother-in-law; team managed by bench coach Brad Mills","2008BAL.EVA.regular.comment.csv",6
"BAL200805130",27,"Red Sox right fielder J. D. Drew left the game due to a hyperextended left wrist","2008BAL.EVA.regular.comment.csv",7
"BAL200805130",52,"Red Sox center fielder Coco Crisp left with an upset stomach and headache","2008BAL.EVA.regular.comment.csv",8
"BAL200805130",77,"ej,ortid001,P,diazl901,Balls and strikes $Ortiz ducked out of the way of a high inside fastball; as he turned out of the way, he was ruled to have sent the bat across the plate; Ortiz protested and was ejected by HP umpire Laz Diaz","2008BAL.EVA.regular.comment.csv",9
"BAL200805140",0,"$Boston manager Terry Francona away due to the death of his mother-in-law; team managed by bench coach Brad Mills","2008BAL.EVA.regular.comment.csv",10
"BAL200805140",16,"Debut game for Jonathan Van Every","2008BAL.EVA.regular.comment.csv",11
"BAL200805140",30,"$Ramirez caught the ball on the run, climbed the wall, high-fived a fan in a Boston jersey, then threw the ball back to the infield","2008BAL.EVA.regular.comment.csv",12
"BAL200805170",48,"$Perez fielded the ball along the 1B line and threw a fast ball to Boone, who was hand-cuffed by the throw; 1B umpire DiMuro called Jones out and then safe as the ball got away from Boone; Jones threw his helmet down and then started towards CF to take his fielding position; meanwhile, 1B coach John Shelby yelled for Jones to get back on the bag; Boone picked up the ball and tagged Jones; DiMuro call him safe and then was overruled by HP umpire (and crew chief) McClelland; the play was ruled an error on Boone but changed the next day to a single","2008BAL.EVA.regular.comment.csv",13
"BAL200805170",55,"ej,florj002,P,mcclt901,Balls and strikes while catching Nationals catcher Jesus Flores ejected by HP umpire Tim McClelland","2008BAL.EVA.regular.comment.csv",14
"BAL200805270",40,"Yankees pitcher Ian Kennedy left the game due to an injured leg","2008BAL.EVA.regular.comment.csv",15
"BAL200805270",78,"$1:07 rain delay","2008BAL.EVA.regular.comment.csv",16
"BAL200805270",84,"Rain delay of 1:07","2008BAL.EVA.regular.comment.csv",17
"BAL200805300",11,"$Orioles catcher Ramon Hernandez could not find the ball, which went to the backstop","2008BAL.EVA.regular.comment.csv",18
"BAL200805300",13,"$Cora missed the bunt on a suicide squeeze","2008BAL.EVA.regular.comment.csv",19
