"NYN200204040",3,"$hit and run; Jason Kendall had passed 2B"FILENAME_TX","LINE_NUMBER_CT"

"NYN200204040",64,"Debut game for Satoru Komiyama"2002NYN.EVN.regular.comment.csv",2

"NYN200205090",57,"ej,bondb001,P,iassd901,Called third strike Barry Bonds ejected by HP umpire Dan Iassogna"2002NYN.EVN.regular.comment.csv",3

"NYN200205280",61,"hit and run"2002NYN.EVN.regular.comment.csv",4

"NYN200206140",86,"ej,ceder001,P,bellw901,Call at 1B Roger Cedeno ejected by 1B umpire Wally Bell"2002NYN.EVN.regular.comment.csv",5

"NYN200206150",17,"$first pitch a lob behind Clemens at knees; plate umpire Bell issued a warning to both benches"2002NYN.EVN.regular.comment.csv",6

"NYN200206150",21,"yes, score from 2B on SH $Clemens did not cover the plate"2002NYN.EVN.regular.comment.csv",7

"NYN200206150",52,"$Clemens hurt on double in top 6th"2002NYN.EVN.regular.comment.csv",8

"NYN200206210",78,"originally scored E5 all the way"2002NYN.EVN.regular.comment.csv",9

"NYN200206220",66,"Debut game for Aaron C. Guiel"2002NYN.EVN.regular.comment.csv",10

"NYN200207230",50,"$Vlad Guerrero injured shoulder hitting wall"2002NYN.EVN.regular.comment.csv",11

"NYN200207260",69,"$Jeromy Burnitz called for interference"2002NYN.EVN.regular.comment.csv",12

"NYN200207310",44,"ej,mannj001,P,poncl901,Intentional HBP Jim Mann ejected by HP umpire Larry Poncino"2002NYN.EVN.regular.comment.csv",13

"NYN200208032",7,"$Alomar left with sore groin"2002NYN.EVN.regular.comment.csv",14

"NYN200208040",78,"ej,brenb001,M,hudsm901,Call at 2B D-Backs Manager Bob Brenly ejected by 2B umpire Marvin Hudson arguing pickoff play at 2B"2002NYN.EVN.regular.comment.csv",15

"NYN200208150",48,"Lost in sun, originally scored as E5"2002NYN.EVN.regular.comment.csv",16

"NYN200208180",22,"ej,karre001,P,cedeg901,Called third strike Eric Karros ejected by HP umpire Gary Cederstrom"2002NYN.EVN.regular.comment.csv",17

"NYN200209010",58,"$Tarasco badly sprained his ankle as he hit 1B"2002NYN.EVN.regular.comment.csv",18

"NYN200209031",53,"Debut game for Esix Snead"2002NYN.EVN.regular.comment.csv",19

"NYN200209031",59,"Debut game for Abraham Nunez"2002NYN.EVN.regular.comment.csv",20

"NYN200209032",1,"Debut game for Justin Wayne"2002NYN.EVN.regular.comment.csv",21

"NYN200209040",69,"Debut game for Pedro Feliciano"2002NYN.EVN.regular.comment.csv",22

"NYN200209220",67,"originally scored E6, changed after game"2002NYN.EVN.regular.comment.csv",23

"NYN200209271",34,"ej,burnj001,P,nelsj901,Called third strike Jeromy Burnitz ejected by HP umpire Jeff Nelson"2002NYN.EVN.regular.comment.csv",24

"NYN200209272",6,"First pitch was pitchout and Snead was in rundown, safe back at first when 1st baseman dropped ball. No CS or error charged"2002NYN.EVN.regular.comment.csv",25

"NYN200209280",31,"Debut game for Andy Pratt"2002NYN.EVN.regular.comment.csv",26

"NYN200209290",73,"Debut game for Joey Dawley"2002NYN.EVN.regular.comment.csv",27

