"OAK200304190",53,"Debut game for Rosman Garcia"FILENAME_TX","LINE_NUMBER_CT"

"OAK200304260",11,"Debut game for Jody Gerut"2003OAK.EVA.regular.comment.csv",2

"OAK200305060",0,"10 minute delay during game"2003OAK.EVA.regular.comment.csv",3

"OAK200305220",13,"Twins Matthew LeCroy left the game due to an injured knee"2003OAK.EVA.regular.comment.csv",4

"OAK200306110",86,"Braves Roberto Hernandez left the game due to an injured leg"2003OAK.EVA.regular.comment.csv",5

"OAK200306190",1,"Debut game for Mario Ramos"2003OAK.EVA.regular.comment.csv",6

"OAK200306190",70,"Rangers Alex Rodriguez left the game with bloody nose. He dropped his glove too soon trying to make tag on Ellis on SB and throw hit him in the face"2003OAK.EVA.regular.comment.csv",7

"OAK200306210",17,"Debut game for Carlos Valderrama"2003OAK.EVA.regular.comment.csv",8

"OAK200306300",46,"ej,cirij001,P,gibsg901,Call at 1B (Threw helmet) $Jeff Cirillo dove into 1B and was ruled safe; the umpires then called him out for running about five feet outside the baseline; Cirillo threw his helmet onto the field as he stomped off to the bench; he was ejected by HP umpire Greg Gibson and then came back onto the field to argue with Gibson; manager Bob Melvin and SS Carlos Guillen restrained Cirillo"2003OAK.EVA.regular.comment.csv",9

"OAK200307030",0,"Protest=H"2003OAK.EVA.regular.comment.csv",10

"OAK200307030",35,"$1B umpire Greg Gibson ruled that the ball had struck Eric Byrnes' foot and was foul; Mariners manager Bob Melvin asked about the call so the umpires huddled and reversed the call to a fair ball and that Byrnes was out; Athletics manager Ken Macha protested the game"2003OAK.EVA.regular.comment.csv",11

"OAK200307040",47,"ej,sciom001,M,fostm901,Balls and strikes Angels Manager Mike Scioscia ejected by HP umpire Marty Foster"2003OAK.EVA.regular.comment.csv",12

"OAK200307050",30,"$Jose Molina called for interference for running into his own bunt"2003OAK.EVA.regular.comment.csv",13

"OAK200307060",44,"Athletics Jermaine Dye left the game due to an injured neck/shoulder"2003OAK.EVA.regular.comment.csv",14

"OAK200307290",61,"ej,bradm001,P,froeb901,Called third strike Indians Milton Bradley ejected by HP umpire Bruce Froemming after throwing his bat and helmet towards the umpire after his strikeout; Bradley said that Froemming 'took the bat out of my hands so I was giving it to him'"2003OAK.EVA.regular.comment.csv",15

"OAK200308120",50,"ej,nixot001,P,iassd901,Called third strike ej,littg801,M,iassd901,Called third strike Red Sox Trot Nixon and Manager Grady Little ejected by HP umpire Dan Iassogna"2003OAK.EVA.regular.comment.csv",16

"OAK200308160",53,"Hudson hit on right hand, left with bruise"2003OAK.EVA.regular.comment.csv",17

"OAK200308310",37,"ej,mclaj801,C,brinj901,Check swing ej,elial101,C,cousd901,Check swing $Tampa Bay coaches McLaren and Elia were ejected by 1B umpire Brinkman and 3B umpire Cousins, respectively, for arguing check swing on ball 4; tray of gum and candy thrown onto field"2003OAK.EVA.regular.comment.csv",18

"OAK200308310",63,"ej,gonzj003,P,brinj901,Check swing (threw food onto field) $Devil Rays pitcher Gonzalez ejected by 1B umpire Brinkman for continuing argument about check swing from 5th inning; he threw a bucket of sunflower seeds onto the field"2003OAK.EVA.regular.comment.csv",19

"OAK200309090",1,"Debut game for Chris Bootcheck"2003OAK.EVA.regular.comment.csv",20

"OAK200309200",72,"Debut game for Mike Edwards"2003OAK.EVA.regular.comment.csv",21

"OAK200309200",85,"Debut game for Graham Koonce"2003OAK.EVA.regular.comment.csv",22

