"CHA199604110",61,"umpchange,7,ump2b,(None) $2B umpire Voltaggio left after injuring knee running into center field to follow fly ball","FILENAME_TX","LINE_NUMBER_CT"
"CHA199605090",72,"ej,bevit801,M,evanj901,Balls and strikes White Sox manager Terry Bevington ejected by HP umpire Jim Evans sometime in ninth inning","1996CHA.EVA.regular.comment.csv",2
"CHA199606220",51,"Debut game for Alan Levine","1996CHA.EVA.regular.comment.csv",3
"CHA199607180",26,"ej,tuckm001,P,reedr901,Called third strike Michael Tucker ejected by HP umpire Rick Reed","1996CHA.EVA.regular.comment.csv",4
"CHA199607240",17,"Debut game for Robert Machado","1996CHA.EVA.regular.comment.csv",5
"CHA199607240",18,"Darrin Lewis called for interference","1996CHA.EVA.regular.comment.csv",6
"CHA199607260",62,"Debut game for Danny Patterson","1996CHA.EVA.regular.comment.csv",7
"CHA199608220",45,"game called for rain","1996CHA.EVA.regular.comment.csv",8
"CHA199608270",73,"ej,bevit801,M,barnl901,Call at 2B $White Sox manager Bevington ejected by 2B umpire Barnett for arguing that Durham was safe at 2nd","1996CHA.EVA.regular.comment.csv",9
"CHA199609040",41,"Debut game for Trever Miller","1996CHA.EVA.regular.comment.csv",10
"CHA199609060",88,"Debut game for Mike Robertson","1996CHA.EVA.regular.comment.csv",11
