"PIT199110090",50,"$Doug Drabek injured on play","FILENAME_TX","LINE_NUMBER_CT"
"ATL199110140",28,"$Brian Hunter called for interference with catcher Don Slaught","1991NLCS.EVE.post.comment.csv",2
"ATL199110140",30,"$David Justice missed 3B; out on appeal","1991NLCS.EVE.post.comment.csv",3
