"CHN201804100",8,"$Pirates challenged call that Contreras was safe at 3rd; call was overturned - out at third"FILENAME_TX","LINE_NUMBER_CT"
"CHN201807060",69,"Mound Visit"2018CHN.EVN.regular.comment.csv",44

"CHN201807060",74,"Mound Visit"2018CHN.EVN.regular.comment.csv",45

"CHN201807070",5,"Mound Visit"2018CHN.EVN.regular.comment.csv",46

"CHN201807070",19,"Mound Visit"2018CHN.EVN.regular.comment.csv",47

"CHN201807070",31,"$Jason Heyward left with an injured groin"2018CHN.EVN.regular.comment.csv",48

"CHN201807070",45,"Mound Visit"2018CHN.EVN.regular.comment.csv",49

"CHN201807070",52,"Mound Visit"2018CHN.EVN.regular.comment.csv",50

"CHN201807070",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",51

"CHN201807070",63,"Mound Visit"2018CHN.EVN.regular.comment.csv",52

"CHN201807070",69,"Mound Visit"2018CHN.EVN.regular.comment.csv",53

"CHN201807070",78,"Mound Visit"2018CHN.EVN.regular.comment.csv",54

"CHN201807070",79,"Mound Visit"2018CHN.EVN.regular.comment.csv",55

"CHN201807070",82,"Mound Visit"2018CHN.EVN.regular.comment.csv",56

"CHN201807080",27,"Mound Visit"2018CHN.EVN.regular.comment.csv",57

"CHN201807080",29,"Mound Visit"2018CHN.EVN.regular.comment.csv",58

"CHN201807080",32,"Mound Visit"2018CHN.EVN.regular.comment.csv",59

"CHN201807080",52,"Mound Visit"2018CHN.EVN.regular.comment.csv",60

"CHN201807080",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",61

"CHN201807080",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",62

"CHN201807080",63,"Mound Visit"2018CHN.EVN.regular.comment.csv",63

"CHN201807080",64,"Mound Visit"2018CHN.EVN.regular.comment.csv",64

"CHN201807080",65,"Injury Delay"2018CHN.EVN.regular.comment.csv",65

"CHN201807080",79,"Mound Visit"2018CHN.EVN.regular.comment.csv",66

"CHN201807080",81,"$Cubs challenged call that Bote was out at home; call was upheld - force out"2018CHN.EVN.regular.comment.csv",67

"CHN201807080",88,"Mound Visit"2018CHN.EVN.regular.comment.csv",68

"CHN201807080",90,"$Umpire review of play on Russell; call was overturned - safe on error"2018CHN.EVN.regular.comment.csv",69

"CHN201807190",27,"Mound Visit"2018CHN.EVN.regular.comment.csv",70

"CHN201807190",39,"Mound Visit"2018CHN.EVN.regular.comment.csv",71

"CHN201807190",41,"Mound Visit"2018CHN.EVN.regular.comment.csv",72

"CHN201807190",46,"Mound Visit"2018CHN.EVN.regular.comment.csv",73

"CHN201807190",54,"Mound Visit"2018CHN.EVN.regular.comment.csv",74

"CHN201807190",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",75

"CHN201807190",72,"Mound Visit"2018CHN.EVN.regular.comment.csv",76

"CHN201807190",73,"Mound Visit"2018CHN.EVN.regular.comment.csv",77

"CHN201807190",79,"Injury Delay"2018CHN.EVN.regular.comment.csv",78

"CHN201807190",86,"Mound Visit"2018CHN.EVN.regular.comment.csv",79

"CHN201807200",8,"On-field Delay"2018CHN.EVN.regular.comment.csv",80

"CHN201807200",14,"Mound Visit"2018CHN.EVN.regular.comment.csv",81

"CHN201807200",16,"Mound Visit"2018CHN.EVN.regular.comment.csv",82

"CHN201807200",29,"Mound Visit"2018CHN.EVN.regular.comment.csv",83

"CHN201807200",34,"Mound Visit"2018CHN.EVN.regular.comment.csv",84

"CHN201807200",35,"Mound Visit"2018CHN.EVN.regular.comment.csv",85

"CHN201807200",38,"Mound Visit"2018CHN.EVN.regular.comment.csv",86

"CHN201807200",53,"Mound Visit"2018CHN.EVN.regular.comment.csv",87

"CHN201807200",59,"Mound Visit"2018CHN.EVN.regular.comment.csv",88

"CHN201807200",75,"Mound Visit"2018CHN.EVN.regular.comment.csv",89

"CHN201807200",76,"Mound Visit"2018CHN.EVN.regular.comment.csv",90

"CHN201807211",10,"Mound Visit"2018CHN.EVN.regular.comment.csv",91

"CHN201807211",27,"Injury Delay $Cardinals challenged call that Baez was safe at first; call was overturned - out on sacrifice"2018CHN.EVN.regular.comment.csv",92

"CHN201807211",28,"Mound Visit"2018CHN.EVN.regular.comment.csv",93

"CHN201807211",40,"Mound Visit"2018CHN.EVN.regular.comment.csv",94

"CHN201807211",42,"Mound Visit"2018CHN.EVN.regular.comment.csv",95

"CHN201807211",46,"Mound Visit"2018CHN.EVN.regular.comment.csv",96

"CHN201807211",51,"Mound Visit"2018CHN.EVN.regular.comment.csv",97

"CHN201807211",59,"Mound Visit"2018CHN.EVN.regular.comment.csv",98

"CHN201807211",65,"Mound Visit"2018CHN.EVN.regular.comment.csv",99

"CHN201807211",68,"Mound Visit"2018CHN.EVN.regular.comment.csv",100

"CHN201807212",4,"Mound Visit"2018CHN.EVN.regular.comment.csv",101

"CHN201807212",34,"Mound Visit"2018CHN.EVN.regular.comment.csv",102

"CHN201807212",41,"Mound Visit"2018CHN.EVN.regular.comment.csv",103

"CHN201807212",43,"ej,baezj001,P,littw901,Balls and strikes ej,maddj801,M,littw901,Balls and strikes $Baez and Cubs manager Maddon ejected by HP umpire Little for arguing half swing strike 3"2018CHN.EVN.regular.comment.csv",104

"CHN201807212",52,"Mound Visit"2018CHN.EVN.regular.comment.csv",105

"CHN201807212",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",106

"CHN201807212",68,"Mound Visit Injury Delay"2018CHN.EVN.regular.comment.csv",107

"CHN201807212",69,"Mound Visit $Cubs challenged call that Pham was safe at first on pickoff attempt after 4th pitch; call was upheld - safe on pickoff attempt"2018CHN.EVN.regular.comment.csv",108

"CHN201807212",77,"Mound Visit"2018CHN.EVN.regular.comment.csv",109

"CHN201807212",81,"Mound Visit"2018CHN.EVN.regular.comment.csv",110

"CHN201807220",47,"Mound Visit"2018CHN.EVN.regular.comment.csv",111

"CHN201807220",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",112

"CHN201807220",59,"Mound Visit"2018CHN.EVN.regular.comment.csv",113

"CHN201807220",60,"Injury Delay"2018CHN.EVN.regular.comment.csv",114

"CHN201807220",72,"Mound Visit"2018CHN.EVN.regular.comment.csv",115

"CHN201807220",75,"Mound Visit"2018CHN.EVN.regular.comment.csv",116

"CHN201807220",78,"Mound Visit"2018CHN.EVN.regular.comment.csv",117

"CHN201807230",4,"Injury Delay"2018CHN.EVN.regular.comment.csv",118

"CHN201807230",29,"Mound Visit Mound Visit"2018CHN.EVN.regular.comment.csv",119

"CHN201807230",51,"$Diamondbacks challenged call that Goldschmidt was out at 1st; call was upheld - ground out"2018CHN.EVN.regular.comment.csv",120

"CHN201807230",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",121

"CHN201807230",64,"Mound Visit"2018CHN.EVN.regular.comment.csv",122

"CHN201807230",70,"Mound Visit"2018CHN.EVN.regular.comment.csv",123

"CHN201807240",18,"Mound Visit"2018CHN.EVN.regular.comment.csv",124

"CHN201807240",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",125

"CHN201807240",72,"Mound Visit"2018CHN.EVN.regular.comment.csv",126

"CHN201807240",72,"On-field Delay"2018CHN.EVN.regular.comment.csv",127

"CHN201807250",28,"Mound Visit"2018CHN.EVN.regular.comment.csv",128

"CHN201807250",30,"$Diamondbacks challenged call that Zobrist was out at third; call was overturned - out returning to base"2018CHN.EVN.regular.comment.csv",129

"CHN201807250",44,"Mound Visit"2018CHN.EVN.regular.comment.csv",130

"CHN201807250",54,"$Originally scored as single plus error, changed to error all the way on 08-01-2018; runs remain unearned"2018CHN.EVN.regular.comment.csv",131

"CHN201807250",55,"Mound Visit"2018CHN.EVN.regular.comment.csv",132

"CHN201807250",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",133

"CHN201807250",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",134

"CHN201807260",3,"$Cubs challenged call that Pollock was hit by pitch; call was overturned - foul tip strike three"2018CHN.EVN.regular.comment.csv",135

"CHN201807260",11,"Mound Visit"2018CHN.EVN.regular.comment.csv",136

"CHN201807260",12,"Mound Visit"2018CHN.EVN.regular.comment.csv",137

"CHN201807260",18,"Mound Visit"2018CHN.EVN.regular.comment.csv",138

"CHN201807260",22,"$Jake Lamb left with an injured shoulder"2018CHN.EVN.regular.comment.csv",139

"CHN201807260",37,"Mound Visit"2018CHN.EVN.regular.comment.csv",140

"CHN201807260",38,"Mound Visit"2018CHN.EVN.regular.comment.csv",141

"CHN201807260",40,"Mound Visit"2018CHN.EVN.regular.comment.csv",142

"CHN201807260",47,"Mound Visit"2018CHN.EVN.regular.comment.csv",143

"CHN201807260",54,"Injury Delay"2018CHN.EVN.regular.comment.csv",144

"CHN201807260",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",145

"CHN201807260",61,"$Diamondbacks challenged call that Marte was out at second; call was upheld - single and out stretching"2018CHN.EVN.regular.comment.csv",146

"CHN201807260",80,"Mound Visit"2018CHN.EVN.regular.comment.csv",147

"CHN201808020",38,"$Cubs challenged call that Contreras was out at home; call was overturned - force out, safe at home"2018CHN.EVN.regular.comment.csv",148

