"CHN201804100",8,"$Pirates challenged call that Contreras was safe at 3rd; call was overturned - out at third"FILENAME_TX","LINE_NUMBER_CT"
"CHN201809110",63,"$Brewers challenged call that Braun was out at 1st; call was upheld - ground out"2018CHN.EVN.regular.comment.csv",292

"CHN201809120",1,"On-field Delay $Umpire review of Granderson's hit; call was overturned - triple, not home run"2018CHN.EVN.regular.comment.csv",293

"CHN201809120",17,"Mound Visit"2018CHN.EVN.regular.comment.csv",294

"CHN201809120",32,"Mound Visit"2018CHN.EVN.regular.comment.csv",295

"CHN201809120",40,"Mound Visit"2018CHN.EVN.regular.comment.csv",296

"CHN201809120",54,"Mound Visit"2018CHN.EVN.regular.comment.csv",297

"CHN201809120",61,"Mound Visit"2018CHN.EVN.regular.comment.csv",298

"CHN201809120",64,"Mound Visit"2018CHN.EVN.regular.comment.csv",299

"CHN201809120",71,"Mound Visit"2018CHN.EVN.regular.comment.csv",300

"CHN201809120",76,"Mound Visit"2018CHN.EVN.regular.comment.csv",301

"CHN201809120",78,"Mound Visit"2018CHN.EVN.regular.comment.csv",302

"CHN201809140",28,"Mound Visit"2018CHN.EVN.regular.comment.csv",303

"CHN201809140",32,"$Cubs challenged call that Baez was out at 2nd, call was overturned - fielder's choice, all safe"2018CHN.EVN.regular.comment.csv",304

"CHN201809140",50,"Injury Delay"2018CHN.EVN.regular.comment.csv",305

"CHN201809140",52,"Mound Visit"2018CHN.EVN.regular.comment.csv",306

"CHN201809140",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",307

"CHN201809140",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",308

"CHN201809140",61,"Mound Visit"2018CHN.EVN.regular.comment.csv",309

"CHN201809140",70,"Mound Visit Mound Visit"2018CHN.EVN.regular.comment.csv",310

"CHN201809140",71,"Mound Visit"2018CHN.EVN.regular.comment.csv",311

"CHN201809150",1,"Injury Delay"2018CHN.EVN.regular.comment.csv",312

"CHN201809150",42,"$Cubs challenged call that Hamilton was safe at 3rd; call was overturned - out on caught stealing"2018CHN.EVN.regular.comment.csv",313

"CHN201809150",51,"Mound Visit"2018CHN.EVN.regular.comment.csv",314

"CHN201809150",63,"Mound Visit Mound Visit"2018CHN.EVN.regular.comment.csv",315

"CHN201809150",64,"Mound Visit"2018CHN.EVN.regular.comment.csv",316

"CHN201809160",6,"Mound Visit"2018CHN.EVN.regular.comment.csv",317

"CHN201809160",32,"Mound Visit"2018CHN.EVN.regular.comment.csv",318

"CHN201809160",42,"Mound Visit"2018CHN.EVN.regular.comment.csv",319

"CHN201809160",43,"Mound Visit"2018CHN.EVN.regular.comment.csv",320

"CHN201809160",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",321

"CHN201809240",39,"Mound Visit"2018CHN.EVN.regular.comment.csv",322

"CHN201809240",42,"Mound Visit"2018CHN.EVN.regular.comment.csv",323

"CHN201809240",47,"Mound Visit"2018CHN.EVN.regular.comment.csv",324

"CHN201809240",49,"Mound Visit"2018CHN.EVN.regular.comment.csv",325

"CHN201809240",53,"Mound Visit"2018CHN.EVN.regular.comment.csv",326

"CHN201809240",60,"Mound Visit"2018CHN.EVN.regular.comment.csv",327

"CHN201809240",68,"Mound Visit"2018CHN.EVN.regular.comment.csv",328

"CHN201809250",11,"Mound Visit"2018CHN.EVN.regular.comment.csv",329

"CHN201809250",34,"Injury Delay"2018CHN.EVN.regular.comment.csv",330

"CHN201809250",36,"Mound Visit"2018CHN.EVN.regular.comment.csv",331

"CHN201809250",39,"Mound Visit"2018CHN.EVN.regular.comment.csv",332

"CHN201809250",40,"Mound Visit"2018CHN.EVN.regular.comment.csv",333

"CHN201809250",44,"$Kris Bryant left with an injured wrist"2018CHN.EVN.regular.comment.csv",334

"CHN201809250",47,"Mound Visit"2018CHN.EVN.regular.comment.csv",335

"CHN201809250",50,"Mound Visit"2018CHN.EVN.regular.comment.csv",336

"CHN201809250",54,"Mound Visit $Cubs challenged call that Baez was out at 1st; call was overturned - single"2018CHN.EVN.regular.comment.csv",337

"CHN201809250",66,"Mound Visit"2018CHN.EVN.regular.comment.csv",338

"CHN201809250",70,"Mound Visit"2018CHN.EVN.regular.comment.csv",339

"CHN201809260",21,"Mound Visit"2018CHN.EVN.regular.comment.csv",340

"CHN201809260",22,"$Pirates challenged call that foul hit by Heyward on 3rd pitch hit the backstop screen before catcher caught it; call was upheld - foul ball"2018CHN.EVN.regular.comment.csv",341

"CHN201809260",24,"Mound Visit"2018CHN.EVN.regular.comment.csv",342

"CHN201809260",49,"Mound Visit"2018CHN.EVN.regular.comment.csv",343

"CHN201809260",63,"Mound Visit"2018CHN.EVN.regular.comment.csv",344

"CHN201809260",64,"Mound Visit"2018CHN.EVN.regular.comment.csv",345

"CHN201809260",76,"Mound Visit"2018CHN.EVN.regular.comment.csv",346

"CHN201809260",78,"Mound Visit"2018CHN.EVN.regular.comment.csv",347

"CHN201809260",79,"Mound Visit"2018CHN.EVN.regular.comment.csv",348

"CHN201809260",84,"Mound Visit"2018CHN.EVN.regular.comment.csv",349

"CHN201809260",88,"Mound Visit"2018CHN.EVN.regular.comment.csv",350

"CHN201809270",4,"Mound Visit"2018CHN.EVN.regular.comment.csv",351

"CHN201809270",5,"Mound Visit"2018CHN.EVN.regular.comment.csv",352

"CHN201809270",16,"Mound Visit"2018CHN.EVN.regular.comment.csv",353

"CHN201809270",20,"Mound Visit"2018CHN.EVN.regular.comment.csv",354

"CHN201809270",33,"Mound Visit"2018CHN.EVN.regular.comment.csv",355

"CHN201809270",62,"Mound Visit"2018CHN.EVN.regular.comment.csv",356

"CHN201809280",43,"Mound Visit"2018CHN.EVN.regular.comment.csv",357

"CHN201809280",47,"Mound Visit"2018CHN.EVN.regular.comment.csv",358

"CHN201809280",51,"Mound Visit"2018CHN.EVN.regular.comment.csv",359

"CHN201809280",52,"Mound Visit $Cubs challenged call that Bader was safe at 1st; call was upheld - safe on error"2018CHN.EVN.regular.comment.csv",360

"CHN201809280",56,"Mound Visit On-field Delay Injury Delay"2018CHN.EVN.regular.comment.csv",361

"CHN201809280",56,"$Bud Norris left with an injured leg"2018CHN.EVN.regular.comment.csv",362

"CHN201809280",63,"Mound Visit"2018CHN.EVN.regular.comment.csv",363

"CHN201809280",67,"Mound Visit"2018CHN.EVN.regular.comment.csv",364

"CHN201809280",68,"On-field Delay $Umpire review to see it runner on 1st were past 2nd when throw was made; call was upheld - runner on 1st to 3rd"2018CHN.EVN.regular.comment.csv",365

"CHN201809280",70,"Mound Visit"2018CHN.EVN.regular.comment.csv",366

"CHN201809290",25,"Mound Visit"2018CHN.EVN.regular.comment.csv",367

"CHN201809300",20,"Mound Visit"2018CHN.EVN.regular.comment.csv",368

"CHN201809300",22,"Injury Delay"2018CHN.EVN.regular.comment.csv",369

"CHN201809300",27,"Mound Visit"2018CHN.EVN.regular.comment.csv",370

"CHN201809300",31,"Mound Visit"2018CHN.EVN.regular.comment.csv",371

"CHN201809300",42,"Mound Visit"2018CHN.EVN.regular.comment.csv",372

"CHN201809300",46,"Mound Visit"2018CHN.EVN.regular.comment.csv",373

"CHN201809300",50,"On-field Delay"2018CHN.EVN.regular.comment.csv",374

"CHN201809300",53,"Mound Visit"2018CHN.EVN.regular.comment.csv",375

"CHN201809300",57,"Mound Visit"2018CHN.EVN.regular.comment.csv",376

"CHN201809300",62,"Mound Visit"2018CHN.EVN.regular.comment.csv",377

"CHN201809300",71,"Mound Visit"2018CHN.EVN.regular.comment.csv",378

"CHN201809300",72,"Mound Visit"2018CHN.EVN.regular.comment.csv",379

"CHN201809300",80,"Mound Visit"2018CHN.EVN.regular.comment.csv",380

"CHN201810010",31,"Mound Visit"2018CHN.EVN.regular.comment.csv",381

"CHN201810010",37,"Mound Visit"2018CHN.EVN.regular.comment.csv",382

"CHN201810010",41,"Mound Visit"2018CHN.EVN.regular.comment.csv",383

"CHN201810010",43,"Mound Visit"2018CHN.EVN.regular.comment.csv",384

"CHN201810010",51,"Injury Delay"2018CHN.EVN.regular.comment.csv",385

"CHN201810010",52,"Mound Visit"2018CHN.EVN.regular.comment.csv",386

"CHN201810010",53,"Mound Visit"2018CHN.EVN.regular.comment.csv",387

"CHN201810010",54,"Mound Visit"2018CHN.EVN.regular.comment.csv",388

"CHN201810010",69,"Mound Visit"2018CHN.EVN.regular.comment.csv",389

