"ATL200210020",56,"$Chris Hammond left due to neck spasms suffered during play on Rich Aurilia","FILENAME_TX","LINE_NUMBER_CT"
"ATL200210020",69,"$Andruw Jones took home run away with catch over the wall","2002NLD2.EVE.post.comment.csv",2
"SFN200210050",27,"$infield shited to right for Barry Bonds","2002NLD2.EVE.post.comment.csv",3
