"FLO201004130",10,"replay,2,brucj001,CIN,kellj901,MIA01,F,Y,I,,H $Jay Bruce hit a fly ball down the RF line on the second pitch that was called a fair ball and home run by 1B umpire Larry Vanover; Marlins RF Cody Ross insisted that the ball was foul so Marlins manager Fredi Gonzalez asked crew chief Jeff Kellogg to review the play; after the umpires huddled, Kellogg watched the replay and overturned the call to a foul ball","FILENAME_TX","LINE_NUMBER_CT"
"FLO201004270",56,"umpchange,7,umphome,cuzzp901 umpchange,7,ump2b,(None) $a foul by Will Venable struck HP umpire Jerry Crawford on the right side; after a 10-minute delay, 2B umpire Phil Cuzzi moved behind the plate; X-rays on Crawford revealed a badly bruised right rib","2010FLO.EVN.regular.comment.csv",2
"FLO201005010",15,"E3 added on 5-06","2010FLO.EVN.regular.comment.csv",3
"FLO201005060",16,"Giants shortstop Edgar Renteria left the game due to an injured groin","2010FLO.EVN.regular.comment.csv",4
"FLO201005170",0,"Debut for umpire Manny Gonzalez","2010FLO.EVN.regular.comment.csv",5
"FLO201005170",19,"$Marlins SS Hanley Ramirez removed for not hustling","2010FLO.EVN.regular.comment.csv",6
"FLO201005270",42,"Debut game for Jay Buente","2010FLO.EVN.regular.comment.csv",7
"FLO201005290",0,"$Roy Halladay throws the 20th perfect game in history","2010FLO.EVN.regular.comment.csv",8
"FLO201006150",64,"Debut game for Alexi Ogando","2010FLO.EVN.regular.comment.csv",9
"FLO201006160",26,"Rangers pitcher Tommy Hunter left the game due to an injured hip","2010FLO.EVN.regular.comment.csv",10
"FLO201006190",77,"$as Ronny Paulino batted, Wes Helms was on deck as a possible pinch hitter","2010FLO.EVN.regular.comment.csv",11
"FLO201006190",77,"$Marlins shortstop Hanley Ramirez left the game due to a tight right hamstring; with three defensive substitutions, Marlins manager Fredi Gonzalez talked to HP umpire Lance Barksdale about the batting order, who passed the batting order to Rays manager Joe Madden","2010FLO.EVN.regular.comment.csv",12
"FLO201006190",84,"ej,gonzf801,M,barkl901,Batting out of order call $Brian Barden came to the plate to start the inning and walked on a 3-2 count; Rays manager Joe Maddon talked with Barksdale about the Marlins hitting out of order; Barksdale called Barden out for batting out of turn; Marlins manager Fredi Gonzalez came out and argued for a long time with Barksdale, who ejected Gonzalez; there was a long discussion between Gonzalez, Barksdale and crew chief Tom Hallion; after the game, Gonzalez insisted that Barksdale did not write down what Gonzalez said; the proper batter, Wes Helms, was called out with an automatic putout to the catcher","2010FLO.EVN.regular.comment.csv",13
"FLO201006270",34,"originally scored as E4 throwing error, changed to single next day","2010FLO.EVN.regular.comment.csv",14
"FLO201006270",51,"$Dan Uggla beat the relay throw to 1B but Jorge Cantu was called for runner interference at 2B, so Uggla was declared out","2010FLO.EVN.regular.comment.csv",15
"FLO201006280",0,"$Played at Hiram Bithorn Stadium, San Juan, Puerto Rico","2010FLO.EVN.regular.comment.csv",16
"FLO201006290",0,"$Played at Hiram Bithorn Stadium, San Juan, Puerto Rico","2010FLO.EVN.regular.comment.csv",17
"FLO201006300",0,"$Played at Hiram Bithorn Stadium, San Juan, Puerto Rico","2010FLO.EVN.regular.comment.csv",18
"FLO201007160",56,"Debut game for Jhan Marinez","2010FLO.EVN.regular.comment.csv",19
