"NYA195710020",15,"$Skowron left with a back injury suffered in the first"FILENAME_TX","LINE_NUMBER_CT"

"NYA195710030",6,"$off Burdette's leg"1957WS.EVE.post.comment.csv",2

"NYA195710030",7,"over Mantle's head"1957WS.EVE.post.comment.csv",3

"NYA195710030",10,"good leaping catch by Kubek"1957WS.EVE.post.comment.csv",4

"NYA195710030",18,"good backhanded running catch"1957WS.EVE.post.comment.csv",5

"NYA195710030",29,"$bloop single over McDougald's head; Slaughter's throw to third went through Kubek's legs"1957WS.EVE.post.comment.csv",6

"MLN195710050",5,"throw to second went into center"1957WS.EVE.post.comment.csv",7

"MLN195710050",7,"high bouncer in back of second"1957WS.EVE.post.comment.csv",8

"MLN195710050",88,"Torre tagged out Larsen in the rundown for the double play"1957WS.EVE.post.comment.csv",9

"MLN195710060",74,"off the left field fence"1957WS.EVE.post.comment.csv",10

"MLN195710060",76,"$Originally ruled that pitch did not hit Jones, but ball bounced off backstop to batter who showed the umpire there was shoe polish on the ball and call was changed to HBP"1957WS.EVE.post.comment.csv",11

"MLN195710070",10,"Schoendienst left with a leg strain"1957WS.EVE.post.comment.csv",12

"MLN195710070",23,"$Great catch by Covington as he bounced off the fence"1957WS.EVE.post.comment.csv",13

"NYA195710090",29,"$Off the right field auxiliary scoreboard"1957WS.EVE.post.comment.csv",14

"NYA195710090",46,"off Johnson's hand to Logan"1957WS.EVE.post.comment.csv",15

"NYA195710100",5,"$Tapped back to Burdette, who caught Bauer in a rundown off second.  Bauer returned safely to second, but Slaughter was also there, and was tagged out by Logan"1957WS.EVE.post.comment.csv",16

"NYA195710100",46,"$Crandall beat Berra's throw, but was out oversliding third"1957WS.EVE.post.comment.csv",17

"NYA195710100",76,"$Off Mantilla's glove"1957WS.EVE.post.comment.csv",18

"NYA195710100",77,"$Fantastic stop on the line by Mathews"1957WS.EVE.post.comment.csv",19

