"BAL195505110",69,"missing play in BAL195505110","FILENAME_TX","LINE_NUMBER_CT"
"BAL195505180",55,"the previous two plays MIGHT be one play","1955BAL.EVA.regular.comment.csv",2
"BAL195505280",8,"ej,berry101,P,runge901,Balls and strikes Yogi Berra ejected by HP umpire Ed Runge for arguing a pitch to Gene Woodling","1955BAL.EVA.regular.comment.csv",3
"BAL195506140",49,"$Ron Jackson rounded 2B too far","1955BAL.EVA.regular.comment.csv",4
"BAL195506151",6,"$run scored during rundown, no RBI","1955BAL.EVA.regular.comment.csv",5
"BAL195506250",89,"Game called for rain","1955BAL.EVA.regular.comment.csv",6
"BAL195507060",28,"ej,richp101,M,mckib901,Call at 1B $the ball caromed off Eddie Robinson's glove to Gil McDougald; Gus Triandos was called out on a close play at 1B; Orioles Manager Paul Richards ejected by 1B umpire Bill McKinley","1955BAL.EVA.regular.comment.csv",7
"BAL195507261",1,"DWS: bogus FLE2, but Smith needs one this game","1955BAL.EVA.regular.comment.csv",8
"BAL195508031",49,"$Gus Triandos fielded the grounder and stepped on 1B; he threw to Willie Miranda to trap Billy Shantz between 2B and 3B; Jim Finigan started for HP so Miranda threw to Hal Smith who ran Finigan back to 3B where Shantz was also standing; Smith tagged Shantz and, when Finigan stepped off 3B, tagged him too","1955BAL.EVA.regular.comment.csv",9
"BAL195508032",1,"$Art Schallock lefts with twinge in shoulder after 1 pitch","1955BAL.EVA.regular.comment.csv",10
"BAL195508070",91,"$game called for rain after three batters in 13th","1955BAL.EVA.regular.comment.csv",11
"BAL195508141",51,"7 minute rain delay","1955BAL.EVA.regular.comment.csv",12
"BAL195508141",71,"8 minute rain delay","1955BAL.EVA.regular.comment.csv",13
"BAL195508152",4,"ej,richp101,M,honoj901,Balls and strikes $Orioles manager Richards ejected by HP umpire Honochick for arguing ball calls to Mantle","1955BAL.EVA.regular.comment.csv",14
"BAL195509040",83,"ej,richp101,M,stevj901,Call at 2B Orioles Manager Paul Richards ejected by 2B umpire Johnny Stevens","1955BAL.EVA.regular.comment.csv",15
"BAL195509051",19,"$47 minute first inning","1955BAL.EVA.regular.comment.csv",16
"BAL195509051",94,"$Gil McDougald called for obstruction with runner when legs tangled","1955BAL.EVA.regular.comment.csv",17
"BAL195509100",51,"ej,blacb101,P,berrc103,Balls and strikes (Pushed umpire) Bud Black ejected by HP umpire Charlie Berry","1955BAL.EVA.regular.comment.csv",18
"BAL195509141",48,"$Jim Rivera called for interference","1955BAL.EVA.regular.comment.csv",19
"BAL195509142",12,"ej,marim101,M,stevj901,Call at 2B White Sox Manager Marty Marion ejected by 2B umpire Johnny Stevens","1955BAL.EVA.regular.comment.csv",20
