"SDN198804170",25,"ej,gwynt001,P,westj901,Balls and strikes Tony Gwynn ejected by HP umpire Joe West when the first two pitches are called strikes","FILENAME_TX","LINE_NUMBER_CT"
"SDN198804220",7,"Debut game for Roberto Alomar","1988SDN.EVN.regular.comment.csv",2
"SDN198804220",52,"$failed squeeze","1988SDN.EVN.regular.comment.csv",3
"SDN198804230",29,"$Benito Santiago went to 2B on throw and to 3B while Alan Ashby argued","1988SDN.EVN.regular.comment.csv",4
"SDN198804230",47,"$Roberto Alomar threw the ball into the dugout","1988SDN.EVN.regular.comment.csv",5
"SDN198804270",42,"$Shawn Abner called for interference","1988SDN.EVN.regular.comment.csv",6
"SDN198805020",6,"Debut game for Mark Grace","1988SDN.EVN.regular.comment.csv",7
"SDN198805020",32,"$Jody Davis injured","1988SDN.EVN.regular.comment.csv",8
"SDN198805040",68,"ej,krukj001,P,davig901,Balls and strikes John Kruk ejected by HP umpire Gerry Davis","1988SDN.EVN.regular.comment.csv",9
"SDN198805160",27,"$ball 4 got past Benito Santiago","1988SDN.EVN.regular.comment.csv",10
"SDN198805160",57,"ej,bowal001,M,mcshj901,Call at 1B Padres manager Larry Bowa ejected by 1B umpire John McSherry","1988SDN.EVN.regular.comment.csv",11
"SDN198805210",29,"$Chris James running from 3B but did not score before third out","1988SDN.EVN.regular.comment.csv",12
"SDN198806090",23,"$Dave Concepcion lost the ball in the sun","1988SDN.EVN.regular.comment.csv",13
"SDN198806130",52,"$Mark Parent called for interference","1988SDN.EVN.regular.comment.csv",14
"SDN198806140",7,"$Marvell Wynne called for interference","1988SDN.EVN.regular.comment.csv",15
"SDN198807270",42,"$fan interference","1988SDN.EVN.regular.comment.csv",16
"SDN198808180",46,"ej,rodgb102,M,willc901,Call at 3B Expos manager Buck Rodgers ejected by 3B umpire Charlie Williams when Williams did not call Roberto Alomar out for running out of the baseline on the pick off that became a steal","1988SDN.EVN.regular.comment.csv",17
"SDN198808240",29,"$Chris Brown lost the ball in the lights","1988SDN.EVN.regular.comment.csv",18
"SDN198809070",69,"Debut game for Lenny Harris","1988SDN.EVN.regular.comment.csv",19
"SDN198809120",1,"Debut game for Dennis Cook","1988SDN.EVN.regular.comment.csv",20
"SDN198809280",66,"$Orel Hershiser ties record for most shutout innings with 58","1988SDN.EVN.regular.comment.csv",21
