"SFN197904130",38,"Debut game for Gary Wilson","FILENAME_TX","LINE_NUMBER_CT"
"SFN197905060",77,"$Frank Taveras called for interference","1979SFN.EVN.regular.comment.csv",2
"SFN197905100",46,"ej,parrl002,P,patct901,Called third strike Larry Parrish ejected by HP umpire Tony Patch","1979SFN.EVN.regular.comment.csv",3
"SFN197906260",49,"ej,madlb001,P,,Fighting $Madlock ejected by unknown umpire for fighting with pitcher after fouling out","1979SFN.EVN.regular.comment.csv",4
"SFN197906270",21,"previous two plays one play","1979SFN.EVN.regular.comment.csv",5
"SFN197906280",11,"Debut game for Joe Strain","1979SFN.EVN.regular.comment.csv",6
"SFN197906300",51,"ej,mcnaj801,M,fiels901,Interference call $Cesar Geronimo called for interference at 2B; Reds manager John McNamara ejected by 2B umpire Steve Fields","1979SFN.EVN.regular.comment.csv",7
"SFN197907240",49,"ej,altoj101,M,rennd901,Call at HP Giants Manager Joe Altobelli ejected by HP umpire Dutch Rennert","1979SFN.EVN.regular.comment.csv",8
"SFN197908070",38,"missing play in SFN197908070","1979SFN.EVN.regular.comment.csv",9
"SFN197909020",58,"ej,sadem101,P,pullf901,Called strike 3 $Sadek ejected by HP umpire Pulli for arguing called strike 3","1979SFN.EVN.regular.comment.csv",10
"SFN197909130",29,"ej,cox-b103,M,monte901,Balk call $Braves manager Cox ejected by 1B umpire Montague for arguing balk call","1979SFN.EVN.regular.comment.csv",11
"SFN197909140",54,"Debut game for Tom Wiedenbauer","1979SFN.EVN.regular.comment.csv",12
"SFN197909170",31,"Debut game for Charlie Leibrandt","1979SFN.EVN.regular.comment.csv",13
"SFN197909250",73,"Debut game for Bob Kearney","1979SFN.EVN.regular.comment.csv",14
"SFN197909280",44,"ej,nortb101,P,olsea901,Arguing ball fouled off his foot Bill North ejected by HP umpire Andy Olsen","1979SFN.EVN.regular.comment.csv",15
"SFN197909290",57,"ej,brisd801,M,grege901,Balls and strikes (Threw equipment) $Giants manager Bristol ejected by HP umpire Gregg for arguing balls and strikes sometime in top of 7th; he threw jacket, shoes and uniform top onto field","1979SFN.EVN.regular.comment.csv",16
