"WS1194704180",0,"$the Senators' home opener with President Harry Truman at the game"FILENAME_TX","LINE_NUMBER_CT"

"WS1194704200",60,"$Stan Spence injured his thumb trying to bunt; replaced during the at bat"1947WS1.EVA.regular.comment.csv",2

"WS1194705200",74,"$George Dickey left with fractured right little finger after being struck by a foul ball"1947WS1.EVA.regular.comment.csv",3

"WS1194705200",81,"$Cecil Travis made a wild throw during a rundown"1947WS1.EVA.regular.comment.csv",4

"WS1194705302",20,"missing assists"1947WS1.EVA.regular.comment.csv",5

"WS1194706210",0,"$President Truman attended the game and participated in the ceremony honoring the late Walter Johnson with a memorial shrine and a plaque"1947WS1.EVA.regular.comment.csv",6

"WS1194706210",23,"$during this at bat, Vernon hit an easily catachable foul ball down the first base line that Moss and Witte failed to catch as they each waited for the other to take it"1947WS1.EVA.regular.comment.csv",7

"WS1194706210",50,"Off Yost's glove."1947WS1.EVA.regular.comment.csv",8

"WS1194706210",63,"pbp account ends here, rest deduced"1947WS1.EVA.regular.comment.csv",9

"WS1194706240",48,"$Wallaesa scored from second on the grounder as he kept on running"1947WS1.EVA.regular.comment.csv",10

"WS1194706260",20,"$Eephus pitch"1947WS1.EVA.regular.comment.csv",11

"WS1194706260",62,"$Bobo Newsom pulled up lame running to 2B"1947WS1.EVA.regular.comment.csv",12

"WS1194706280",1,"need one"1947WS1.EVA.regular.comment.csv",13

"WS1194707270",44,"$Early Wynn let the bunt popup drop intentionally"1947WS1.EVA.regular.comment.csv",14

