"SLN201604140",25,"$Moss returned to tag at 1st, thinking the ball might be caught; Grichuk appeared to pass him, but he was not called out as 1b ump Welke apparently missed the play","FILENAME_TX","LINE_NUMBER_CT"
"SLN201604160",90,"$Aledmys Diaz called for interference for bumping the catcher who was trying to catch the popup","2016SLN.EVN.regular.comment.csv",2
"SLN201604170",30,"replay,4,duvaa001,CIN,mealj901,STL10,,N,M,CIN,C $when Adam Duvall was called out at 1B, Reds manager Bryan Price challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",3
"SLN201604170",51,"replay,6,garcg002,SLN,mealj901,STL10,,Y,M,SLN,I $when Greg Garcia was ruled not to have been hit by a pitch, Cardinals manager Mike Matheny challenged the call; the ruling was overturned by replay","2016SLN.EVN.regular.comment.csv",4
"SLN201604180",60,"replay,8,montm001,CHN,davig901,STL10,,N,M,CHN,A $when Miguel Montero was called out at 1B on a tag, Cubs manager Joe Maddon challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",5
"SLN201604190",51,"replay,7,baezj001,CHN,davig901,STL10,,Y,M,SLN,I $when Javier Baez was ruled to have been hit by a pitch, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",6
"SLN201604200",19,"replay,2,carpm002,SLN,davig901,STL10,,Y,M,CHN,C $when Matt Carpenter was called safe at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",7
"SLN201604290",27,"replay,4,zimmr001,WAS,nelsj901,STL10,,Y,M,WAS,A $when Anthony Rendon was called out at 2B, Nationals manager Dusty Baker challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",8
"SLN201605010",69,"replay,9,mossb001,SLN,nelsj901,STL10,,Y,U,,H $Brandon Moss' fly to CF struck a railing above the fence and caromed back onto the field; the ball was ruled in play; crew chief Jeff Nelson requested a review, which overturned the call to a home run","2016SLN.EVN.regular.comment.csv",9
"SLN201605030",30,"replay,4,moliy001,SLN,carlm901,STL10,,Y,M,SLN,C $when Yadier Molina was called out at 1B, Cardianls manager Mike Matheny challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",10
"SLN201605040",36,"replay,5,tejar001,SLN,carlm901,STL10,,Y,M,SLN,O $Ruben Tejada's liner down the LF line was ruled foul; Cardinals manager Mike Matheny challenged the call, which was overturned by replay","2016SLN.EVN.regular.comment.csv",11
"SLN201605040",39,"replay,5,diaza003,SLN,carlm901,STL10,,N,M,PHI,A $when Eric Fryer was called safe at HP, Phillies manager Pete Mackanin challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",12
"SLN201605040",66,"replay,9,hernc005,PHI,carlm901,STL10,,Y,U,,C $when Carlos Hernandez was called out at 1B, acting crew chief Mark Carlson requested a review; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",13
"SLN201605040",70,"replay,9,adamm002,SLN,carlm901,STL10,O,N,U,,H $Matt Adams' fly to CF struck the top of the wall and caromed back onto the field; the ball was ruled in play; acting crew chief Mark Carlson requested a review, upheld the call","2016SLN.EVN.regular.comment.csv",14
"SLN201605050",29,"Cardinals first baseman Matt Adams left the game due to an injured knee","2016SLN.EVN.regular.comment.csv",15
"SLN201605060",29,"$Cardinals pitcher Carlos Martinez left with fatigue due to a respiratory illness","2016SLN.EVN.regular.comment.csv",16
"SLN201605060",65,"replay,8,piscs001,SLN,demud901,STL10,,Y,M,SLN,I $when Stephen Piscotty was ruled not to have been hit by a pitch, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",17
"SLN201605070",8,"$a foul ball by Stephen Piscotty struck the mask of HP umpire Dana DeMuth, knocking it off his head","2016SLN.EVN.regular.comment.csv",18
"SLN201605070",21,"umpchange,3,umphome,hicke901 umpchange,3,ump2b,(None) $HP umpire Dana DeMuth left the game due to being struck on the mask earlier; 2B umpire Ed Hickox moved to HP","2016SLN.EVN.regular.comment.csv",19
"SLN201605080",84,"$Matt Carpenter's liner down the RF line was grabbed by a fan for interference","2016SLN.EVN.regular.comment.csv",20
"SLN201605170",41,"replay,5,diaza003,SLN,cedeg901,STL10,,N,M,SLN,C $when Jeremy Hazelbaker was called out at 2B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",21
"SLN201605190",12,"replay,2,reynm001,COL,cedeg901,STL10,,Y,M,SLN,C $when Mark Reynolds was called safe at 1B, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",22
"SLN201605190",27,"Cardinals center fielder Randal Grichuk left the game due to an injured back","2016SLN.EVN.regular.comment.csv",23
"SLN201605230",64,"replay,8,russa002,CHN,culbf901,STL10,,N,M,SLN,C $when Addison Russell was called safe at 1B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016SLN.EVN.regular.comment.csv",24
"SLN201605240",73,"replay,9,russa002,CHN,culbf901,STL10,,Y,M,CHN,C $when Addison Russell was called out at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2016SLN.EVN.regular.comment.csv",25
"SLN201605250",60,"$originally scored as E5, changed to single on 06-09-2016, making all three runs in inning earned","2016SLN.EVN.regular.comment.csv",26
"SLN201606030",20,"$originally scored as E3, changed to dropped catch error on 06-10-2016","2016SLN.EVN.regular.comment.csv",27
