"CHN197104070",32,"$Debut game for Bill Bonham"FILENAME_TX","LINE_NUMBER_CT"

"CHN197104070",51,"$Debut game for Earl Stephenson"1971CHN.EVN.regular.comment.csv",2

"CHN197104070",66,"$Debut game for Hal Breeden"1971CHN.EVN.regular.comment.csv",3

"CHN197104200",55,"$Debut game for Rich Chiles"1971CHN.EVN.regular.comment.csv",4

"CHN197104230",27,"$Debut game for Charlie Williams"1971CHN.EVN.regular.comment.csv",5

"CHN197104280",16,"missing fielding in CHN197104280"1971CHN.EVN.regular.comment.csv",6

"CHN197104280",67,"$five man infield; Ron Brand positioned between 2B and 3B"1971CHN.EVN.regular.comment.csv",7

"CHN197104280",68,"$Ron Santo's grounder was allwed to roll down the 3B line and the ball struck the bag for hit"1971CHN.EVN.regular.comment.csv",8

"CHN197105020",45,"$Tim McCarver ran Johnny Callison back towards 3B"1971CHN.EVN.regular.comment.csv",9

"CHN197105161",45,"$Debut game for Ray Newman"1971CHN.EVN.regular.comment.csv",10

"CHN197105162",0,"Suspend=19710804,,3,6,36"1971CHN.EVN.regular.comment.csv",11

"CHN197105162",61,"umpchange,7,umphome,varge901 umpchange,7,ump1b,harvd901 umpchange,7,ump2b,dalej901 umpchange,7,ump3b,donaa901 suspended,19710804,CHI11,darkness $game was suspended for darkness, resumed on August 4 with a new umpire crew"1971CHN.EVN.regular.comment.csv",12

"CHN197106070",54,"Bob Veale left with pulled shoulder"1971CHN.EVN.regular.comment.csv",13

"CHN197106110",54,"$Bill Hands called for interference when he ran into his own bunt"1971CHN.EVN.regular.comment.csv",14

"CHN197106170",1,"$Debut game for Burt Hooton"1971CHN.EVN.regular.comment.csv",15

"CHN197106190",56,"$Julian Javier and Jose Cardenal collided on Don Kessinger's popup; both left injured"1971CHN.EVN.regular.comment.csv",16

"CHN197106280",49,"umpchange,7,umphome,lands901 umpchange,7,ump3b,engeb901 umpchange,7,ump2b,(None) $HP umpire Ed Sudol left with heat exhaustion; 3B umpire Stan Landes moved to HP and 2B umpire Bob Engel moved to 3B; the temperature had climbed to 101 for the second consecutive day"1971CHN.EVN.regular.comment.csv",17

"CHN197107040",1,"$Debut game for Bruce Kison"1971CHN.EVN.regular.comment.csv",18

"CHN197107040",41,"Bill Hands left with broken blister"1971CHN.EVN.regular.comment.csv",19

"CHN197107050",16,"$Gene Alley's homer blown back by strong wind; Jose Pagan had scored"1971CHN.EVN.regular.comment.csv",20

"CHN197107050",40,"$Joe Pepitone fouled a pitch off the top of his right foot and left on a stretcher"1971CHN.EVN.regular.comment.csv",21

"CHN197107170",34,"$Woodie Fryman called for interference when he ran into his own bunt"1971CHN.EVN.regular.comment.csv",22

"CHN197108040",0,"$game was preceeded by completion of 5/16 suspended game"1971CHN.EVN.regular.comment.csv",23

"CHN197108050",56,"$Glenn Beckert called for interference at 1B; he tried to block Bob Barton's throw outside the baseline"1971CHN.EVN.regular.comment.csv",24

"CHN197108070",0,"Protest=V"1971CHN.EVN.regular.comment.csv",25

"CHN197108070",40,"ej,fox-c101,M,colon901,Ejection non-call (Reversed) Ferguson Jenkins ejected by HP Umpire Ed Sudol for throwing his helmet after striking out; Sudol then reversed himself and merely fined Jenkins $100.00; Giants manager Charlie Fox protested the game; Fox ejected by 2B umpire Nick Colosi"1971CHN.EVN.regular.comment.csv",26

"CHN197108202",57,"$Debut game for Gene Hiser"1971CHN.EVN.regular.comment.csv",27

"CHN197108202",58,"ej,hiatj101,P,craws901,Balls and strikes Jack Hiatt ejected by HP umpire Shag Crawford"1971CHN.EVN.regular.comment.csv",28

"CHN197108202",74,"missing play in CHN197108202"1971CHN.EVN.regular.comment.csv",29

"CHN197108202",75,"HP umpire Shag Crawford examined the ball and talked to Phil Regan about moisture on the ball"1971CHN.EVN.regular.comment.csv",30

"CHN197108230",18,"$Dave Concepcion called for interference for running out of baseline"1971CHN.EVN.regular.comment.csv",31

"CHN197108230",54,"ej,clont101,P,lands901,Balls and strikes Tony Cloninger ejected by HP umpire Stan Landes"1971CHN.EVN.regular.comment.csv",32

"CHN197108240",76,"$no one covered 1B"1971CHN.EVN.regular.comment.csv",33

"CHN197108300",33,"$Steve Renko warned by HP umpire Ed Vargo for throwing a beanball at Ron Santo"1971CHN.EVN.regular.comment.csv",34

"CHN197108300",48,"$Bill Hands warned by HP umpire Ed Vargo for throwing a beanball at John Bateman"1971CHN.EVN.regular.comment.csv",35

"CHN197108300",49,"$Bill Hands knocked down Steve Renko"1971CHN.EVN.regular.comment.csv",36

"CHN197108300",62,"$Bill Hands: 95 pitches"1971CHN.EVN.regular.comment.csv",37

"CHN197108300",66,"$missed suicide squeeze"1971CHN.EVN.regular.comment.csv",38

"CHN197108311",22,"$Don Kessinger called for obstruction"1971CHN.EVN.regular.comment.csv",39

"CHN197108312",0,"Suspend=19710901,,8,1,36"1971CHN.EVN.regular.comment.csv",40

"CHN197108312",55,"suspended,19710901,CHI11,darkness $game suspended here due to darkness; resumed the next day"1971CHN.EVN.regular.comment.csv",41

