"SLN198604110",28,"Debut game for Jeff Parrett","FILENAME_TX","LINE_NUMBER_CT"
"SLN198605100",34,"Debut game for Chuck Hensley","1986SLN.EVN.regular.comment.csv",2
"SLN198605230",38,"ej,simmt001,P,marsr901,Balls and strikes $Braves Simmons (not in game) ejected by HP umpire Marsh for arguing balls and strikes","1986SLN.EVN.regular.comment.csv",3
"SLN198605250",51,"Rain out","1986SLN.EVN.regular.comment.csv",4
"SLN198606060",74,"ej,dunss001,P,darlg901,Charging mound $Shawon Dunston charged the mound but was grabbed by HP umpire Gary Darling; pitcher Greg Bargar grabbed both of them and all three fell to the ground; both benches cleared; Dunston ejected by Darling","1986SLN.EVN.regular.comment.csv",5
"SLN198606080",71,"$Jerry Mumphrey and Thad Bosley collide on play","1986SLN.EVN.regular.comment.csv",6
"SLN198606240",3,"needs to be checked","1986SLN.EVN.regular.comment.csv",7
"SLN198606280",1,"Debut game for Bruce Ruffin","1986SLN.EVN.regular.comment.csv",8
"SLN198607170",78,"Debut game for Ray Soff","1986SLN.EVN.regular.comment.csv",9
"SLN198607210",50,"Suicide squeeze","1986SLN.EVN.regular.comment.csv",10
"SLN198607210",57,"Greg Mathews hit on right elbow","1986SLN.EVN.regular.comment.csv",11
"SLN198607220",40,"needs to be checked","1986SLN.EVN.regular.comment.csv",12
"SLN198607220",74,"ej,browc002,P,davib902,Brawl after HBP ej,crair101,M,davib902,Brawl after HBP ej,willf001,P,davib902,Intentional HBP ej,herzw101,M,davib902,Brawl after HBP $Frank Williams brushed back Vince Coleman and both teams were warned by HP umpire Bob Davidson; when the next pitch hit Coleman on the foot, Williams was ejected by Davidson; both benches cleared; Cardinals manager Whitey Herzog and Giants manager Roger Craig argued at HP and then started shoving each other; Chris Brown tackled Coleman; Craig, Brown and Herzog ejected by Davidson","1986SLN.EVN.regular.comment.csv",13
"SLN198607230",26,"$Willie McGee pulled hamstring going to 3B","1986SLN.EVN.regular.comment.csv",14
"SLN198607250",66,"$both Vince Coleman and Tom Herr at 2b in rundown","1986SLN.EVN.regular.comment.csv",15
"SLN198608040",84,"Suicide squeeze","1986SLN.EVN.regular.comment.csv",16
"SLN198608050",11,"$John Morris lost routine fly in lights","1986SLN.EVN.regular.comment.csv",17
"SLN198608050",15,"Debut game for John Morris","1986SLN.EVN.regular.comment.csv",18
"SLN198608060",15,"$Terry Pendleton fielded bunt on 1B line","1986SLN.EVN.regular.comment.csv",19
"SLN198608060",16,"$Ronn Reynolds rounded 3B too far","1986SLN.EVN.regular.comment.csv",20
"SLN198608060",64,"ej,felsj101,M,bonig901,Balk Phillies manager John Felske ejected by HP umpire Greg Bonin","1986SLN.EVN.regular.comment.csv",21
"SLN198608260",38,"23 minute rain delay","1986SLN.EVN.regular.comment.csv",22
"SLN198608260",64,"1:25 rain delay","1986SLN.EVN.regular.comment.csv",23
"SLN198608270",28,"$Tom Herr playing on SS side of 2B","1986SLN.EVN.regular.comment.csv",24
"SLN198608300",14,"umpchange,2,umphome,steld901 umpchange,2,ump2b,(None) $HP umpire Randy Marsh hit by foul ball; 2B umpire Dick Stello moved behind the plate","1986SLN.EVN.regular.comment.csv",25
"SLN198608300",63,"$ball bounced out of Nick Esasky's glove to Bo Diaz","1986SLN.EVN.regular.comment.csv",26
"SLN198608310",64,"Debut game for Bill Landrum","1986SLN.EVN.regular.comment.csv",27
"SLN198609150",25,"$John Tudor left with sore shoulder","1986SLN.EVN.regular.comment.csv",28
"SLN198609250",34,"$missed suicide squeeze","1986SLN.EVN.regular.comment.csv",29
"SLN198609250",50,"$lost in lights","1986SLN.EVN.regular.comment.csv",30
"SLN198609250",57,"$disputed HR","1986SLN.EVN.regular.comment.csv",31
"SLN198609260",0,"55 minute rain delay at start of game","1986SLN.EVN.regular.comment.csv",32
"SLN198609260",17,"25 minute rain delay","1986SLN.EVN.regular.comment.csv",33
"SLN198609260",22,"Failed squeeze attempt","1986SLN.EVN.regular.comment.csv",34
"SLN198609300",62,"$balk called by 1B umpire Dana DeMuth on 12th pick-off attempt","1986SLN.EVN.regular.comment.csv",35
