"PHA194204170",10,"Johnson fumbled"FILENAME_TX","LINE_NUMBER_CT"

"PHA194204280",5,"$Bill Knickerbocker called for interference for running into his own bunt"1942PHA.EVA.regular.comment.csv",2

"PHA194204300",68,"$pitchout on the hit and run"1942PHA.EVA.regular.comment.csv",3

"PHA194205040",63,"ej,simma101,C,passa901,Fair/foul call $Coach Al Simmons ejected for arguing Suder's bunt was foul."1942PHA.EVA.regular.comment.csv",4

"PHA194206100",56,"$Humphries was injured knocking down Suder's line drive"1942PHA.EVA.regular.comment.csv",5

"PHA194206120",5,"$when the ball slipped out of Bill Knickerbocker's hands Lou Boudreau tried to score"1942PHA.EVA.regular.comment.csv",6

"PHA194206120",52,"$Dick Fowler struck on the right arm"1942PHA.EVA.regular.comment.csv",7

"PHA194207160",41,"$Off the wall in deep right field."1942PHA.EVA.regular.comment.csv",8

"PHA194208160",34,"$Joe DiMaggio stopped abruptly and Charlie Keller ran past him"1942PHA.EVA.regular.comment.csv",9

"PHA194208160",55,"game called due to rain and second game postponed"1942PHA.EVA.regular.comment.csv",10

"PHA194208170",53,"$Major League debut for Yankowski"1942PHA.EVA.regular.comment.csv",11

"PHA194208170",63,"pbp account ends here, rest deduced"1942PHA.EVA.regular.comment.csv",12

"PHA194208280",54,"pbp account ends here, rest deduced"1942PHA.EVA.regular.comment.csv",13

