"BRO195304140",0,"Debut for umpire Hal Dixon"FILENAME_TX","LINE_NUMBER_CT"

"BRO195304140",59,"$Jackie Robinson pulled groin"1953BRO.EVN.regular.comment.csv",2

"BRO195304150",43,"to match daily/TSN, arbitrary 7 to 6"1953BRO.EVN.regular.comment.csv",3

"BRO195304240",63,"$infield shifted for Dusty Rhodes"1953BRO.EVN.regular.comment.csv",4

"BRO195304250",30,"$Carl Furillo threw his bat at Sal Maglie after the 2nd pitch; Furillo was restrained by Sal Yvars"1953BRO.EVN.regular.comment.csv",5

"BRO195304250",49,"$Sal Yvars hurt ankle after 2nd pitch"1953BRO.EVN.regular.comment.csv",6

"BRO195304250",59,"425 feet"1953BRO.EVN.regular.comment.csv",7

"BRO195304250",68,"$infield in"1953BRO.EVN.regular.comment.csv",8

"BRO195304250",75,"to match daily/TSN, arbitrary 43 to 13"1953BRO.EVN.regular.comment.csv",9

"BRO195304280",47,"$Gil Hodges was trapped between 2B and 3B and Dick Williams ran to 2B; they two runners arrived almost simultaneously; Williams was tagged before reaching the bag and then Hodges was put out"1953BRO.EVN.regular.comment.csv",10

"BRO195304290",3,"to match daily/TSN, arbitrary K to K23"1953BRO.EVN.regular.comment.csv",11

"BRO195304300",46,"$Jackie Robinson left with a sore side"1953BRO.EVN.regular.comment.csv",12

"BRO195305030",24,"$Max Surkont dropped the ball after making lunging tag"1953BRO.EVN.regular.comment.csv",13

"BRO195305030",37,"$Bill Bruton collided with Roy Campanella"1953BRO.EVN.regular.comment.csv",14

"BRO195305060",0,"Protest=V"1953BRO.EVN.regular.comment.csv",15

"BRO195305060",41,"$infield in for Roy Campanella"1953BRO.EVN.regular.comment.csv",16

"BRO195305060",42,"ej,stane101,M,conlj102,Obstruction call ej,riced101,P,conlj102,Obstruction call (Threw glove) $Solly Hemus dove to his right for the hard-hit grounder; $Jackie Robinson fell over Hemus as he sprawled in the base path; 3B umpire Tom Gorman ruled obstruction on Hemus and allowed Robinson to score; Del Rice ran to 3B to argue with Gorman and Cardinals Manager Eddie Stanky tried to get between them; Rice and Stanky ejected by HP umpire Jocko Conlan; Stanky played the game under protest for what he called a 'misinterpretation of the rules;' no error was charged to Hemus"1953BRO.EVN.regular.comment.csv",17

"BRO195305091",45,"ej,hermb101,C,warnl101,Checked swing Dodgers Coach Billy Herman ejected by HP umpire Lon Warneke"1953BRO.EVN.regular.comment.csv",18

"BRO195305092",36,"ej,jonew101,P,warnl101,Call at 3B Willie Jones ejected by 3B umpire Lon Warneke"1953BRO.EVN.regular.comment.csv",19

"BRO195305100",39,"Granny Hamner hurt"1953BRO.EVN.regular.comment.csv",20

"BRO195305270",6,"to match daily/TSN, arbitrary K to K23"1953BRO.EVN.regular.comment.csv",21

"BRO195305312",48,"$Eddie O'Brien turned his left ankle"1953BRO.EVN.regular.comment.csv",22

"BRO195305312",54,"$game called because of darkness"1953BRO.EVN.regular.comment.csv",23

"BRO195306030",2,"to match daily/TSN, arbitrary 63 to 43"1953BRO.EVN.regular.comment.csv",24

"BRO195306142",22,"$Clyde McCullough  left with something in his eye"1953BRO.EVN.regular.comment.csv",25

"BRO195306142",44,"ej,garaj101,P,dascf901,Balls and strikes ej,cavap101,M,dascf901,Balls and strikes Joe Garagiola and Cubs Manager Phil Cavarretta ejected by HP umpire Frank Dascoli"1953BRO.EVN.regular.comment.csv",26

"BRO195306142",91,"$Game called on account of darkness"1953BRO.EVN.regular.comment.csv",27

"BRO195307041",0,"Debut for umpire Lenny Roberts"1953BRO.EVN.regular.comment.csv",28

"BRO195307171",24,"$Mike Clark struck on the leg"1953BRO.EVN.regular.comment.csv",29

"BRO195307172",40,"ej,dunlg102,P,gorea901,Call at 2B Grant Dunlap ejected by 2B umpire Artie Gore"1953BRO.EVN.regular.comment.csv",30

"BRO195307200",14,"$Carl Furillo beaned"1953BRO.EVN.regular.comment.csv",31

"BRO195307262",43,"to match daily/TSN, arbitrary 53 to 63"1953BRO.EVN.regular.comment.csv",32

"BRO195308180",12,"$Al Worthington threw at Jackie Robinson and Roy Campanella; both teams were warned"1953BRO.EVN.regular.comment.csv",33

"BRO195308190",64,"ej,campr102,P,donaa901,Catch/no catch call $Roy Campanella caught a foul ball in the Giants box seats near their bench but HP umpire Augie Donatelli ruled that a fan touched it; that person was a guest of the Giants owner; Campanella ejected by Donatelli"1953BRO.EVN.regular.comment.csv",34

"BRO195308200",19,"it says '2pbf' Huh?"1953BRO.EVN.regular.comment.csv",35

"BRO195308260",24,"$Peewee Reese reached 3B on the error but was sent back to 2B by the umpires because the ball rolled under the tarp"1953BRO.EVN.regular.comment.csv",36

"BRO195308260",59,"ej,belaw101,P,robel901,Bench jockeying Wayne Belardi ejected by HP umpire Lenny Roberts"1953BRO.EVN.regular.comment.csv",37

"BRO195308260",63,"ej,cox-b101,P,robel901,Call at 2B Billy Cox ejected by HP umpire Lenny Roberts"1953BRO.EVN.regular.comment.csv",38

"BRO195308280",25,"$Throw hit Adams sliding into 3rd and bounced into the dugout"1953BRO.EVN.regular.comment.csv",39

"BRO195308280",37,"$Klu collided with ump in foul territory and dropped ball"1953BRO.EVN.regular.comment.csv",40

"BRO195308280",49,"to match daily/TSN, 2/FL to 3/FL"1953BRO.EVN.regular.comment.csv",41

"BRO195309010",38,"ej,hemus101,P,dixoh901,Call at 2B (Threw ball) ej,stane101,M,dixoh901,Call at 2B Solly Hemus and Cardinals Manager Eddie Stanky ejected by 2B umpire Hal Dixon"1953BRO.EVN.regular.comment.csv",42

"BRO195309020",7,"30 minute rain delay"1953BRO.EVN.regular.comment.csv",43

"BRO195309190",25,"to match daily/TSN, arbitrary 5/FL to 6/FL"1953BRO.EVN.regular.comment.csv",44

"BRO195309202",9,"to match daily/TSN, arbitrary 8 to 9"1953BRO.EVN.regular.comment.csv",45

"BRO195309202",29,"to match daily/TSN, arbitrary 8 to 9"1953BRO.EVN.regular.comment.csv",46

"BRO195309202",41,"to match daily, arbitrary 8/L to 7/L"1953BRO.EVN.regular.comment.csv",47

"BRO195309202",45,"$game called on account of darkness"1953BRO.EVN.regular.comment.csv",48

