"DET194105010",55,"$Tebbetts hurt two fingers on a foul tip by Williams","FILENAME_TX","LINE_NUMBER_CT"
"DET194105050",49,"$on apparent strike 3, Joe Gordon claimed Tommy Bridges pitched a spitball; the Tigers ordered back onto field, HP umpire Bill McGowan warned Bridges","1941DET.EVA.regular.comment.csv",2
"DET194105070",35,"Hit & run","1941DET.EVA.regular.comment.csv",3
"DET194105080",16,"Newsom missed 1B","1941DET.EVA.regular.comment.csv",4
"DET194105240",6,"$Ball gt away from Tresh, but Mullin was out trying to advance","1941DET.EVA.regular.comment.csv",5
"DET194105290",67,"$Lou Boudreau stole as Birdie Tebbetts tried to pick off Roy Weatherly","1941DET.EVA.regular.comment.csv",6
"DET194106011",84,"need a balk for Ryba","1941DET.EVA.regular.comment.csv",7
"DET194106050",50,"$Pat Mullin rounded 2B too far","1941DET.EVA.regular.comment.csv",8
"DET194106050",56,"$Atley Donald was sprawled at HP and missed throw from Buddy Rosar who had recovered the wild pitch","1941DET.EVA.regular.comment.csv",9
"DET194106050",94,"$high bouncer that came down too late for Red Rolfe to make a play","1941DET.EVA.regular.comment.csv",10
"DET194107121",38,"$Ted Williams injured his ankle sliding back into 1B on a pickoff attempt","1941DET.EVA.regular.comment.csv",11
"DET194107180",73,"$Game called for rain","1941DET.EVA.regular.comment.csv",12
"DET194108121",55,"$missed squeeze play","1941DET.EVA.regular.comment.csv",13
"DET194108192",12,"$Bruce Campbell was hit on arm","1941DET.EVA.regular.comment.csv",14
"DET194108192",23,"$Joe DiMaggio jammed his ankle at 2B; he was hospitalized with a sever sprain and did not play again until September 9","1941DET.EVA.regular.comment.csv",15
"DET194108211",58,"Archie did not run out grounder to 3B","1941DET.EVA.regular.comment.csv",16
"DET194108211",66,"Hit & run","1941DET.EVA.regular.comment.csv",17
"DET194108211",67,"Gehringer stepped on 1B","1941DET.EVA.regular.comment.csv",18
"DET194108211",76,"Late throw home","1941DET.EVA.regular.comment.csv",19
"DET194108220",38,"Hit & run","1941DET.EVA.regular.comment.csv",20
"DET194108240",72,"arbitrary 7 to 8","1941DET.EVA.regular.comment.csv",21
"DET194108270",9,"$Grove pulls back. Career ends","1941DET.EVA.regular.comment.csv",22
"DET194109260",62,"ej,dykej101,M,geish901,Call at 1B $Jimmy Dykes was ejected by Umpire Harry Geisel for arguing the play at first base","1941DET.EVA.regular.comment.csv",23
