"CHA194204140",13,"$Major League debut for Bud Sketchley"FILENAME_TX","LINE_NUMBER_CT"

"CHA194204140",62,"$Major League debut for Thurman Tucker"1942CHA.EVA.regular.comment.csv",2

"CHA194204150",57,"$Major League debut for Tony Criscola"1942CHA.EVA.regular.comment.csv",3

"CHA194204160",9,"$Kolloway overslid third"1942CHA.EVA.regular.comment.csv",4

"CHA194204260",13,"$Bob Kennedy batted in Bud Sketchley's spot"1942CHA.EVA.regular.comment.csv",5

"CHA194204260",18,"$Bud Sketchley came to bat incorrectly as he had been skipped in the previous inning; White Sox Manager Jimmy Dykes sent Tom Turner to bat in his proper place; the Indians thought Sketchley had been called out for batting out of turn and the scoreboard had the out; the lineup given to the official scorer had Bob Kennedy ahead of Sketchley"1942CHA.EVA.regular.comment.csv",6

"CHA194204260",21,"$Indians manager Lou Boudreau claimed this was the third out and protested the game; the protest was dropped when the Indians won the game"1942CHA.EVA.regular.comment.csv",7

"CHA194205220",30,"$Busted squeeze play with error on rundown for score"1942CHA.EVA.regular.comment.csv",8

"CHA194205220",49,"$Kuhel had attempted a steal of home and apparently was safe but Kolloway insisted he had been hit, so Kuhel was called out of the dugout and sent back to third."1942CHA.EVA.regular.comment.csv",9

"CHA194205220",50,"$This time Kuhel was out on his attempted steal of home!"1942CHA.EVA.regular.comment.csv",10

"CHA194205220",84,"ej,dykej101,M,grieb901,Call at 1B $Chicago manager ejected by 1B umpire Grieve for arguing that 1bman tagged batter-runner"1942CHA.EVA.regular.comment.csv",11

"CHA194206160",49,"$Shortstop Suder went into short left for the popup when left fielder Johnson spiked him on the left heel; Suder made the catch, but had to leave the game"1942CHA.EVA.regular.comment.csv",12

"CHA194206170",8,"$Kolloway grounded to Marchildon who threw to Swift who ran Moses back to third as Appling also arrived at third and was tagged out"1942CHA.EVA.regular.comment.csv",13

"CHA194206180",38,"ej"1942CHA.EVA.regular.comment.csv",14

"CHA194206190",19,"ej,tresm101,P,pipgg101,Balls and strikes $Tresh ejected by HP umpire Pipgras for arguing balls and strikes while Pesky was at bat"1942CHA.EVA.regular.comment.csv",15

"CHA194206190",36,"$Ball hit down right field line and Moses could not find it under the bullpen bench, allowing DiMaggio to get IPHR"1942CHA.EVA.regular.comment.csv",16

"CHA194206211",14,"$Williams slips, falls rounding third and does not score"1942CHA.EVA.regular.comment.csv",17

"CHA194206211",31,"$Peacock's throw gets away from Lupien, Doerr retrieves ball and throws ball past Tabor at third"1942CHA.EVA.regular.comment.csv",18

"CHA194206211",51,"$Kuhel boots ball into foul ground, throws late to Lyons"1942CHA.EVA.regular.comment.csv",19

"CHA194206260",18,"Hoag tries to reach 2b, but finds Kennedy still there, is then caught in a rundown trying to get back to first."1942CHA.EVA.regular.comment.csv",20

"CHA194206260",22,"Hoag thinks Smith is running with 2 outs and has scored, but Hoag finds Smith at 3B, Smith then caught in rundown."1942CHA.EVA.regular.comment.csv",21

"CHA194206270",3,"ej,dykej101,M,geish901,Foul call on bunt ej,haasm101,C,geish901,Foul call on bunt $White Sox manager Dykes and coach Haas ejected by HP umpire Geisel arguing foul call on bunt attempt by Henrich"1942CHA.EVA.regular.comment.csv",22

"CHA194206270",4,"$DiMaggio line drive hit Grove's arm for single, short delay"1942CHA.EVA.regular.comment.csv",23

"CHA194206270",5,"$Grove given error for not touching first to complete DP"1942CHA.EVA.regular.comment.csv",24

"CHA194206270",47,"umpchange,5,umphome,grieb901 umpchange,5,ump1b,rue-j901 umpchange,5,ump3b,(None) $HP umpire Geisel, covering 3rd, is run into by pitcher Chandler who was backing up playl Geisel was knocked down, left game, and was hospitalized; 1B umpire Grieve went behind plate, 3B umpire Rue moved to 1st and game finished with 2 umpires"1942CHA.EVA.regular.comment.csv",25

"CHA194206281",0,"Yankee manager McCarthy misses game with gall bladder problem"1942CHA.EVA.regular.comment.csv",26

"CHA194206281",75,"With win over Ruffing, Lyons ties him as active leader with 251 victories"1942CHA.EVA.regular.comment.csv",27

"CHA194206282",13,"Rizzuto exits game after aggravating injury from game 1."1942CHA.EVA.regular.comment.csv",28

"CHA194206282",42,"Possible throwing error on attempted force out at 2b."1942CHA.EVA.regular.comment.csv",29

"CHA194206290",75,"Roy Weatherly suffered and injured right leg when he collided with Tom Turner at HP; Weatherly was carried from the field"1942CHA.EVA.regular.comment.csv",30

"CHA194207230",81,"ej,peskj101,P,romme101,Arguing safe call at 2B $Pesky ejected for arguing that Kuhel was out on steal"1942CHA.EVA.regular.comment.csv",31

"CHA194207280",63,"Rizzuto hits apparent double but out for missing first base."1942CHA.EVA.regular.comment.csv",32

"CHA194207292",58,"ej,haasm101,C,romme101,Call at 2B $Chicago coach Mule Haas ejected by Hubbard after Gordon committed error and possibly obstructed Kuhel at second base"1942CHA.EVA.regular.comment.csv",33

"CHA194208040",33,"pbp account ends here, rest deduced"1942CHA.EVA.regular.comment.csv",34

"CHA194208050",40,"pbp account ends here, rest deduced"1942CHA.EVA.regular.comment.csv",35

"CHA194208050",48,"ej,parsd101,P,summb901,Call at HP $Parsons argued so hard about the steal of home that he was ejected"1942CHA.EVA.regular.comment.csv",36

"CHA194208180",18,"$Gutteridge left because he was spiked by Kuhel in 2nd"1942CHA.EVA.regular.comment.csv",37

"CHA194209140",48,"$Major League debut for Andy Gilbert"1942CHA.EVA.regular.comment.csv",38

