"ALS195607100",0,"$Managers: Walter Alston (NL Brooklyn), Casey Stengel (AL New York); position starters chosen by fans and the managers chose the rest of the roster; heavy Cincinnati voting (see 1957)","FILENAME_TX","LINE_NUMBER_CT"
"ALS195607100",40,"umpchange,5,umphome,pineb101 umpchange,5,ump1b,hurle901 umpchange,5,ump2b,gorea901 umpchange,5,ump3b,berrc103 $the umpires changed positions","1956AS.EVE.asg.comment.csv",2
"ALS195607100",72,"$Stan Musial hurt making play","1956AS.EVE.asg.comment.csv",3
