"CIN196904070",13,"Debut game for Ted Sizemore"FILENAME_TX","LINE_NUMBER_CT"

"CIN196904070",65,"Debut game for Bill Russell"1969CIN.EVN.regular.comment.csv",2

"CIN196904200",62,"Debut game for Darrell Evans"1969CIN.EVN.regular.comment.csv",3

"CIN196904300",67,"$Jim Maloney ran through stop sign and pulled his groin muscle"1969CIN.EVN.regular.comment.csv",4

"CIN196905010",70,"Debut game for John Noriega"1969CIN.EVN.regular.comment.csv",5

"CIN196905160",70,"ej,brisd801,M,craws901,Game not called due to weather $Reds manager Bristol ejected by 1B umpire Crawford for complaining that field was unplayable"1969CIN.EVN.regular.comment.csv",6

"CIN196905160",72,"$21 minute rain delay after double by Perez"1969CIN.EVN.regular.comment.csv",7

"CIN196905240",7,"Jim Grant left with sore shoulder"1969CIN.EVN.regular.comment.csv",8

"CIN196905240",20,"370 ft"1969CIN.EVN.regular.comment.csv",9

"CIN196905240",21,"390 ft"1969CIN.EVN.regular.comment.csv",10

"CIN196906130",98,"ej,brisd801,M,barla901,Call at HP $Reds manager Bristol ejected by HP umpire Barlick for arguing that Qualls wsa out at home"1969CIN.EVN.regular.comment.csv",11

"CIN196906140",0,"$Billy Williams sat with an injured foot; first non-start since September 1963"1969CIN.EVN.regular.comment.csv",12

"CIN196906140",2,"ej,olivg101,P,kiblj901,Fair/foul call (from bullpen) Gene Oliver ejected by 1B umpire John Kibler; Oliver was sitting in the bullpen and argued a foul call down the RF line"1969CIN.EVN.regular.comment.csv",13

"CIN196906140",30,"DIFF: Officially credited as IW"1969CIN.EVN.regular.comment.csv",14

"CIN196906151",51,"Debut game for Rick Bladt"1969CIN.EVN.regular.comment.csv",15

"CIN196906152",0,"Suspend=19690902,CIN07,5,4,42"1969CIN.EVN.regular.comment.csv",16

"CIN196906152",68,"umpchange,8,umphome,venzt901 umpchange,8,ump1b,secof101 umpchange,8,ump2b,davis901 umpchange,8,ump3b,pryop901 suspended,19690902,CIN07,pre-determined stopping time $game suspended as previously agreed and completed on 9/2 with new umpires"1969CIN.EVN.regular.comment.csv",17

"CIN196906200",27,"ej,tolab101,P,engeb901,Call at 1B Bobby Tolan ejected by 1B umpire Bob Engel"1969CIN.EVN.regular.comment.csv",18

"CIN196906240",68,"previous two plays actually one play"1969CIN.EVN.regular.comment.csv",19

"CIN196907290",0,"$Tommy Helms out due to emergency appendectomy"1969CIN.EVN.regular.comment.csv",20

"CIN196907310",32,"$Coco Laboy collided with Bob Bailey on foul pop"1969CIN.EVN.regular.comment.csv",21

"CIN196907310",38,"$Coco Laboy collided with Ron Brand on foul pop"1969CIN.EVN.regular.comment.csv",22

"CIN196908090",7,"2:35 rain delay"1969CIN.EVN.regular.comment.csv",23

"CIN196908090",68,"$Missed squeeze bunt"1969CIN.EVN.regular.comment.csv",24

"CIN196908110",29,"ej,ruizc102,P,kiblj901,Call at 1B (Threw helmet) Chico Ruiz ejected by 1B umpire John Kibler"1969CIN.EVN.regular.comment.csv",25

"CIN196908150",16,"20 minute rain delay"1969CIN.EVN.regular.comment.csv",26

"CIN196908150",60,"49 minute rain delay"1969CIN.EVN.regular.comment.csv",27

"CIN196909020",0,"$suspended game of 6/15 completed before this game"1969CIN.EVN.regular.comment.csv",28

"CIN196909020",49,"Debut game for Bernie Carbo"1969CIN.EVN.regular.comment.csv",29

"CIN196909090",4,"ej,rosep001,P,olsea901,Claiming Gaylord Perry throwing spitter Pete Rose ejected by HP umpire Andy Olsen"1969CIN.EVN.regular.comment.csv",30

"CIN196909231",63,"$John Miller's second, and last, big-league homer; he homered in first and last ML at-bat"1969CIN.EVN.regular.comment.csv",31

"CIN196909231",66,"Debut game for Bob Stinson"1969CIN.EVN.regular.comment.csv",32

