"FLO200804010",37,"Mets pitcher Pedro Martinez left the game due to an injured leg"FILENAME_TX","LINE_NUMBER_CT"

"FLO200804060",78,"Debut game for Brian Bixler"2008FLO.EVN.regular.comment.csv",2

"FLO200804190",60,"originally scored E4, changed to single next day"2008FLO.EVN.regular.comment.csv",3

"FLO200804300",73,"Marlins pitcher Matt Lindstrom left the game due to an injured back"2008FLO.EVN.regular.comment.csv",4

"FLO200805030",59,"Greene left with irritation to his left eye"2008FLO.EVN.regular.comment.csv",5

"FLO200805040",56,"ej,blacb001,M,holbs901,Balls and strikes Padres Manager Bud Black ejected by HP umpire Sam Holbrook"2008FLO.EVN.regular.comment.csv",6

"FLO200805060",25,"ej,yoste001,M,coope901,Called third strike on Cameron Brewers Manager Ned Yost ejected by HP umpire Eric Cooper"2008FLO.EVN.regular.comment.csv",7

"FLO200805070",23,"Marlins first baseman Mike Jacobs left the game due to an injured leg"2008FLO.EVN.regular.comment.csv",8

"FLO200805180",76,"Debut game for Matt Tupman"2008FLO.EVN.regular.comment.csv",9

"FLO200805230",36,"Marlins center fielder Brett Carroll left the game due to an injured neck/shoulder"2008FLO.EVN.regular.comment.csv",10

"FLO200806080",1,"Debut game for Ryan Tucker"2008FLO.EVN.regular.comment.csv",11

"FLO200806090",5,"$home run #600 for Griffey; he is the sixth player to reach that milestone"2008FLO.EVN.regular.comment.csv",12

"FLO200806090",7,"Reds Jerry Hairston left the game due to an injured hand/wrist"2008FLO.EVN.regular.comment.csv",13

"FLO200806090",77,"ej,rossc001,P,hohnb901,Called third strike Marlins center fielder Cody Ross ejected by HP umpire Bill Hohn"2008FLO.EVN.regular.comment.csv",14

"FLO200806120",0,"$36 minute rain delay at start of game"2008FLO.EVN.regular.comment.csv",15

"FLO200806280",28,"$Uggla turned his ankle as he rounded the 1B bag"2008FLO.EVN.regular.comment.csv",16

"FLO200806280",33,"Marlins second baseman Dan Uggla left the game due to an injured foot/ankle"2008FLO.EVN.regular.comment.csv",17

"FLO200807010",1,"Debut game for Collin Balester"2008FLO.EVN.regular.comment.csv",18

"FLO200807020",37,"$Willie Harris called for interference"2008FLO.EVN.regular.comment.csv",19

"FLO200807180",34,"ej,manuc101,M,joycj901,Strike call on pitch that hit batter $Shane Victorino tried to bunt a ball that hit his leg; the pitch was called a strike and Phillies Manager Charlie Manuel objected; he was ejected by HP umpire Jim Joyce"2008FLO.EVN.regular.comment.csv",20

"FLO200807200",41,"$Jenkins bat broke and the heavy end came up to hit him on the right shoulder. He went down in much pain and left the game"2008FLO.EVN.regular.comment.csv",21

"FLO200807230",31,"$Braves third baseman Chipper Jones pulled hamstring running out grounder"2008FLO.EVN.regular.comment.csv",22

"FLO200807230",55,"Braves pitcher Tim Hudson left the game due to an injured elbow"2008FLO.EVN.regular.comment.csv",23

"FLO200807280",40,"Mets pitcher John Maine left the game due to an injured neck/shoulder"2008FLO.EVN.regular.comment.csv",24

"FLO200809030",23,"$Escobar left the game due to an injured neck/shoulder"2008FLO.EVN.regular.comment.csv",25

"FLO200809030",38,"ej,cox-b103,M,wegnm901,Balls and strikes $Braves manager Cox ejected by HP umpire Wegner for arguing balls and strikes after 1st pitch to Prado"2008FLO.EVN.regular.comment.csv",26

"FLO200809120",29,"Previous two plays are really one, must separate for now"2008FLO.EVN.regular.comment.csv",27

"FLO200809120",53,"Previous two plays are really one, must separate for now"2008FLO.EVN.regular.comment.csv",28

"FLO200809140",79,"Marlins runner Josh Willingham called out on appeal for leaving 3B too soon"2008FLO.EVN.regular.comment.csv",29

"FLO200809160",5,"Originally E6, changed two days later"2008FLO.EVN.regular.comment.csv",30

"FLO200809170",23,"originally S6, changed to single on appeal on 9-24-2008"2008FLO.EVN.regular.comment.csv",31

"FLO200809170",41,"Marlins shortstop Hanley Ramirez left the game due to an injured neck/shoulder"2008FLO.EVN.regular.comment.csv",32

"FLO200809170",83,"Debut game for Gaby Sanchez"2008FLO.EVN.regular.comment.csv",33

"FLO200809170",84,"Debut game for Jesus Delgado"2008FLO.EVN.regular.comment.csv",34

"FLO200809200",46,"Marlins pitcher Anibal Sanchez left the game due to an injured leg"2008FLO.EVN.regular.comment.csv",35

