"WS1191904230",0,"Opening day - Gen. Peyton C March threw out the first ball","FILENAME_TX","LINE_NUMBER_CT"
"WS1191904230",22,"Good play by 2B just to knock it down","1919WS1.EVA.regular.comment.csv",2
"WS1191904230",25,"Runner caught of first on a pitch out","1919WS1.EVA.regular.comment.csv",3
"WS1191904230",27,"Hit and run","1919WS1.EVA.regular.comment.csv",4
"WS1191904230",33,"$Runner went to 3rd but did not touch 2nd and was out","1919WS1.EVA.regular.comment.csv",5
"WS1191904230",62,"Bad hop on 3rd baseman","1919WS1.EVA.regular.comment.csv",6
"WS1191904230",69,"On an attempted squeeze play runner on 3rd was caught in a rundown. Runner on 2nd went to 3rd when C threw wild to 2nd","1919WS1.EVA.regular.comment.csv",7
"WS1191904240",7,"Infield hit","1919WS1.EVA.regular.comment.csv",8
"WS1191904240",37,"Throw to 2nd to double runner was wide","1919WS1.EVA.regular.comment.csv",9
"WS1191904240",38,"Ball got away from catcher, the runner on 1st broke for 2nd but runner on 2nd did not move. Catcher tagged runner trying to get back to 1st.","1919WS1.EVA.regular.comment.csv",10
"WS1191904240",41,"Pitcher slipped trying to throw runner out at 2nd. He then threw out runner at 1st while sitting on the ground","1919WS1.EVA.regular.comment.csv",11
"WS1191904240",114,"Texas leaguer hit","1919WS1.EVA.regular.comment.csv",12
"WS1191904270",0,"$2nd largest crowed to ever see a game in Washington","1919WS1.EVA.regular.comment.csv",13
"WS1191904270",39,"Pitcher slow to cover 1st and throw was wide","1919WS1.EVA.regular.comment.csv",14
"WS1191904280",66,"Catcher made a diving tag to get the runner","1919WS1.EVA.regular.comment.csv",15
"WS1191904300",14,"On an attempted pick-off catcher threw ball to CF Center fielder threw ball in to Boston dugout","1919WS1.EVA.regular.comment.csv",16
"WS1191904300",25,"Bad hop single","1919WS1.EVA.regular.comment.csv",17
"WS1191904300",41,"Pitcher cut off throw but just stood there with the ball","1919WS1.EVA.regular.comment.csv",18
"WS1191904300",45,"First baseman taggged runner","1919WS1.EVA.regular.comment.csv",19
"WS1191905310",13,"$when Moriarity ruled Shore safe at 1B Judge threw the ball down and it rolled away","1919WS1.EVA.regular.comment.csv",20
"WS1191905310",17,"$blown squeeze play","1919WS1.EVA.regular.comment.csv",21
"WS1191905310",35,"$Fewster did have foot on bag so Menosky safe at 2nd","1919WS1.EVA.regular.comment.csv",22
"WS1191906020",28,"$Ruth would have been doubled off 2nd but Shanks dropped ball","1919WS1.EVA.regular.comment.csv",23
"WS1191906020",63,"ej,shead101,P,hildg101,Arguing pitcher was fixing ball $Shean was ejected by umpire Hildebrand for aguing that the pitcher was throwing a shine ball","1919WS1.EVA.regular.comment.csv",24
"WS1191906060",32,"$On first pitch to batter, P pulled tendon and was replaced","1919WS1.EVA.regular.comment.csv",25
"WS1191906070",54,"$Grounder back to pitch who failed to tag batter. Pitcher threw home to get runner, but ump called him safe. Runner on first caught off second.","1919WS1.EVA.regular.comment.csv",26
"WS1191906100",12,"Nice catch to rob batter of extra bases","1919WS1.EVA.regular.comment.csv",27
"WS1191906100",60,"Close decision by Nallin at 1st that got crowed upset","1919WS1.EVA.regular.comment.csv",28
"WS1191906100",61,"ej,grifc101,M,nalld901,Balls and strikes Crowd really upset and started throwing bottles and cushions The runner appeared to be safe by 2 strides Senator manager Griffith ejected by umpire Nallin","1919WS1.EVA.regular.comment.csv",29
"WS1191906110",10,"Catcher and pitcher collided trying to field the bunt","1919WS1.EVA.regular.comment.csv",30
"WS1191906110",18,"Great stop by 2B who dove for bag to beat runner","1919WS1.EVA.regular.comment.csv",31
"WS1191906130",22,"Great scooping catch to rob batter of extra bases","1919WS1.EVA.regular.comment.csv",32
"WS1191906130",33,"Fine catch by Rice","1919WS1.EVA.regular.comment.csv",33
"WS1191906130",49,"Another great catch saving two runs","1919WS1.EVA.regular.comment.csv",34
"WS1191906150",2,"Runner on first headed for 3rd, Grover threw to 3rd but no one was covering, ball went into the stands","1919WS1.EVA.regular.comment.csv",35
"WS1191906150",18,"Great stop by LF robbing bater of extra bases","1919WS1.EVA.regular.comment.csv",36
"WS1191906150",60,"Ball hit to the circus seats in LF","1919WS1.EVA.regular.comment.csv",37
"WS1191906150",74,"Great running catch of drive just off the grass","1919WS1.EVA.regular.comment.csv",38
"WS1191906160",35,"Nice running catch by Rice","1919WS1.EVA.regular.comment.csv",39
"WS1191906160",44,"Cobb appeared to be out but was called safe.  Foster argued but finally calmed down.","1919WS1.EVA.regular.comment.csv",40
"WS1191906160",63,"Ball hit over the far wall and into Florida St","1919WS1.EVA.regular.comment.csv",41
"WS1191906180",41,"$failed hit & run on a pitchout","1919WS1.EVA.regular.comment.csv",42
"WS1191906190",43,"$Whitehouse late covering first","1919WS1.EVA.regular.comment.csv",43
"WS1191906190",64,"ej,gleak101,M,hildg101,Arguing call at HP $Mgr Gleason ejected by Hildebrand for arguing call at home","1919WS1.EVA.regular.comment.csv",44
"WS1191906190",74,"$Felsch's throw hit Murphy","1919WS1.EVA.regular.comment.csv",45
"WS1191906210",29,"$Judge failed to touch the bag","1919WS1.EVA.regular.comment.csv",46
"WS1191906210",45,"$Judge crashed against Schalk's right knee","1919WS1.EVA.regular.comment.csv",47
"WS1191906210",46,"$Foster spiked Lynn on the right hand","1919WS1.EVA.regular.comment.csv",48
"WS1191907010",51,"$Vick ran into his own bunted ball","1919WS1.EVA.regular.comment.csv",49
"WS1191907010",56,"ej,grifc101,M,dinnb101,Call at 1B $Washington manager Griffith ejected by 1b ump Dinneen for arguing call at first","1919WS1.EVA.regular.comment.csv",50
"WS1191907240",0,"Rice has a 17 game hitting steak coming into the game","1919WS1.EVA.regular.comment.csv",51
"WS1191907240",53,"Nice catch on the dead run","1919WS1.EVA.regular.comment.csv",52
"WS1191907250",39,"Ball hit bag allowing Judge to make play","1919WS1.EVA.regular.comment.csv",53
"WS1191907250",43,"Ball cought just above the grass tops","1919WS1.EVA.regular.comment.csv",54
"WS1191907250",58,"Shanks threw wild to the plate,The catcher Picinich retrieved the ball and his throw to first baseman Judge covering the plate almost got the runner Thomas","1919WS1.EVA.regular.comment.csv",55
"WS1191907270",35,"Ball hit so high that RF fell down, got up and caught it","1919WS1.EVA.regular.comment.csv",56
