"SEA199504270",47,"Debut game for Felipe Lira","FILENAME_TX","LINE_NUMBER_CT"
"SEA199504280",2,"Debut game for Shannon Penn","1995SEA.EVA.regular.comment.csv",2
"SEA199504280",41,"Debut game for Ben Blomdahl","1995SEA.EVA.regular.comment.csv",3
"SEA199504280",58,"Debut game for Todd Steverson","1995SEA.EVA.regular.comment.csv",4
"SEA199504280",72,"Debut game for Ron Villone","1995SEA.EVA.regular.comment.csv",5
"SEA199504290",57,"Debut game for Sean Whiteside","1995SEA.EVA.regular.comment.csv",6
"SEA199505120",13,"ej,guilo001,P,cobld901,Balls and strikes (from bench) Ozzie Guillen ejected by HP umpire Drew Coble from bench","1995SEA.EVA.regular.comment.csv",7
"SEA199505270",53,"Debut game for Tim Harikkala","1995SEA.EVA.regular.comment.csv",8
"SEA199505290",21,"Debut game for Derek Jeter","1995SEA.EVA.regular.comment.csv",9
"SEA199505310",56,"ej,showb801,M,tscht901,Arguing warnings after HBP $Yankees manager Showalter ejected by HP umpire Tschida for arguing warnings issued after HBP","1995SEA.EVA.regular.comment.csv",10
"SEA199506120",18,"ej,bosic001,P,shulj901,Balls and strikes Chris Bosio ejected by HP umpire John Shulock","1995SEA.EVA.regular.comment.csv",11
"SEA199506230",52,"Debut game for Chris Widger","1995SEA.EVA.regular.comment.csv",12
"SEA199506280",61,"ej,hendr001,P,mckej901,Call at 3B Rickey Henderson ejected by 3B umpire Jim McKean","1995SEA.EVA.regular.comment.csv",13
"SEA199507130",69,"$Pitcher let bunt drop, threw to shortstop who tagged runner off second then stepped on 2nd to force runner from 1st and then threw batter out","1995SEA.EVA.regular.comment.csv",14
"SEA199507240",59,"ej,pinil001,M,craft901,Balls and strikes Mariners manager Lou Piniella ejected by HP umpire Terry Craft after strike two called on Joey Cora","1995SEA.EVA.regular.comment.csv",15
"SEA199508070",46,"$Tino Martinez called for interference","1995SEA.EVA.regular.comment.csv",16
"SEA199508090",66,"ej,sojol001,P,mckej901,Called third strike Luis Sojo ejected by HP umpire Jim McKean","1995SEA.EVA.regular.comment.csv",17
"SEA199508180",1,"Debut game for Bob Wolcott","1995SEA.EVA.regular.comment.csv",18
"SEA199508240",21,"ej,fermf001,P,roe-r901,Call at 1B Felix Fermin ejected by 1B umpire Rocky Roe","1995SEA.EVA.regular.comment.csv",19
"SEA199509120",71,"Debut game for Arquimedez Pozo","1995SEA.EVA.regular.comment.csv",20
"SEA199509240",7,"ej,larut101,M,joycj901,Balls and strikes Athletics manager Tony LaRussa ejected by HP umpire Jim Joyce","1995SEA.EVA.regular.comment.csv",21
