"TBA200504060",31,"ej,lugoj001,P,cuzzp901,Called third strike $Lugo ejected by HP umpire Cuzzi for arguing called 3rd strike","FILENAME_TX","LINE_NUMBER_CT"
"TBA200504090",42,"Debut game for Keiichi Yabu","2005TBA.EVA.regular.comment.csv",2
"TBA200504240",25,"Devil Rays catcher Charles Johnson left the game due to an injured neck/shoulder","2005TBA.EVA.regular.comment.csv",3
"TBA200504240",56,"ej,nixot001,P,barrt901,Bench-clearing brawl ej,cartl002,P,barrt901,Throwing at David Ortiz ej,pinil001,M,barrt901,Throwing at David Ortiz ej,brazd001,P,barrt901,Bench-clearing brawl $Carter threw a pitch at Ortiz' head; Ortiz started to the mound but was held by Umpire Barrett; benches cleared; Devil Rays pitcher Lance Carter & Mgr Lou Piniella ejected by HP umpire Ted Barrett; Red Sox right fielder Trot Nixon ejected by HP umpire Ted Barrett Devil Rays pitcher Dewon Brazelton ejected by HP umpire Ted Barrett","2005TBA.EVA.regular.comment.csv",4
"TBA200504240",59,"ej,arrob001,P,barrt901,Intentional HBP ej,frant001,M,barrt901,Intentional HBP Red Sox pitcher Bronson Arroyo & Mgr Terry Francona ejected by HP umpire Ted Barrett","2005TBA.EVA.regular.comment.csv",5
"TBA200505020",30,"$Julio Lugo called for interference","2005TBA.EVA.regular.comment.csv",6
"TBA200505030",25,"Debut game for Robinson Cano","2005TBA.EVA.regular.comment.csv",7
"TBA200505040",1,"Debut game for Sean Henn","2005TBA.EVA.regular.comment.csv",8
"TBA200505040",71,"$Giambi hit on head by pitch","2005TBA.EVA.regular.comment.csv",9
"TBA200505070",49,"Debut game for Scott Baker","2005TBA.EVA.regular.comment.csv",10
"TBA200505090",43,"Devil Rays pitcher Hideo Nomo left the game due to an injured leg","2005TBA.EVA.regular.comment.csv",11
"TBA200505250",42,"Devil Rays center fielder Alex Sanchez left the game due to an injured leg","2005TBA.EVA.regular.comment.csv",12
"TBA200506130",12,"Debut game for Prince Fielder","2005TBA.EVA.regular.comment.csv",13
"TBA200506140",64,"Debut game for Tim Corcoran","2005TBA.EVA.regular.comment.csv",14
"TBA200506170",38,"Devil Rays pitcher Scott Kazmir left the game due to an injured foot/ankle","2005TBA.EVA.regular.comment.csv",15
"TBA200506250",1,"Debut game for Scott Olsen","2005TBA.EVA.regular.comment.csv",16
"TBA200506270",25,"ej,gibbj001,M,buckc901,Balls and strikes Blue Jays Manager John Gibbons ejected by HP umpire CB Bucknor","2005TBA.EVA.regular.comment.csv",17
"TBA200507080",9,"ej,roben001,P,mcclt901,Throwing behind batter Tigers pitcher Nate Robertson ejected by HP umpire Tim McClelland; his first pitch sailed behind Carl Crawford apparently as retaliation for Polanco being hit; he threw one pitch as a starter and then was ejected","2005TBA.EVA.regular.comment.csv",18
"TBA200507090",62,"Debut game for Kevin Hooper","2005TBA.EVA.regular.comment.csv",19
"TBA200507100",35,"Tigers second baseman Placido Polanco left the game due to an injured leg","2005TBA.EVA.regular.comment.csv",20
"TBA200507220",58,"Jay Gibbons left the game due to an injured back","2005TBA.EVA.regular.comment.csv",21
"TBA200507260",22,"Red Sox right fielder Trot Nixon left the game due to an injured back","2005TBA.EVA.regular.comment.csv",22
"TBA200507260",29,"$Line drive off right side of Clement's head. Did not lose consciousness. CT scan shows no damage","2005TBA.EVA.regular.comment.csv",23
"TBA200507260",78,"Debut game for Manny Delcarmen","2005TBA.EVA.regular.comment.csv",24
"TBA200507280",1,"fan interference","2005TBA.EVA.regular.comment.csv",25
"TBA200507310",69,"$Mike Sweeney called for interference","2005TBA.EVA.regular.comment.csv",26
"TBA200508220",66,"Tremendous catch by Gathright who crashed into wall, hurting shoulder.  Left for pinch-hitter.","2005TBA.EVA.regular.comment.csv",27
"TBA200509110",50,"ej,gibbj001,M,welkb901,Foul tip $Blue Jays manager Gibbons ejected by HP umpire Welke for arguing that the third strike foul tip hit the ground","2005TBA.EVA.regular.comment.csv",28
"TBA200509130",64,"Debut game for Mike Vento","2005TBA.EVA.regular.comment.csv",29
"TBA200509130",80,"$Vento thought the inning was over on the force at second and turned to dugout after crossing base","2005TBA.EVA.regular.comment.csv",30
"TBA200509150",71,"Devil Rays pitcher Jesus Colome left the game due to an injured leg","2005TBA.EVA.regular.comment.csv",31
"TBA200509190",23,"Red Sox second baseman Tony Graffanino left the game due to an injured groin","2005TBA.EVA.regular.comment.csv",32
"TBA200509190",50,"Debut game for Craig Hansen","2005TBA.EVA.regular.comment.csv",33
"TBA200509200",72,"Debut game for Hanley Ramirez","2005TBA.EVA.regular.comment.csv",34
"TBA200510010",52,"$Hollins thought it was third out, threw the ball into stands. Scored as 2 base throwing error","2005TBA.EVA.regular.comment.csv",35
