"ATL197704170",28,"$Bob Watson scored on close play that was rerun on the scoreboard causing a storm of boos; the umpires left the field and returned after assurance that no more close plays would be shown","FILENAME_TX","LINE_NUMBER_CT"
"ATL197704170",77,"ej,brisd801,M,sudoe901,Interference non-call $Braves manager Bristol ejected by 1B umpire Sudol for arguing play on Rockett; 3bman fielded liner on a bounce and threw past 1bman Watson; Rockett rounded 1st and collied with 1B umpire Sudol, giving Watson time to retrieve ball and tag Rockett; Bristol argued that umpire had interfered and Rockett should be safe","1977ATL.EVN.regular.comment.csv",2
"ATL197704220",61,"39 minute rain delay","1977ATL.EVN.regular.comment.csv",3
"ATL197704220",75,"41 minute rain delay","1977ATL.EVN.regular.comment.csv",4
"ATL197704230",51,"60 minute rain delay","1977ATL.EVN.regular.comment.csv",5
"ATL197704230",56,"8 minute rain delay","1977ATL.EVN.regular.comment.csv",6
"ATL197704240",37,"ej,loped001,P,monte901,Call at 1B $Lopes ejected by 1B umpire Montague for arguing he was safe at 1st","1977ATL.EVN.regular.comment.csv",7
"ATL197704270",45,"ej,offir101,P,quicj901,Call at 1B $Office ejected by 1B umpire Quick for arguing he was safe at 1st","1977ATL.EVN.regular.comment.csv",8
"ATL197705040",23,"Debut game for Don Collins","1977ATL.EVN.regular.comment.csv",9
"ATL197705040",27,"Debut game for Barry Bonnell","1977ATL.EVN.regular.comment.csv",10
"ATL197705040",40,"$Ed Ott pulled hamstring sliding","1977ATL.EVN.regular.comment.csv",11
"ATL197705150",60,"$Keith Hernandez out on appeal","1977ATL.EVN.regular.comment.csv",12
"ATL197705180",55,"61 minute rain delay","1977ATL.EVN.regular.comment.csv",13
"ATL197705200",0,"2:09 rain delay before start of game","1977ATL.EVN.regular.comment.csv",14
"ATL197705200",68,"$Steve Ontiveros hit above right eye","1977ATL.EVN.regular.comment.csv",15
"ATL197706110",1,"Debut game for Joey McLaughlin","1977ATL.EVN.regular.comment.csv",16
"ATL197706300",48,"$Dusty Baker called for interference as Rick Monday tried to steal 2B","1977ATL.EVN.regular.comment.csv",17
"ATL197707300",41,"$Phil Garner injured tagging Dick Ruthven","1977ATL.EVN.regular.comment.csv",18
"ATL197708050",81,"Debut game for Duane Theiss","1977ATL.EVN.regular.comment.csv",19
"ATL197708260",69,"$game called for rain after 80 minute delay","1977ATL.EVN.regular.comment.csv",20
"ATL197709050",4,"$Jerry Royster's liner caromed off Jim Barr's elbow into foul territory on the 3B side of the field","1977ATL.EVN.regular.comment.csv",21
"ATL197709050",53,"ej,folit001,P,steld901,Fighting with Dick Ruthven Tim Foli ejected by HP umpire Dick Stello after yelling at Dick Ruthven; Ruthven yelled back and a wrestling match started, causing both benches to clear","1977ATL.EVN.regular.comment.csv",22
"ATL197709090",69,"ej,montw101,P,willa901,Called third strike Willie Montanez ejected by HP umpire Art Williams","1977ATL.EVN.regular.comment.csv",23
"ATL197709240",49,"Debut game for Larry Bradford","1977ATL.EVN.regular.comment.csv",24
"ATL197709270",26,"ej,montw101,P,pullf901,Called third strike ej,brisd801,M,pullf901,Called third strike Willie Montanez and Braves Manager Dave Bristol ejected by HP umpire Frank Pulli","1977ATL.EVN.regular.comment.csv",25
