"BAL201803290",82,"$Twins challenged call that Davis was safe at 2nd, claiming he had been forced by the center fielder; call was upheld -  single"FILENAME_TX","LINE_NUMBER_CT"

"BAL201804090",11,"$Kendrys Morales left game with injured leg"2018BAL.EVA.regular.comment.csv",2

"BAL201804110",42,"$Orioles challenged call that Machado's hit was foul; call was overturned - single"2018BAL.EVA.regular.comment.csv",3

"BAL201804230",38,"$Indians challenged call that Gentry was safe at 1st for single; call was overturned - ground out"2018BAL.EVA.regular.comment.csv",4

"BAL201804260",23,"$Rays challenged call that Wendle was out at first to complete double play; call was overturned - force out"2018BAL.EVA.regular.comment.csv",5

"BAL201804260",74,"$Orioles challenged call that Alvarez was out at 1st; call was upheld - ground out"2018BAL.EVA.regular.comment.csv",6

"BAL201804290",24,"$Daniel Norris left with injured groin"2018BAL.EVA.regular.comment.csv",7

"BAL201804290",37,"$Miguel Cabrera left with injured arm"2018BAL.EVA.regular.comment.csv",8

"BAL201805090",49,"$Royals challengd call that Trumbo was safe on throwing error; call was overturned - ground out"2018BAL.EVA.regular.comment.csv",9

"BAL201805090",68,"$Royals challenged call that Merrifield was out at 2nd; call was overturned - safe on dropped catch error"2018BAL.EVA.regular.comment.csv",10

"BAL201805100",83,"$Royals challenged call that Soler was out at second; call was upheld - force out"2018BAL.EVA.regular.comment.csv",11

"BAL201805121",20,"$Rays challenged call that Sisco was safe at home; call was upheld - stolen base"2018BAL.EVA.regular.comment.csv",12

"BAL201805122",64,"$Rays challenged call that Smith was out at 3rd; call was overturned - stolen base"2018BAL.EVA.regular.comment.csv",13

"BAL201805290",47,"$Nationals challenged call that Taylor was out at 2nd; call was overturned - stolen base"2018BAL.EVA.regular.comment.csv",14

"BAL201805290",75,"$Nationals challenged call that Mancini was hit by pitch; call was upheld - hit by pitch"2018BAL.EVA.regular.comment.csv",15

"BAL201806130",14,"$Orioles challenged call that first pitch was a ball, claiming Trumbo had been hit; call was overturned - hit by pitch"2018BAL.EVA.regular.comment.csv",16

"BAL201806130",43,"$Orioles challenged call that Martinez was safe at home; call was upheld - safe"2018BAL.EVA.regular.comment.csv",17

"BAL201806130",60,"ej,salec001,P,knigb901,Arguing balls and strikes $Chris Sale was ejected by plate umpire Knight as he left the field after being removed; arguing balls and strikes"2018BAL.EVA.regular.comment.csv",18

"BAL201806150",43,"$Miguel Rojas left with an injured hand; pitch deflected off his hand into his right cheek"2018BAL.EVA.regular.comment.csv",19

"BAL201806150",52,"$originally scored E6, changed to single on 06-20-2018"2018BAL.EVA.regular.comment.csv",20

"BAL201806250",74,"ej,odayd001,P,sches901,Balk call ej,showb801,M,sches901,Balk call $Pitcher O'Day and Baltimore manager Showalter ejected by HP umpire Scheurwater for arguing balk call"2018BAL.EVA.regular.comment.csv",21

"BAL201806260",16,"$Mariners challenged call that Schoop was safe at home; call was overturned - out at home"2018BAL.EVA.regular.comment.csv",22

"BAL201806290",44,"$Angels challenged call that Simmons was out at home; call was overturned - safe at home on fielder's choice"2018BAL.EVA.regular.comment.csv",23

"BAL201806300",63,"$Intentional walk originally charged to Scott, but signal for the walk came before the pitching change; run now the responsibility of Givens"2018BAL.EVA.regular.comment.csv",24

"BAL201807091",5,"On-field Delay"2018BAL.EVA.regular.comment.csv",25

"BAL201807091",18,"Mound Visit"2018BAL.EVA.regular.comment.csv",26

"BAL201807091",31,"Mound Visit"2018BAL.EVA.regular.comment.csv",27

"BAL201807091",33,"Mound Visit"2018BAL.EVA.regular.comment.csv",28

"BAL201807091",50,"Mound Visit"2018BAL.EVA.regular.comment.csv",29

"BAL201807091",73,"Mound Visit"2018BAL.EVA.regular.comment.csv",30

"BAL201807092",25,"Mound Visit"2018BAL.EVA.regular.comment.csv",31

"BAL201807092",38,"Mound Visit"2018BAL.EVA.regular.comment.csv",32

"BAL201807092",40,"Mound Visit"2018BAL.EVA.regular.comment.csv",33

"BAL201807092",65,"Mound Visit"2018BAL.EVA.regular.comment.csv",34

"BAL201807092",69,"$Orioles challenged call that Stanton was safe at first; call was upheld - safe on error"2018BAL.EVA.regular.comment.csv",35

"BAL201807092",77,"Mound Visit"2018BAL.EVA.regular.comment.csv",36

"BAL201807092",81,"Mound Visit"2018BAL.EVA.regular.comment.csv",37

"BAL201807100",11,"$Umpire review; call was overturned - double, not homer"2018BAL.EVA.regular.comment.csv",38

"BAL201807100",30,"On-field Delay"2018BAL.EVA.regular.comment.csv",39

"BAL201807100",31,"Mound Visit"2018BAL.EVA.regular.comment.csv",40

"BAL201807100",40,"Mound Visit"2018BAL.EVA.regular.comment.csv",41

"BAL201807100",51,"Mound Visit"2018BAL.EVA.regular.comment.csv",42

"BAL201807100",58,"$Umpire review; call was overturned - homer, not single"2018BAL.EVA.regular.comment.csv",43

"BAL201807100",68,"Mound Visit"2018BAL.EVA.regular.comment.csv",44

"BAL201807100",69,"$Yankees challenged call that Gregorius was out at 2nd; call was upheld - out advancing"2018BAL.EVA.regular.comment.csv",45

"BAL201807100",73,"Mound Visit"2018BAL.EVA.regular.comment.csv",46

"BAL201807100",75,"Mound Visit"2018BAL.EVA.regular.comment.csv",47

"BAL201807110",16,"Mound Visit"2018BAL.EVA.regular.comment.csv",48

"BAL201807110",24,"Mound Visit"2018BAL.EVA.regular.comment.csv",49

"BAL201807110",25,"Mound Visit"2018BAL.EVA.regular.comment.csv",50

"BAL201807110",48,"Mound Visit"2018BAL.EVA.regular.comment.csv",51

"BAL201807110",67,"Mound Visit"2018BAL.EVA.regular.comment.csv",52

"BAL201807110",80,"On-field Delay"2018BAL.EVA.regular.comment.csv",53

"BAL201807120",22,"Mound Visit"2018BAL.EVA.regular.comment.csv",54

"BAL201807120",44,"Mound Visit"2018BAL.EVA.regular.comment.csv",55

"BAL201807120",49,"Mound Visit"2018BAL.EVA.regular.comment.csv",56

"BAL201807120",54,"Injury Delay"2018BAL.EVA.regular.comment.csv",57

"BAL201807120",57,"Mound Visit"2018BAL.EVA.regular.comment.csv",58

"BAL201807120",57,"On-field Delay"2018BAL.EVA.regular.comment.csv",59

"BAL201807120",63,"Mound Visit"2018BAL.EVA.regular.comment.csv",60

"BAL201807120",71,"Mound Visit"2018BAL.EVA.regular.comment.csv",61

"BAL201807120",75,"Mound Visit"2018BAL.EVA.regular.comment.csv",62

"BAL201807130",24,"Mound Visit"2018BAL.EVA.regular.comment.csv",63

"BAL201807130",41,"$Rangers challenged call that Beltre was out at first to complete double play; call was upheld - double play"2018BAL.EVA.regular.comment.csv",64

"BAL201807130",47,"Mound Visit"2018BAL.EVA.regular.comment.csv",65

"BAL201807130",49,"Mound Visit"2018BAL.EVA.regular.comment.csv",66

"BAL201807130",50,"On-field Delay"2018BAL.EVA.regular.comment.csv",67

"BAL201807130",52,"Mound Visit"2018BAL.EVA.regular.comment.csv",68

"BAL201807130",56,"Mound Visit"2018BAL.EVA.regular.comment.csv",69

"BAL201807130",57,"Mound Visit"2018BAL.EVA.regular.comment.csv",70

"BAL201807130",67,"Mound Visit"2018BAL.EVA.regular.comment.csv",71

"BAL201807130",68,"Mound Visit"2018BAL.EVA.regular.comment.csv",72

"BAL201807140",45,"Mound Visit"2018BAL.EVA.regular.comment.csv",73

"BAL201807140",51,"Mound Visit"2018BAL.EVA.regular.comment.csv",74

"BAL201807150",2,"Mound Visit"2018BAL.EVA.regular.comment.csv",75

"BAL201807150",19,"Mound Visit"2018BAL.EVA.regular.comment.csv",76

"BAL201807150",26,"Mound Visit"2018BAL.EVA.regular.comment.csv",77

"BAL201807150",28,"Mound Visit"2018BAL.EVA.regular.comment.csv",78

"BAL201807150",33,"Injury Delay Mound Visit"2018BAL.EVA.regular.comment.csv",79

"BAL201807150",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",80

"BAL201807150",61,"$Rangers challenged call that Odor was out at second; call was upheld - out on caught stealing"2018BAL.EVA.regular.comment.csv",81

"BAL201807230",28,"On-field Delay"2018BAL.EVA.regular.comment.csv",82

"BAL201807230",34,"Mound Visit"2018BAL.EVA.regular.comment.csv",83

"BAL201807230",37,"Mound Visit"2018BAL.EVA.regular.comment.csv",84

"BAL201807230",62,"Mound Visit"2018BAL.EVA.regular.comment.csv",85

"BAL201807230",64,"$Orioles challenged call that Beckham was out at first; call was overturned - single"2018BAL.EVA.regular.comment.csv",86

"BAL201807230",72,"Mound Visit"2018BAL.EVA.regular.comment.csv",87

"BAL201807230",75,"Mound Visit"2018BAL.EVA.regular.comment.csv",88

"BAL201807240",36,"Mound Visit"2018BAL.EVA.regular.comment.csv",89

"BAL201807240",43,"Mound Visit"2018BAL.EVA.regular.comment.csv",90

"BAL201807240",52,"Mound Visit"2018BAL.EVA.regular.comment.csv",91

"BAL201807240",54,"Mound Visit"2018BAL.EVA.regular.comment.csv",92

"BAL201807240",66,"Mound Visit"2018BAL.EVA.regular.comment.csv",93

"BAL201807240",76,"Mound Visit"2018BAL.EVA.regular.comment.csv",94

"BAL201807260",13,"Mound Visit"2018BAL.EVA.regular.comment.csv",95

"BAL201807260",33,"Mound Visit"2018BAL.EVA.regular.comment.csv",96

"BAL201807260",52,"$Umpire review ball hit by Choi; call was upheld - double on fan interference"2018BAL.EVA.regular.comment.csv",97

"BAL201807260",53,"Mound Visit"2018BAL.EVA.regular.comment.csv",98

"BAL201807260",54,"Mound Visit"2018BAL.EVA.regular.comment.csv",99

"BAL201807260",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",100

"BAL201807260",68,"Mound Visit"2018BAL.EVA.regular.comment.csv",101

"BAL201807270",0,"$Rain delay of 1:19 at start of game"2018BAL.EVA.regular.comment.csv",102

"BAL201807270",13,"$Orioles challenged call that Gomez was safe at 1st on pickoff attempt; call was overturned - out on pickoff"2018BAL.EVA.regular.comment.csv",103

"BAL201807270",31,"$Rays challenged placement of runners after errant throw; call was upheld - Davis scores"2018BAL.EVA.regular.comment.csv",104

"BAL201807270",32,"Mound Visit"2018BAL.EVA.regular.comment.csv",105

"BAL201807270",46,"Mound Visit"2018BAL.EVA.regular.comment.csv",106

"BAL201807270",59,"Mound Visit"2018BAL.EVA.regular.comment.csv",107

"BAL201807270",67,"Mound Visit"2018BAL.EVA.regular.comment.csv",108

"BAL201807270",80,"Mound Visit"2018BAL.EVA.regular.comment.csv",109

"BAL201807270",81,"Mound Visit"2018BAL.EVA.regular.comment.csv",110

"BAL201807270",89,"Mound Visit"2018BAL.EVA.regular.comment.csv",111

"BAL201807280",1,"Injury Delay"2018BAL.EVA.regular.comment.csv",112

"BAL201807280",32,"Mound Visit"2018BAL.EVA.regular.comment.csv",113

"BAL201807280",44,"$Rays challenged call that Davis was safe at first; call was upheld - force out, not DP"2018BAL.EVA.regular.comment.csv",114

"BAL201807280",55,"Mound Visit"2018BAL.EVA.regular.comment.csv",115

"BAL201807280",55,"On-field Delay"2018BAL.EVA.regular.comment.csv",116

"BAL201807280",72,"On-field Delay"2018BAL.EVA.regular.comment.csv",117

"BAL201807290",8,"Injury Delay"2018BAL.EVA.regular.comment.csv",118

"BAL201807290",10,"Mound Visit"2018BAL.EVA.regular.comment.csv",119

"BAL201807290",31,"Injury Delay"2018BAL.EVA.regular.comment.csv",120

"BAL201807290",33,"$Daniel Robertson left with an injured ankle"2018BAL.EVA.regular.comment.csv",121

"BAL201807290",34,"$Umpire review of ball hit by Wynnes; call was upheld - homer"2018BAL.EVA.regular.comment.csv",122

"BAL201807290",46,"$Orioles challenged call that Rickard was out at 3rd; call was overturned - safe on advance"2018BAL.EVA.regular.comment.csv",123

"BAL201807290",47,"Mound Visit"2018BAL.EVA.regular.comment.csv",124

"BAL201807290",70,"Mound Visit"2018BAL.EVA.regular.comment.csv",125

"BAL201807290",81,"$Orioles challenged call that Gomez was hit by pitch; call was upheld - hit by pitch Injury Delay Mound Visit"2018BAL.EVA.regular.comment.csv",126

"BAL201808100",19,"Mound Visit"2018BAL.EVA.regular.comment.csv",127

"BAL201808100",31,"Mound Visit"2018BAL.EVA.regular.comment.csv",128

"BAL201808100",32,"Mound Visit"2018BAL.EVA.regular.comment.csv",129

"BAL201808100",34,"Mound Visit"2018BAL.EVA.regular.comment.csv",130

"BAL201808100",58,"Mound Visit"2018BAL.EVA.regular.comment.csv",131

"BAL201808100",63,"Mound Visit"2018BAL.EVA.regular.comment.csv",132

"BAL201808100",64,"Mound Visit"2018BAL.EVA.regular.comment.csv",133

"BAL201808100",70,"Mound Visit Mound Visit"2018BAL.EVA.regular.comment.csv",134

"BAL201808100",72,"Injury Delay"2018BAL.EVA.regular.comment.csv",135

"BAL201808100",78,"Mound Visit"2018BAL.EVA.regular.comment.csv",136

"BAL201808100",87,"Mound Visit"2018BAL.EVA.regular.comment.csv",137

"BAL201808100",88,"Mound Visit"2018BAL.EVA.regular.comment.csv",138

"BAL201808100",91,"Mound Visit"2018BAL.EVA.regular.comment.csv",139

"BAL201808111",33,"Mound Visit"2018BAL.EVA.regular.comment.csv",140

"BAL201808111",34,"Mound Visit"2018BAL.EVA.regular.comment.csv",141

"BAL201808111",39,"Mound Visit"2018BAL.EVA.regular.comment.csv",142

"BAL201808111",48,"Mound Visit"2018BAL.EVA.regular.comment.csv",143

"BAL201808112",13,"Mound Visit"2018BAL.EVA.regular.comment.csv",144

"BAL201808112",18,"Injury Delay"2018BAL.EVA.regular.comment.csv",145

"BAL201808112",23,"Mound Visit"2018BAL.EVA.regular.comment.csv",146

"BAL201808112",24,"Mound Visit"2018BAL.EVA.regular.comment.csv",147

"BAL201808112",27,"Mound Visit"2018BAL.EVA.regular.comment.csv",148

"BAL201808112",39,"Mound Visit"2018BAL.EVA.regular.comment.csv",149

"BAL201808112",48,"Mound Visit"2018BAL.EVA.regular.comment.csv",150

"BAL201808112",64,"Mound Visit"2018BAL.EVA.regular.comment.csv",151

"BAL201808112",69,"Mound Visit"2018BAL.EVA.regular.comment.csv",152

"BAL201808112",74,"Mound Visit"2018BAL.EVA.regular.comment.csv",153

"BAL201808112",80,"$Red Sox challenged call that Bradley was out at second; call was upheld - out on caught stealing"2018BAL.EVA.regular.comment.csv",154

"BAL201808120",24,"Mound Visit"2018BAL.EVA.regular.comment.csv",155

"BAL201808120",44,"Mound Visit"2018BAL.EVA.regular.comment.csv",156

"BAL201808120",46,"Mound Visit"2018BAL.EVA.regular.comment.csv",157

"BAL201808120",46,"Mound Visit"2018BAL.EVA.regular.comment.csv",158

"BAL201808120",51,"Mound Visit"2018BAL.EVA.regular.comment.csv",159

"BAL201808120",72,"Mound Visit"2018BAL.EVA.regular.comment.csv",160

"BAL201808120",76,"Mound Visit"2018BAL.EVA.regular.comment.csv",161

"BAL201808120",77,"Mound Visit"2018BAL.EVA.regular.comment.csv",162

"BAL201808140",34,"Mound Visit"2018BAL.EVA.regular.comment.csv",163

"BAL201808140",46,"Mound Visit"2018BAL.EVA.regular.comment.csv",164

"BAL201808140",57,"Mound Visit"2018BAL.EVA.regular.comment.csv",165

"BAL201808140",68,"Mound Visit"2018BAL.EVA.regular.comment.csv",166

"BAL201808140",71,"Mound Visit"2018BAL.EVA.regular.comment.csv",167

"BAL201808150",12,"Mound Visit"2018BAL.EVA.regular.comment.csv",168

"BAL201808150",17,"$Mets challenged call that Beckham was safe at first; call was overturned - ground out"2018BAL.EVA.regular.comment.csv",169

"BAL201808150",33,"Mound Visit"2018BAL.EVA.regular.comment.csv",170

"BAL201808150",50,"Mound Visit"2018BAL.EVA.regular.comment.csv",171

"BAL201808150",54,"Mound Visit"2018BAL.EVA.regular.comment.csv",172

"BAL201808150",56,"Mound Visit"2018BAL.EVA.regular.comment.csv",173

