"CHN193804290",23,"$Dizzy Dean left with pain in his right bicep","FILENAME_TX","LINE_NUMBER_CT"
"CHN193805030",37,"$Billy Herman intentionally dropped the popup","1938CHN.EVN.regular.comment.csv",2
"CHN193805050",4,"$Wayne LaMaster left with injured arm","1938CHN.EVN.regular.comment.csv",3
"CHN193805070",40,"light rain started","1938CHN.EVN.regular.comment.csv",4
"CHN193806020",69,"$Vince DiMaggio and Rabbit Warstler ended up on 3B","1938CHN.EVN.regular.comment.csv",5
"CHN193806040",58,"$Gabby Hartnett struck on arm","1938CHN.EVN.regular.comment.csv",6
"CHN193806060",54,"$Del Young intentionally dropped the popup","1938CHN.EVN.regular.comment.csv",7
"CHN193806060",80,"ej,galaa101,P,mageg901,Call at 1B ej,grimc101,M,mageg901,Call at 1B $1B umpire Tiny Parker called Augie Galan safe but HP umpire George Magerkurth overruled; Augie Galan and Cubs Manager Charlie Grimm ejected by Magerkurth","1938CHN.EVN.regular.comment.csv",8
"CHN193806082",35,"next two plays one play","1938CHN.EVN.regular.comment.csv",9
"CHN193806082",36,"$the throw beat the runner to HP but HP umpire Beans Reardon ruled Bob Garbark missed the tag","1938CHN.EVN.regular.comment.csv",10
"CHN193806082",37,"$during the argument at HP, Carl Hubbell ran to 2B and Clay Bryant threw the ball into CF; Hubbell ran to 3B; 3B umpire Larry Goetz ordered Hubbell back to 1B because he thought time was called; when the Giants argued, Hubbell was sent back to 3B","1938CHN.EVN.regular.comment.csv",11
"CHN193806090",47,"Reconstructed to end of game","1938CHN.EVN.regular.comment.csv",12
"CHN193806121",43,"$Bill Lee dropped the ball for a balk","1938CHN.EVN.regular.comment.csv",13
"CHN193806280",76,"pbp account ends here, rest deduced","1938CHN.EVN.regular.comment.csv",14
"CHN193806290",66,"pbp account ends here, rest deduced","1938CHN.EVN.regular.comment.csv",15
"CHN193806290",75,"Reconstructed to end of game","1938CHN.EVN.regular.comment.csv",16
"CHN193807110",49,"ej,ens-j101,C,barrg901,Call at HP ej,todda101,P,barrg901,Call at HP Al Todd and Pirates Coach Jewel Ens ejected by HP umpire George Barr","1938CHN.EVN.regular.comment.csv",17
"CHN193807120",62,"$Batter safe because Cavaretta had his foot off the base when he caught throw from Jurges","1938CHN.EVN.regular.comment.csv",18
"CHN193807150",32,"$Ripper Collins lost the ball in the sun and George Scharein strayed off the bag","1938CHN.EVN.regular.comment.csv",19
"CHN193807160",0,"ej,frenl101,P,searz901,Bench jockeying Larry French ejected by 3B umpire Ziggy Sears sometime during game for bench jockeying; Sears challenged French to meet him after the game","1938CHN.EVN.regular.comment.csv",20
"CHN193807160",61,"$Clay Bryant left with bruised finger after knocking down line drive from West with his bare hand","1938CHN.EVN.regular.comment.csv",21
"CHN193807160",95,"$1B umpire Bill Klem was surrounded by Bees arguing Stan Hack was out; Larry French came onto the field in street clothes and followed Ziggy Sears into runway to the umpires' room with Stan Hack and coaches Roy Johnson and Red Corriden in pursuit","1938CHN.EVN.regular.comment.csv",22
"CHN193807172",46,"$Stan Hack called for interference at 2B","1938CHN.EVN.regular.comment.csv",23
"CHN193807180",6,"$Gene Moore left with injured knee","1938CHN.EVN.regular.comment.csv",24
"CHN193807232",34,"ej,jurgb101,P,barrg901,Fighting ej,bartd101,P,barrg901,Fighting $Jurges and SS Bartell ejected by HP umpire Barr for fighting after Jurges objected to hard tag by Bartell; benches cleared","1938CHN.EVN.regular.comment.csv",25
"CHN193808150",3,"$Gabby Hartnett suffered broken thumb on foul ball","1938CHN.EVN.regular.comment.csv",26
"CHN193808161",81,"rain started","1938CHN.EVN.regular.comment.csv",27
"CHN193808162",15,"$Augie Galan fell rounding 2B","1938CHN.EVN.regular.comment.csv",28
"CHN193808162",44,"$Johnny Mize had no play on Stan Hack but realized 2 Cubs were on 3B","1938CHN.EVN.regular.comment.csv",29
"CHN193808211",52,"ej,handl101,P,searz901,Call at 3B (Grabbed umpire) Lee Handley ejected by 3B umpire Ziggy Sears","1938CHN.EVN.regular.comment.csv",30
"CHN193808230",40,"Rest of game reconstructed","1938CHN.EVN.regular.comment.csv",31
"CHN193808281",63,"ej,yound105,P,mageg901,Call at 2B Del Young ejected by 1B umpire George Magerkurth","1938CHN.EVN.regular.comment.csv",32
"CHN193808282",63,"ej,weinp101,P,mageg901,Called third strike Phil Weintraub ejected by HP umpire George Magerkurth","1938CHN.EVN.regular.comment.csv",33
"CHN193808310",16,"ej,reync102,P,parkg901,Arguing play at 2B $Reynolds ejected by 1b umpire Parker for arguing call at second; throw to third got away form 3bman and was retrieved by pitcher who threw to second to retire Reynolds","1938CHN.EVN.regular.comment.csv",34
"CHN193809100",24,"$Harry Craft called for interference","1938CHN.EVN.regular.comment.csv",35
"CHN193809270",14,"$Augie Galan tore a ligament on play at 2B","1938CHN.EVN.regular.comment.csv",36
"CHN193809280",85,"$the homer in the gloamin'","1938CHN.EVN.regular.comment.csv",37
"CHN193809290",81,"$Gabby Hartnett injured by foul ball","1938CHN.EVN.regular.comment.csv",38
