"OAK200405080",46,"$Kotsay left game with injured knee"FILENAME_TX","LINE_NUMBER_CT"

"OAK200405220",1,"Debut game for Zack Greinke"2004OAK.EVA.regular.comment.csv",2

"OAK200406080",47,"$Larkin left game with injured groin"2004OAK.EVA.regular.comment.csv",3

"OAK200406080",76,"$Mecir left game with injured knee"2004OAK.EVA.regular.comment.csv",4

"OAK200406090",41,"After Hatteberg missed throw, it bounced off Crosby's foot down the line"2004OAK.EVA.regular.comment.csv",5

"OAK200406120",14,"2bman Castillo called for obstruction"2004OAK.EVA.regular.comment.csv",6

"OAK200406120",76,"ej,torrs001,P,danlk901,Throwing at batter after warning ej,mccll001,M,danlk901,Automatic ejection when pitcher threw at batter $Pitcher Torres and Pirate manager McClendon ejected by HP umpire Danley for throwing behind batter after warning"2004OAK.EVA.regular.comment.csv",7

"OAK200406130",32,"$Mackowiak left game with injured neck"2004OAK.EVA.regular.comment.csv",8

"OAK200406260",18,"$Harden left game with injured neck"2004OAK.EVA.regular.comment.csv",9

"OAK200407010",54,"$Kielty batted right because of sore ribs"2004OAK.EVA.regular.comment.csv",10

"OAK200407260",40,"ej,pricb801,C,relic901,Balls and strikes Seattle pitching coach Bryan Price ejected by HP umpire Charlie Reliford"2004OAK.EVA.regular.comment.csv",11

"OAK200408130",66,"$Camp left game with injured leg"2004OAK.EVA.regular.comment.csv",12

"OAK200408130",77,"Debut game for Jorge Vasquez"2004OAK.EVA.regular.comment.csv",13

"OAK200408230",61,"ej,garck002,P,cuzzp901,Called third strike Karim Garcia ejected by HP umpire Phil Cuzzi"2004OAK.EVA.regular.comment.csv",14

"OAK200408240",22,"$Melvin Mora called for interference"2004OAK.EVA.regular.comment.csv",15

"OAK200408290",46,"ej,uptob001,P,reynj901,Called third strike $B.J. Upton ejected by HP umpire Jim Reynolds"2004OAK.EVA.regular.comment.csv",16

"OAK200409130",42,"$Teixeira dove to his left, tagged the bag and then chased Scutaro; the runner avoided the tag and got back to 1B but the Rangers claimed he ran out of the baseline"2004OAK.EVA.regular.comment.csv",17

"OAK200409130",77,"19 minute delay due to an incident between Rangers relief pitchers & fans; Brocail & fan exchanged loud insults; Francisco threw a chair at fans, hitting two & breaking a person's nose; Francisco was arrested after the game"2004OAK.EVA.regular.comment.csv",18

"OAK200409160",70,"$Soriano grabbed his left leg after the steal and left the game; possibly out for year"2004OAK.EVA.regular.comment.csv",19

"OAK200410010",54,"$Hammond left game with injured groin"2004OAK.EVA.regular.comment.csv",20

"OAK200410010",66,"Debut game for Mike Rose"2004OAK.EVA.regular.comment.csv",21

