"SFN199904210",1,"Debut game for Joe Nathan"FILENAME_TX","LINE_NUMBER_CT"

"SFN199905100",36,"ej,cox-b103,M,laynj901,Interference non-call $Braves manager Cox ejected by HP umpire Layne for that Benard ran inside baseline"1999SFN.EVN.regular.comment.csv",2

"SFN199905110",18,"ej,cox-b103,M,davig901,Balk call Braves manager Bobby Cox ejected by 2B umpire Gerry Davis"1999SFN.EVN.regular.comment.csv",3

"SFN199905110",46,"ej,jordb001,P,drecb901,Called third strike Brian Jordan ejected by HP umpire Bruce Dreckman"1999SFN.EVN.regular.comment.csv",4

"SFN199905110",95,"Debut game for Pascual Matos"1999SFN.EVN.regular.comment.csv",5

"SFN199906220",62,"Debut game for Calvin Murray"1999SFN.EVN.regular.comment.csv",6

"SFN199906230",29,"ej,hayec001,P,darlg901,Balls and strikes $Giants Hayes, not in game, ejected by HP umpire Darling for arguing balls and strikes while Woodard was at bat"1999SFN.EVN.regular.comment.csv",7

"SFN199907280",24,"ej,mcgwm001,P,bonig901,Balls and strikes Mark McGwire ejected by HP umpire Greg Bonin"1999SFN.EVN.regular.comment.csv",8

"SFN199907280",57,"ej,kentj001,P,bonig901,Balls and strikes Jeff Kent ejected by HP umpire Greg Bonin"1999SFN.EVN.regular.comment.csv",9

"SFN199908140",81,"ej,dunss001,P,wintm901,Balls and strikes Shawon Dunston ejected by HP umpire Mike Winters"1999SFN.EVN.regular.comment.csv",10

"SFN199908160",1,"Debut game for Tony Armas Jr."1999SFN.EVN.regular.comment.csv",11

"SFN199909020",0,"Debut for umpire Jim Wolf"1999SFN.EVN.regular.comment.csv",12

"SFN199909250",10,"Debut game for Rod Barajas"1999SFN.EVN.regular.comment.csv",13

