"SLN201104040",17,"$fan interference","FILENAME_TX","LINE_NUMBER_CT"
"SLN201104220",0,"$the Cardinals opted to start the game on time even though it was raining with a threat of hail; Cardinals manager Tony LaRussa swapped his pitchers at the last minute by starting a relief pitcher instead of the scheduled starter, who came into the game after the first rain delay","2011SLN.EVN.regular.comment.csv",2
"SLN201104220",2,"2:10 rain delay","2011SLN.EVN.regular.comment.csv",3
"SLN201104220",2,"$Kyle McClellan was the intended starter for the Cardinals","2011SLN.EVN.regular.comment.csv",4
"SLN201104220",5,"$the Reds starting pitcher, Edinson Volquez, warmed up before the delay and was done once the game restarted; he never pitched in the game so he is credited with a game played but no game pitched","2011SLN.EVN.regular.comment.csv",5
"SLN201105170",46,"$Stutes left after 3 pitches with strain on right side. He was charged with the walk that Kendrick completed","2011SLN.EVN.regular.comment.csv",6
"SLN201105180",14,"Cardinals left fielder Matt Holliday left the game due to an injured leg","2011SLN.EVN.regular.comment.csv",7
"SLN201105180",42,"Cardinals right fielder Lance Berkman left the game due to an injured wrist","2011SLN.EVN.regular.comment.csv",8
"SLN201106190",39,"$Kansas City Royals pitcher Danny Duffy left the game due to an injured leg.","2011SLN.EVN.regular.comment.csv",9
"SLN201106190",50,"$Peter Kozma's hurried throw tailed away from 1B towards the infield grass; batter Wilson Betemit collided with Albert Pujols, jamming Pujols' wrist and shoulder back; Pujols left with a non-displaced fracture of his left radius bone","2011SLN.EVN.regular.comment.csv",10
"SLN201106230",19,"Phillies pitcher Roy Oswalt left the game due to an injured back","2011SLN.EVN.regular.comment.csv",11
"SLN201106250",63,"ej,hollm001,P,hudsm901,Called third strike Cardinals left fielder Matt Holliday ejected by HP umpire Marvin Hudson","2011SLN.EVN.regular.comment.csv",12
"SLN201107050",24,"fan interference","2011SLN.EVN.regular.comment.csv",13
"SLN201107080",0,"$St. Louis manager Tony LaRussa turned in the wrong lineup card, listing Yadier Molina as the starting catcher.  When the Cardinals took the field in the first, Laird became an unannounced substitute, so Molina was not available for the game.","2011SLN.EVN.regular.comment.csv",14
"SLN201107260",8,"replay,1,pujoa001,SLN,reynj901,STL10,O,N,I,,H $Albert Pujols' fly hit on the top of the wall and caromed back onto the field; it was ruled a home run but the Astros argued the call; acting crew chief Jim Reynolds watched the replay and upheld the call","2011SLN.EVN.regular.comment.csv",15
"SLN201107280",22,"Cardinals catcher Gerald Laird left the game due to an injured hand","2011SLN.EVN.regular.comment.csv",16
"SLN201107280",30,"Cardinals second baseman Nick Punto left the game due to an injured side","2011SLN.EVN.regular.comment.csv",17
"SLN201107280",44,"fan interference","2011SLN.EVN.regular.comment.csv",18
"SLN201107280",65,"Cardinals catcher Tony Cruz left the game due to an injured hand","2011SLN.EVN.regular.comment.csv",19
"SLN201107290",76,"$the 2000th hit of ALbert Pujols' career","2011SLN.EVN.regular.comment.csv",20
"SLN201107300",45,"ej,quadm801,M,cousd901,Call at 2B $on the force at 2B, Matt Holliday tried to go through Cubs SS Starlin Castro; Holliday's hand was well off the ground but seemed to be over the bag as he went by; Castro fell and did not make a throw to 1B; Jon Jay scored on the play; when Castro got up slowly and did not look at the runners, Albert Pujols, who had run from 2B to 3B on the play, scored without a throw; Cubs Manager Mike Quade argued with 2B umpire Derryl Cousins, who ejected Quade and then was yelling at the manager until 1B umpire Jim Wolf moved Quade away","2011SLN.EVN.regular.comment.csv",21
"SLN201107310",30,"replay,5,freed001,SLN,cousd901,STL10,O,N,I,,H $the fly ball by David Freese hit on the top of the CF wall and caromed back onto the field; the ball was ruled in play but the Cardinals thought it might be a homer; crew chief Derryl Cousins watched the replay and upheld the call","2011SLN.EVN.regular.comment.csv",22
"SLN201108090",72,"Cardinals pitcher Lance Lynn left the game due to an injured side","2011SLN.EVN.regular.comment.csv",23
"SLN201108100",65,"ej,larut101,M,gibsg901,Call at 1B $Marc Rzepczynski's throw pulled Albert Pujols off the bag; he tried twice to get his foot back on the bag before batter Josh Wilson touched it but 1B umpire Greg Gibson ruled that Pujols was still off the bag; Pujols objected and Cardinals Manager Tony La Russa argued the call until he was ejected by Gibson","2011SLN.EVN.regular.comment.csv",24
"SLN201108140",52,"$Motte entered with 3-0 count due to injury to Edwin Jackson, who suffered a hamstring cramp","2011SLN.EVN.regular.comment.csv",25
"SLN201108220",56,"$Cardinals LF Matt Holliday left the game when a moth flew into his right ear; the trainers took Holliday into a dark room hoping the moth would seek light and fly out; when that tactic didn't work, tweezers were used to extract the bug","2011SLN.EVN.regular.comment.csv",26
"SLN201109050",30,"Brewers Jerry Hairston left the game due to an injured neck","2011SLN.EVN.regular.comment.csv",27
"SLN201109070",27,"ej,mcgec001,P,reybd901,Called third strike $McGehee ejected by HP umpire Reyburn for arguing called third strike","2011SLN.EVN.regular.comment.csv",28
"SLN201109070",61,"ej,morgn001,P,cousd901,Yelling at Chris Carpenter after at bat $Brewers right fielder Nyjer Morgan yelled at Cardinals pitcher Chris Carpenter after striking out; as Morgan walked away, he continued to say things and then threw whatever he was chewing towards the field and Carpenter; Cardinals 1B Albert Pujols ran over, yelling at Morgan, who responded; both benches cleared; HP umpire D.J. Reyburn ran to hold Morgan off the field but Brewers Prince Fielder took Morgan away; the umpires huddled and Morgan was ejected by 3B umpire and crew chief Derryl Cousins","2011SLN.EVN.regular.comment.csv",29
"SLN201109210",6,"$Mets RF Lucas Duda ran into the wall attempting to catch the ball","2011SLN.EVN.regular.comment.csv",30
"SLN201109210",26,"$Mets right fielder Lucas Duda left the game due to dizziness","2011SLN.EVN.regular.comment.csv",31
"SLN201109220",28,"replay,4,harrw001,NYN,welkt901,STL10,F,N,I,,H $Willie Harris hit the second pitch down the RF line; the ball passed just to the right of the pole and was called foul; the Mets objected to the call; crew chief Tim Welke watched the replay and upheld the call","2011SLN.EVN.regular.comment.csv",32
