"PIT196605310",77,"$Don Kessinger missed 2B","FILENAME_TX","LINE_NUMBER_CT"
"ATL196605221",29,"ej,durol101,M,wendh901,Balls and strikes $Cubs manager Durocher ejected by HP umpire Wendelstedt for arguing balls and strikes while Phillips was at bat","1966.EDN.regular.comment.csv",2
"PIT196605180",30,"ej,torrj101,P,burkk101,Whether run scored before 3d out Joe Torre ejected by HP umpire Ken Burkhart","1966.EDN.regular.comment.csv",3
"PIT196606100",48,"Ken Johnson left with muscular tightness","1966.EDN.regular.comment.csv",4
