"NYA197104240",63,"ej,houkr101,M,odomj901,Balls and strikes Yankees Manager Ralph Houk ejected by HP umpire Jim Odom","FILENAME_TX","LINE_NUMBER_CT"
"NYA197104240",106,"$Horace Clarke called for obstruction","1971NYA.EVA.regular.comment.csv",2
"NYA197105300",1,"$Debut game for Andy Hassler","1971NYA.EVA.regular.comment.csv",3
"NYA197105311",11,"$Jim Lyttle had collided with Bobby Murcer on Joe Rudi's double","1971NYA.EVA.regular.comment.csv",4
"NYA197106040",44,"Ken Wright left with a finger injury","1971NYA.EVA.regular.comment.csv",5
"NYA197106040",50,"Danny Cater was spiked by Ted Savage","1971NYA.EVA.regular.comment.csv",6
"NYA197106250",58,"$Debut game for Rick Stelmaszek","1971NYA.EVA.regular.comment.csv",7
"NYA197107170",59,"$Debut game for Rich Hinton","1971NYA.EVA.regular.comment.csv",8
"NYA197107170",65,"$Steve Kline: 100 pitches","1971NYA.EVA.regular.comment.csv",9
"NYA197107181",2,"$Debut game for Ron Lolich","1971NYA.EVA.regular.comment.csv",10
"NYA197107181",60,"ej,tannc101,M,mccol901,Call at 1B White Sox Manager Chuck Tanner ejected by 1B umpire Larry McCoy","1971NYA.EVA.regular.comment.csv",11
"NYA197107192",66,"$Debut game for Roger Hambright","1971NYA.EVA.regular.comment.csv",12
"NYA197107200",76,"Phil Roof left with unknown injury","1971NYA.EVA.regular.comment.csv",13
"NYA197108140",8,"$Bobby Murcer spiked in right leg","1971NYA.EVA.regular.comment.csv",14
"NYA197108140",70,"$Steve Kline: 87 pitches; Jim Hunter: 109 pitches","1971NYA.EVA.regular.comment.csv",15
"NYA197108150",59,"ej,houkr101,M,denkd901,Call at 2B ej,howsd101,C,denkd901,Call at 2B Yankees Manager Ralph Houk and Coach Dick Howser ejected by 2B umpire Don Denkinger","1971NYA.EVA.regular.comment.csv",16
"NYA197108171",64,"$Fritz Peterson: 92 pitches","1971NYA.EVA.regular.comment.csv",17
"NYA197108180",63,"$Mel Stottlemyre: 101 pitches","1971NYA.EVA.regular.comment.csv",18
"NYA197109040",58,"$Debut game for Marvin Lane","1971NYA.EVA.regular.comment.csv",19
"NYA197109050",26,"$Ron Swoboda stole HR from Norm Cash","1971NYA.EVA.regular.comment.csv",20
"NYA197109050",49,"$Tim Hosley hurt in collision","1971NYA.EVA.regular.comment.csv",21
"NYA197109061",35,"$Lights turned on","1971NYA.EVA.regular.comment.csv",22
"NYA197109062",66,"$Stan Bahnsen: 109 pitches","1971NYA.EVA.regular.comment.csv",23
"NYA197109080",71,"$Debut game for Cecil Cooper","1971NYA.EVA.regular.comment.csv",24
"NYA197109180",50,"Bobby Murcer left with sharp back pain","1971NYA.EVA.regular.comment.csv",25
"NYA197109180",72,"$Mel Stottlemyre: 84 pitches","1971NYA.EVA.regular.comment.csv",26
"NYA197109200",6,"$Debut game for Rusty Torres","1971NYA.EVA.regular.comment.csv",27
"NYA197109200",9,"missing fielding in NYA197109200","1971NYA.EVA.regular.comment.csv",28
