"LAN200104030",56,"Debut game for Jose Nunez","FILENAME_TX","LINE_NUMBER_CT"
"LAN200104050",17,"$Cora went flying over the catcher and dumped the umpire","2001LAN.EVN.regular.comment.csv",2
"LAN200104200",40,"24 minute rain delay in sixth","2001LAN.EVN.regular.comment.csv",3
"LAN200104210",42,"ej,bochb002,M,dimum901,Placement of runner after fan interference $Padres manager Bochy ejected by HP umpire Dimuro for arguing that Goodwin should have been held at 2nd after interference, but umpire ruled Goodwin would have made it to 3rd","2001LAN.EVN.regular.comment.csv",4
"LAN200104220",76,"ej,bochb002,M,dimum901,Fan interference non-call Padres Manager Bruce Bochy ejected by 3B umpire Mike Dimuro for second consecutive day on a fan interference call","2001LAN.EVN.regular.comment.csv",5
"LAN200104220",88,"$strike 3 hit Goodwin but he swung","2001LAN.EVN.regular.comment.csv",6
"LAN200104250",6,"$Sheffield threw runners out at home on consecutive plays","2001LAN.EVN.regular.comment.csv",7
"LAN200104270",39,"$infield in for Goodwin","2001LAN.EVN.regular.comment.csv",8
"LAN200104270",40,"$liner just shortstop's head","2001LAN.EVN.regular.comment.csv",9
"LAN200104280",15,"Chen bunted at strike 3 in dirt, started to run, then realized he was out anyway, but Burrell advanced","2001LAN.EVN.regular.comment.csv",10
"LAN200104280",73,"just over drawn in infield","2001LAN.EVN.regular.comment.csv",11
"LAN200105090",35,"very odd advances, but confirmed by TV","2001LAN.EVN.regular.comment.csv",12
"LAN200105280",23,"$Helton's first career grand slam","2001LAN.EVN.regular.comment.csv",13
"LAN200105280",30,"$Larry and Todd Walker and Helton all collide","2001LAN.EVN.regular.comment.csv",14
"LAN200105280",105,"LoDuca went 6 for 6 in game, tying record for extra-inning game","2001LAN.EVN.regular.comment.csv",15
"LAN200106090",32,"$Ramon Oritz scored but missed the plate and was tagged out coming back from on-deck circle","2001LAN.EVN.regular.comment.csv",16
"LAN200106090",59,"ej,joynw001,P,cuzzp901,Balls and strikes Wally Joyner ejected by HP umpire Phil Cuzzi","2001LAN.EVN.regular.comment.csv",17
"LAN200106090",78,"$Angels CF Darin Erstad moved to 1B and 1B Scott Spiezio moved between 1B and 2B with other infielders shifting to the left","2001LAN.EVN.regular.comment.csv",18
"LAN200106090",79,"$same infield positioning with the two outfielders very shallow","2001LAN.EVN.regular.comment.csv",19
"LAN200106090",80,"$fly over Salmon's head","2001LAN.EVN.regular.comment.csv",20
"LAN200106110",13,"Greer strained left hamstring, -> DL","2001LAN.EVN.regular.comment.csv",21
"LAN200106110",32,"$'the play' - fake to 3B and throw to 1B","2001LAN.EVN.regular.comment.csv",22
"LAN200106110",72,"Grudzielanek hurt ankle running out hit","2001LAN.EVN.regular.comment.csv",23
"LAN200106120",2,"$Ivan Rodriguez bruised right hand while getting jammed, left game in 4th inning","2001LAN.EVN.regular.comment.csv",24
"LAN200106120",11,"originally scored as 'E3/G.B-2'","2001LAN.EVN.regular.comment.csv",25
"LAN200106120",26,"$pickoff try on Tom Goodwin led to double steal, with pitcher Darren Dreifort stealing home","2001LAN.EVN.regular.comment.csv",26
"LAN200106120",77,"ej,shefg001,P,culbf901,Balls and strikes Gary Sheffield ejected by HP umpire Fieldin Culbreth","2001LAN.EVN.regular.comment.csv",27
"LAN200106130",16,"$Mike Hubbard broke right thumb on foul tip, left next inning","2001LAN.EVN.regular.comment.csv",28
"LAN200106130",22,"$IRod was out with a bruised throwing hand but was the only catcher on the bench when Hubbard had to leave game","2001LAN.EVN.regular.comment.csv",29
"LAN200106130",40,"IRod caught the ball up the line and made a lunging tag","2001LAN.EVN.regular.comment.csv",30
"LAN200106130",45,"$Sierra switch hit homers for the 6th time of career","2001LAN.EVN.regular.comment.csv",31
"LAN200106190",40,"$completely out of DOdger Stadium","2001LAN.EVN.regular.comment.csv",32
"LAN200106200",23,"$diving stop","2001LAN.EVN.regular.comment.csv",33
"LAN200106200",31,"$suicide squeeze","2001LAN.EVN.regular.comment.csv",34
"LAN200106200",38,"$Miguel Batista called for interference for running into his own batted ball","2001LAN.EVN.regular.comment.csv",35
"LAN200107040",12,"ej,grism001,P,hudsm901,Called third strike Marquis Grissom ejected by HP umpire Marvin Hudson; given 6 game suspension for swearing at and bumping Hudson","2001LAN.EVN.regular.comment.csv",36
"LAN200107040",23,"$Dunston, Bonds and Rios argue in dugout after messy play in 2nd; Dunston removed by Mgr Baker","2001LAN.EVN.regular.comment.csv",37
"LAN200107060",75,"Debut game for Scott Podsednik","2001LAN.EVN.regular.comment.csv",38
"LAN200107080",13,"$Ichiro hit on helmet; possible retaliation from previous day for LoDuca","2001LAN.EVN.regular.comment.csv",39
"LAN200108180",41,"ej,valeb102,M,marqa901,Call at HP $Mets manager Valentine ejected by HP umpire Marquez for arguing that Alfonzo was safe at home","2001LAN.EVN.regular.comment.csv",40
"LAN200109170",1,"Debut game for Jason Middlebrook","2001LAN.EVN.regular.comment.csv",41
"LAN200109190",53,"ej,hoffg001,C,fostm901,Call at 2B LA coach Glenn Hoffman ejected by 2B umpire Marty Foster","2001LAN.EVN.regular.comment.csv",42
"LAN200109210",70,"$Hiatt dropped throw","2001LAN.EVN.regular.comment.csv",43
"LAN200109230",9,"ej,shefg001,P,buckc901,Non-call of foul $Sheffield ejected by HP umpire Bucknor for arguing that he had ticked the strike 3 pitch so it should have been a foul ball; catcher did not go after ball so runner tried to score while Sheffield argued and was out","2001LAN.EVN.regular.comment.csv",44
