"WS1192904170",0,"Cold, hard biting winds President and Mrs Hoover, VP Curtis, and other cabinet officials were spectators. Mr. Hoover threw out the first ball to Ump Moriarty who caught it 1-handed with a fast jump.","FILENAME_TX","LINE_NUMBER_CT"
"WS1192904170",3,"Hit on the arm","1929WS1.EVA.regular.comment.csv",2
"WS1192904170",10,"Bishop leaped, barely touching it with his glove","1929WS1.EVA.regular.comment.csv",3
"WS1192904170",21,"Yerkes deflected it","1929WS1.EVA.regular.comment.csv",4
"WS1192904170",24,"To the flagpole","1929WS1.EVA.regular.comment.csv",5
"WS1192904170",30,"Hustle double","1929WS1.EVA.regular.comment.csv",6
"WS1192904170",34,"Ball hit Cochrane's bat as he tried to avoid inside pitch","1929WS1.EVA.regular.comment.csv",7
"WS1192904170",37,"Dykes: nice running 1-handed pickup near 2B","1929WS1.EVA.regular.comment.csv",8
"WS1192904170",40,"Into LF bleachers","1929WS1.EVA.regular.comment.csv",9
"WS1192904170",47,"Hit in the shoulder","1929WS1.EVA.regular.comment.csv",10
"WS1192904170",50,"Judge threw wild to Braxton","1929WS1.EVA.regular.comment.csv",11
"WS1192904170",52,"Too hot for Myer","1929WS1.EVA.regular.comment.csv",12
"WS1192904170",62,"During Judge AB, the wind carried a foul pop away from Foxx","1929WS1.EVA.regular.comment.csv",13
"WS1192904170",71,"Hot drive off Foxx's glove","1929WS1.EVA.regular.comment.csv",14
"WS1192904170",76,"Hale: fine stop & throw","1929WS1.EVA.regular.comment.csv",15
"WS1192904170",78,"Wide throw","1929WS1.EVA.regular.comment.csv",16
"WS1192904180",0,"Chilling wind","1929WS1.EVA.regular.comment.csv",17
"WS1192904180",11,"Throughout 1st inning, Cochrane saved at least four wild pitches, including one bare-handed stop.","1929WS1.EVA.regular.comment.csv",18
"WS1192904180",16,"Haas: smart running catch","1929WS1.EVA.regular.comment.csv",19
"WS1192904180",32,"Cochrane: brilliant diving catch","1929WS1.EVA.regular.comment.csv",20
"WS1192904180",45,"Judge lost it","1929WS1.EVA.regular.comment.csv",21
"WS1192904180",62,"Gooch's ML debut","1929WS1.EVA.regular.comment.csv",22
"WS1192904190",6,"Rhyne: sensational stop","1929WS1.EVA.regular.comment.csv",23
"WS1192904190",9,"Aided by high throw","1929WS1.EVA.regular.comment.csv",24
"WS1192904190",16,"Low throw bounded over Regan","1929WS1.EVA.regular.comment.csv",25
"WS1192904190",44,"Goslin lost it in the sun","1929WS1.EVA.regular.comment.csv",26
"WS1192904190",49,"Wide throw","1929WS1.EVA.regular.comment.csv",27
"WS1192904190",54,"Remainder of account is deduced","1929WS1.EVA.regular.comment.csv",28
"WS1192904200",7,"West couldn't hang on to it","1929WS1.EVA.regular.comment.csv",29
"WS1192904200",35,"Left field corner","1929WS1.EVA.regular.comment.csv",30
"WS1192904200",36,"Rhyne: great stop","1929WS1.EVA.regular.comment.csv",31
"WS1192904200",53,"Rhyne couldn't decide which play to make and held the ball","1929WS1.EVA.regular.comment.csv",32
"WS1192904200",65,"Myer let it roll, but the ball stayed fair","1929WS1.EVA.regular.comment.csv",33
"WS1192904200",74,"Flagstead made a great catch, sprinting into foul territory behind third and catching the ball off his shoe tops.","1929WS1.EVA.regular.comment.csv",34
"WS1192904280",0,"$Start delayed one hour due to rain and wet grounds","1929WS1.EVA.regular.comment.csv",35
"WS1192904280",12,"$Lazzeri slipped while trying to get back to third base","1929WS1.EVA.regular.comment.csv",36
"WS1192904280",54,"Myer caught in run-down play.","1929WS1.EVA.regular.comment.csv",37
"WS1192905170",22,"High bounder","1929WS1.EVA.regular.comment.csv",38
"WS1192905170",53,"Bishop: good play","1929WS1.EVA.regular.comment.csv",39
"WS1192905170",62,"Myer: good play","1929WS1.EVA.regular.comment.csv",40
"WS1192905170",73,"Hit in the back","1929WS1.EVA.regular.comment.csv",41
"WS1192905190",69,"Rice fumbled","1929WS1.EVA.regular.comment.csv",42
"WS1192905260",70,"Texas Leaguer","1929WS1.EVA.regular.comment.csv",43
"WS1192905260",72,"Bishop knocked it down behind 2B","1929WS1.EVA.regular.comment.csv",44
"WS1192905280",8,"$Myer scored on pop-up when catcher dropped throw; Cronin then tried to advance to second and Rice was thrown out trying score during the rundown on Cronin","1929WS1.EVA.regular.comment.csv",45
"WS1192905280",33,"$Bluege scored from third before Ruel was tagged out","1929WS1.EVA.regular.comment.csv",46
"WS1192905280",43,"$Bluege injured his knee taking the throw from center field","1929WS1.EVA.regular.comment.csv",47
"WS1192905290",13,"$It started to rain as the Yankees went to bat.","1929WS1.EVA.regular.comment.csv",48
"WS1192905290",27,"Rice held at third base on infield single.","1929WS1.EVA.regular.comment.csv",49
"WS1192906010",7,"Delayed steal","1929WS1.EVA.regular.comment.csv",50
"WS1192906010",8,"Manush fell but got up in time to catch it","1929WS1.EVA.regular.comment.csv",51
"WS1192906010",9,"Through Blue","1929WS1.EVA.regular.comment.csv",52
"WS1192906010",30,"Manush: nice running catch","1929WS1.EVA.regular.comment.csv",53
"WS1192906010",66,"Hit & run","1929WS1.EVA.regular.comment.csv",54
"WS1192906010",67,"Over RF fence","1929WS1.EVA.regular.comment.csv",55
"WS1192906010",76,"Squeeze","1929WS1.EVA.regular.comment.csv",56
"WS1192906030",0,"Cold weather","1929WS1.EVA.regular.comment.csv",57
"WS1192906030",4,"Myer dropped Ruel's throw","1929WS1.EVA.regular.comment.csv",58
"WS1192906040",6,"Off Collins' glove","1929WS1.EVA.regular.comment.csv",59
"WS1192906040",21,"Bounded over Rice","1929WS1.EVA.regular.comment.csv",60
"WS1192906040",30,"Off Liska's leg","1929WS1.EVA.regular.comment.csv",61
"WS1192906040",32,"Too hot for Liska","1929WS1.EVA.regular.comment.csv",62
"WS1192906040",59,"Deflected by Beall","1929WS1.EVA.regular.comment.csv",63
"WS1192906040",74,"O'Rourke: great stop","1929WS1.EVA.regular.comment.csv",64
"WS1192906050",23,"Over Goslin","1929WS1.EVA.regular.comment.csv",65
"WS1192906050",64,"ej,harrb106,M,campb901,Bench jockeying Tigers manager Harris ejected by 3B umpire McGowan for bench jockeying","1929WS1.EVA.regular.comment.csv",66
"WS1192906060",7,"Past Rice to CF fence","1929WS1.EVA.regular.comment.csv",67
"WS1192906060",36,"Wide/late throw","1929WS1.EVA.regular.comment.csv",68
"WS1192906060",64,"Fothergill: great catch","1929WS1.EVA.regular.comment.csv",69
"WS1192906060",70,"Texas Leaguer","1929WS1.EVA.regular.comment.csv",70
"WS1192906090",18,"L.Sewell made the putout at 3B","1929WS1.EVA.regular.comment.csv",71
"WS1192906090",22,"Off Liska's glove","1929WS1.EVA.regular.comment.csv",72
"WS1192906090",61,"Hot grounder","1929WS1.EVA.regular.comment.csv",73
"WS1192906100",5,"Over RF fence","1929WS1.EVA.regular.comment.csv",74
"WS1192906100",8,"Fast fielding held it to a single","1929WS1.EVA.regular.comment.csv",75
"WS1192906100",20,"Fonseca overran 3B","1929WS1.EVA.regular.comment.csv",76
"WS1192906100",23,"Falk's throw held Myer","1929WS1.EVA.regular.comment.csv",77
"WS1192906100",62,"Near CF bleachers","1929WS1.EVA.regular.comment.csv",78
"WS1192906100",63,"Hadley didn't tag 1B","1929WS1.EVA.regular.comment.csv",79
"WS1192906110",5,"Drag bunt","1929WS1.EVA.regular.comment.csv",80
"WS1192906110",13,"To LF wall","1929WS1.EVA.regular.comment.csv",81
"WS1192906110",24,"Through Lind","1929WS1.EVA.regular.comment.csv",82
"WS1192906110",25,"Goslin injured his leg going into 3B","1929WS1.EVA.regular.comment.csv",83
"WS1192906110",27,"Through Miller","1929WS1.EVA.regular.comment.csv",84
"WS1192906120",2,"To the LCF bleachers","1929WS1.EVA.regular.comment.csv",85
"WS1192906120",9,"To RF corner","1929WS1.EVA.regular.comment.csv",86
"WS1192906120",18,"Hit & run","1929WS1.EVA.regular.comment.csv",87
"WS1192906120",33,"Infield hit; Fonseca failed to cover 1B","1929WS1.EVA.regular.comment.csv",88
"WS1192906120",36,"Hudlin's throw to the plate hit West","1929WS1.EVA.regular.comment.csv",89
"WS1192906120",43,"High throw to 1B","1929WS1.EVA.regular.comment.csv",90
"WS1192906120",52,"To LF corner","1929WS1.EVA.regular.comment.csv",91
"WS1192906120",55,"Late throw to 3B","1929WS1.EVA.regular.comment.csv",92
"WS1192906120",66,"Wild throw to the plate","1929WS1.EVA.regular.comment.csv",93
"WS1192906120",75,"Freak hop over Cronin's head","1929WS1.EVA.regular.comment.csv",94
"WS1192906120",89,"Sliding diving catch by Averill","1929WS1.EVA.regular.comment.csv",95
"WS1192906150",4,"Hit and run","1929WS1.EVA.regular.comment.csv",96
"WS1192906150",34,"Began to rain","1929WS1.EVA.regular.comment.csv",97
"WS1192906150",46,"Rain increases","1929WS1.EVA.regular.comment.csv",98
"WS1192906180",54,"Great catch","1929WS1.EVA.regular.comment.csv",99
"WS1192906210",54,"Not certain when Barrett entered.","1929WS1.EVA.regular.comment.csv",100
"WS1192906221",25,"Hayes tagged Barrett","1929WS1.EVA.regular.comment.csv",101
"WS1192906221",36,"Reeves fell while fielding the bunt","1929WS1.EVA.regular.comment.csv",102
"WS1192906221",38,"$Hayes returned toward 3B only to find Brown already there. Berry tagged out Hayes, and when Brown strayed off the bag in the confusion, Berry tagged him, too.","1929WS1.EVA.regular.comment.csv",103
"WS1192906221",48,"$Goslin: shoestring catch attempt ruled a trap; he tossed to 2B to complete what he thought was a DP.  Bob Barrett advanced on the belated throw home.","1929WS1.EVA.regular.comment.csv",104
"WS1192906230",54,"Williams fumbled","1929WS1.EVA.regular.comment.csv",105
"WS1192906261",2,"Off Marberry's glove","1929WS1.EVA.regular.comment.csv",106
"WS1192906261",36,"Knocked down smash","1929WS1.EVA.regular.comment.csv",107
"WS1192906261",38,"Into CF bleachers","1929WS1.EVA.regular.comment.csv",108
"WS1192906261",47,"Robbed of hit by Goslin's leaping, 1-hand catch","1929WS1.EVA.regular.comment.csv",109
"WS1192906261",50,"Knocked it down","1929WS1.EVA.regular.comment.csv",110
"WS1192906261",65,"Over Goslin's head","1929WS1.EVA.regular.comment.csv",111
"WS1192906262",8,"Too hot for Myer","1929WS1.EVA.regular.comment.csv",112
"WS1192906262",9,"Rice: running catch","1929WS1.EVA.regular.comment.csv",113
"WS1192906262",11,"Hard grounder","1929WS1.EVA.regular.comment.csv",114
"WS1192906262",16,"Tagged out by Ruel","1929WS1.EVA.regular.comment.csv",115
"WS1192906262",30,"Ruth: phenomenal 1-handed diving catch","1929WS1.EVA.regular.comment.csv",116
"WS1192906262",35,"Tricky bounder to Judge","1929WS1.EVA.regular.comment.csv",117
"WS1192906262",43,"Grounder leaked through Bluege","1929WS1.EVA.regular.comment.csv",118
"WS1192906262",66,"Into LF bleachers","1929WS1.EVA.regular.comment.csv",119
"WS1192906262",67,"Into LF bleachers","1929WS1.EVA.regular.comment.csv",120
"WS1192906300",23,"Haas fumbled","1929WS1.EVA.regular.comment.csv",121
"WS1192906300",66,"Breckinridge's ML debut","1929WS1.EVA.regular.comment.csv",122
"WS1192907240",10,"Hit and run","1929WS1.EVA.regular.comment.csv",123
"WS1192907240",14,"Hit and run","1929WS1.EVA.regular.comment.csv",124
"WS1192907250",0,"Hot day","1929WS1.EVA.regular.comment.csv",125
"WS1192907250",29,"Hunnifield tagged Goslin.","1929WS1.EVA.regular.comment.csv",126
"WS1192907250",69,"Myer tried to steal home on McKain's second pitch to Hayes.","1929WS1.EVA.regular.comment.csv",127
"WS1192907250",72,"Hit and run","1929WS1.EVA.regular.comment.csv",128
"WS1192907250",80,"As the pitcher of record when the winning run scored, McKain was the winning pitcher despite not retiring a batter.","1929WS1.EVA.regular.comment.csv",129
"WS1192907260",14,"assume B-2t","1929WS1.EVA.regular.comment.csv",130
"WS1192907260",21,"Fine stop","1929WS1.EVA.regular.comment.csv",131
"WS1192907260",59,"Came in fast","1929WS1.EVA.regular.comment.csv",132
"WS1192907260",62,"Knocked down the smash","1929WS1.EVA.regular.comment.csv",133
