"BRO192904210",0,"Frigid weather; damp winds","FILENAME_TX","LINE_NUMBER_CT"
"BRO192904210",37,"High throw drew Bissonette off the bag","1929BRO.EVN.regular.comment.csv",2
"BRO192904210",40,"Cullop: desperate try for shoestring catch of Texas Leaguer","1929BRO.EVN.regular.comment.csv",3
"BRO192904210",42,"Wild & woolly pitch dented grandstand screen","1929BRO.EVN.regular.comment.csv",4
"BRO192904210",52,"It began raining","1929BRO.EVN.regular.comment.csv",5
"BRO192904210",62,"$Game called due to rain/cold after an hour of waiting","1929BRO.EVN.regular.comment.csv",6
"BRO192904230",0,"The poorest attendance to greet the Dodgers for an opening game, despite the good weather. Promoter Jack Dempsey was present, seated behind the Dodger bench, and he received an ovation from the fans who were quick to recognize the former boxing champion.","1929BRO.EVN.regular.comment.csv",7
"BRO192904230",6,"Maranville: remarkable stop","1929BRO.EVN.regular.comment.csv",8
"BRO192904230",42,"Bancroft's throw hit Jones; Gilbert threw into BRO dugout","1929BRO.EVN.regular.comment.csv",9
"BRO192904230",44,"Vance knocked down vicious drive","1929BRO.EVN.regular.comment.csv",10
"BRO192904230",47,"Over RF wall","1929BRO.EVN.regular.comment.csv",11
"BRO192904230",69,"Threw into RF","1929BRO.EVN.regular.comment.csv",12
"BRO192904240",16,"Past Maranville","1929BRO.EVN.regular.comment.csv",13
"BRO192904240",23,"Far over RF wall","1929BRO.EVN.regular.comment.csv",14
"BRO192904240",45,"Into LF circus seats","1929BRO.EVN.regular.comment.csv",15
"BRO192904240",52,"Sisler: wild throw over Maranville","1929BRO.EVN.regular.comment.csv",16
"BRO192904240",63,"Maranville raced over to 3B to take Sisler's throw","1929BRO.EVN.regular.comment.csv",17
"BRO192904240",70,"Rabbit slammed down his bat and argued heatedly","1929BRO.EVN.regular.comment.csv",18
"BRO192904240",77,"Tagged out by Henline","1929BRO.EVN.regular.comment.csv",19
"BRO192904260",6,"Hit on the hand","1929BRO.EVN.regular.comment.csv",20
"BRO192904260",21,"Over Frederick","1929BRO.EVN.regular.comment.csv",21
"BRO192904260",25,"Out of Thompson's glove; too hot to handle","1929BRO.EVN.regular.comment.csv",22
"BRO192904260",28,"Wide throw","1929BRO.EVN.regular.comment.csv",23
"BRO192904260",32,"Gilbert: fine catch","1929BRO.EVN.regular.comment.csv",24
"BRO192904260",42,"Over RF wall","1929BRO.EVN.regular.comment.csv",25
"BRO192904260",49,"Triple steal; McGraw's throw got away from Lerian","1929BRO.EVN.regular.comment.csv",26
"BRO192904260",65,"Brushed on the shoulder","1929BRO.EVN.regular.comment.csv",27
"BRO192904270",0,"The managers from both teams were laid up with attacks of the grippe.","1929BRO.EVN.regular.comment.csv",28
"BRO192904270",11,"Over RF wall","1929BRO.EVN.regular.comment.csv",29
"BRO192904270",20,"Frederick fumbled","1929BRO.EVN.regular.comment.csv",30
"BRO192904270",27,"Line drive over RF wall. The SABR HR database notes this occurred on the 1st pitch.","1929BRO.EVN.regular.comment.csv",31
"BRO192904270",47,"Over Bressler's head","1929BRO.EVN.regular.comment.csv",32
"BRO192904270",48,"Hit in the ribs","1929BRO.EVN.regular.comment.csv",33
"BRO192904280",2,"Herman: great try but couldn't hold on","1929BRO.EVN.regular.comment.csv",34
"BRO192904280",3,"Flowers: remarkable stop","1929BRO.EVN.regular.comment.csv",35
"BRO192904280",8,"Harper: thrilling catch","1929BRO.EVN.regular.comment.csv",36
"BRO192904280",18,"It appeared Elliott swung at a 3rd strike but Ump Rigler called it a ball.  A grand old powwow ensued.  Maranville came in from short to argue it out.  Taylor hurled down his mask and let the ball go with it.  Cullop tried to take advantage but Taylor recovered and flipped to Maranville at home.","1929BRO.EVN.regular.comment.csv",37
"BRO192904280",21,"Bancroft: robbed Sisler","1929BRO.EVN.regular.comment.csv",38
"BRO192904280",23,"Bell injured left ankle sliding","1929BRO.EVN.regular.comment.csv",39
"BRO192904280",25,"Over RF wall","1929BRO.EVN.regular.comment.csv",40
"BRO192904280",33,"Clark missed shoestring catch","1929BRO.EVN.regular.comment.csv",41
"BRO192904280",34,"Flowers beat throw to 2B","1929BRO.EVN.regular.comment.csv",42
"BRO192904280",45,"Bressler: dandy running catch","1929BRO.EVN.regular.comment.csv",43
"BRO192904280",46,"Bressler: running shoestring catch","1929BRO.EVN.regular.comment.csv",44
"BRO192904280",49,"Bressler fumbled the slippery ball","1929BRO.EVN.regular.comment.csv",45
"BRO192904280",56,"$Braves: bases loaded, 1 out when game called due to rain. Singles by Maguire and Sisler, plus a walk to Harper, were washed off the books.","1929BRO.EVN.regular.comment.csv",46
"BRO192904300",0,"$Max Carey managed BRO while Uncle Robbie was nursing his tonsilitis and grip.","1929BRO.EVN.regular.comment.csv",47
"BRO192904300",30,"Bissonette: remarkable stop","1929BRO.EVN.regular.comment.csv",48
"BRO192904300",35,"High off RF wall","1929BRO.EVN.regular.comment.csv",49
"BRO192904300",36,"Ott couldn't get to it but Roush got the force","1929BRO.EVN.regular.comment.csv",50
"BRO192904300",40,"Off Lindstrom's glove","1929BRO.EVN.regular.comment.csv",51
"BRO192904300",41,"ej,hermb102,P,hartb901,Called third strike $Herman ejected by HP umpire Hart arguing called 3rd strike","1929BRO.EVN.regular.comment.csv",52
"BRO192904300",58,"Bounder hit Vance in the chest but he recovered it in time","1929BRO.EVN.regular.comment.csv",53
"BRO192904300",64,"Bissonette: spectacular play","1929BRO.EVN.regular.comment.csv",54
"BRO192905040",1,"Off Gilbert's shins","1929BRO.EVN.regular.comment.csv",55
"BRO192905040",13,"Off Gilbert's glove","1929BRO.EVN.regular.comment.csv",56
"BRO192905040",30,"Got away from Bressler","1929BRO.EVN.regular.comment.csv",57
"BRO192905040",42,"Hit in front of the plate, the ball bounced up and hit him","1929BRO.EVN.regular.comment.csv",58
