"ALS193707070",0,"$Managers: Joe McCarthy (AL New York), Bill Terry (NL New York)","FILENAME_TX","LINE_NUMBER_CT"
"ALS193707070",24,"$Dizzy Dean suffered a broken toe from the line drive","1937AS.EVE.asg.comment.csv",2
"ALS193707070",42,"umpchange,5,umphome,barrg901 umpchange,5,ump1b,quinj901 umpchange,5,ump2b,pineb101 umpchange,5,ump3b,mcgob901 $the umpires changed positions","1937AS.EVE.asg.comment.csv",3
