"TEX197604090",0,"$President Ford threw out two first pitches; Debut for umpire Al Clark"FILENAME_TX","LINE_NUMBER_CT"

"TEX197604090",10,"Debut game for Butch Wynegar"1976TEX.EVA.regular.comment.csv",2

"TEX197604130",22,"ej,nortb101,P,bremn901,Called third strike ej,tannc101,M,bremn901,Called third strike Bill North and Athletics Manager Chuck Tanner ejected by HP umpire Nick Bremigan"1976TEX.EVA.regular.comment.csv",3

"TEX197604140",0,"ej,luccf801,M,goetr901,Call at 2B (Kicked hat) Rangers Manager Frank Lucchesi ejected by HP umpire Russ Goetz sometime in game"1976TEX.EVA.regular.comment.csv",4

"TEX197604290",21,"$Bill Lee threw to 3B but Rico Petrocelli was charging the plate"1976TEX.EVA.regular.comment.csv",5

"TEX197604290",55,"$Jim Sundberg picked off Carlton Fisk at 1B, but they got Yaz at 3B"1976TEX.EVA.regular.comment.csv",6

"TEX197604300",55,"ej,johnd106,M,coont901,Call at HP Red Sox Manager Darrell Johnson ejected by HP umpire Terry Cooney"1976TEX.EVA.regular.comment.csv",7

"TEX197605110",81,"ej,luccf801,M,garcr901,Balls and strikes $Rangers manager Lucchesi ejected by HP umpire Garcia for arguing balls and strikes in top of 9th"1976TEX.EVA.regular.comment.csv",8

"TEX197605230",49,"Game cancelled due to rain"1976TEX.EVA.regular.comment.csv",9

"TEX197605240",3,"400ft"1976TEX.EVA.regular.comment.csv",10

"TEX197605240",5,"390ft"1976TEX.EVA.regular.comment.csv",11

"TEX197605240",7,"380ft"1976TEX.EVA.regular.comment.csv",12

"TEX197605262",0,"Suspend=19760527,,4,4,54"1976TEX.EVA.regular.comment.csv",13

"TEX197605262",60,"Debut game for John Wathan"1976TEX.EVA.regular.comment.csv",14

"TEX197605262",77,"suspended,19760527,ARL01,curfew $game suspended fr curfew resumed the next day"1976TEX.EVA.regular.comment.csv",15

"TEX197606040",52,"Debut game for Greg Pryor"1976TEX.EVA.regular.comment.csv",16

"TEX197606060",0,"23 minute rain delay before start of the game"1976TEX.EVA.regular.comment.csv",17

"TEX197606200",20,"ej,weave801,M,garcr901,Balls and strikes Orioles Manager Earl Weaver ejected by HP umpire Rich Garcia"1976TEX.EVA.regular.comment.csv",18

"TEX197606200",40,"ej,jackr001,P,garcr901,Balls and strikes (Threw helmet) Reggie Jackson ejected by HP umpire Rich Garcia"1976TEX.EVA.regular.comment.csv",19

"TEX197606260",3,"$Ralph Garr was injured on the play"1976TEX.EVA.regular.comment.csv",20

"TEX197606260",47,"ej,luccf801,M,mccol901,Call at 1B Rangers Manager Frank Lucchesi ejected by HP umpire Larry McCoy"1976TEX.EVA.regular.comment.csv",21

"TEX197606300",0,"1:03 rain delay before start of game"1976TEX.EVA.regular.comment.csv",22

"TEX197606300",57,"Debut game for Jeff Newman"1976TEX.EVA.regular.comment.csv",23

"TEX197607170",3,"last two plays actually one play"1976TEX.EVA.regular.comment.csv",24

"TEX197607190",1,"Debut game for Tommy Boggs"1976TEX.EVA.regular.comment.csv",25

"TEX197607200",20,"$Lenny Randle was called out on appeal for leaving 3B too soon"1976TEX.EVA.regular.comment.csv",26

"TEX197607200",39,"ej,luccf801,M,bremn901,Call at 3B Rangers Manager Frank Lucchesi ejected by 3B umpire Nick Bremigan"1976TEX.EVA.regular.comment.csv",27

"TEX197607200",52,"$Toby Harrah muffed the throw at 3B, allowing Rick Burleson to score"1976TEX.EVA.regular.comment.csv",28

"TEX197608030",2,"$Mario Guerrero called out on appeal for not retouching 2B on his way back to 1B"1976TEX.EVA.regular.comment.csv",29

"TEX197608230",0,"42 minute rain before start of game"1976TEX.EVA.regular.comment.csv",30

"TEX197609080",0,"1:17 rain delay before start of game"1976TEX.EVA.regular.comment.csv",31

"TEX197609080",1,"ej,hudss101,C,garcr901,Bench jockeying Rangers coach Sid Hudson ejected by HP Umpire Richie Garcia sometime in first inning"1976TEX.EVA.regular.comment.csv",32

"TEX197609080",61,"$The game was called due to rain"1976TEX.EVA.regular.comment.csv",33

"TEX197609090",12,"Debut game for Doug Ault"1976TEX.EVA.regular.comment.csv",34

"TEX197609140",1,"Debut game for Len Barker"1976TEX.EVA.regular.comment.csv",35

"TEX197609140",74,"ej,luccf801,M,garcr901,Balls and strikes (Kicked dirt on umpire) $Rangers manager Lucchesi ejected by 1B umpire Garcia for arguing balls and strikes"1976TEX.EVA.regular.comment.csv",36

"TEX197609260",60,"55 minute rain delay"1976TEX.EVA.regular.comment.csv",37

