"CHA195004180",4,"Debut game for Don Lenhardt"FILENAME_TX","LINE_NUMBER_CT"

"CHA195004180",14,"Debut game for Chico Carrasquel"1950CHA.EVA.regular.comment.csv",2

"CHA195004180",78,"end of pbp, rest deduced from newspapers"1950CHA.EVA.regular.comment.csv",3

"CHA195004190",1,"Debut game for Tom Upton"1950CHA.EVA.regular.comment.csv",4

"CHA195004190",30,"Debut game for Luis Aloma"1950CHA.EVA.regular.comment.csv",5

"CHA195004190",33,"rain delay"1950CHA.EVA.regular.comment.csv",6

"CHA195004190",49,"rain started"1950CHA.EVA.regular.comment.csv",7

"CHA195004301",38,"$Chico Carrasquel injured his hand fielding Art Houtteman's grounder"1950CHA.EVA.regular.comment.csv",8

"CHA195005160",43,"ej,onslj101,M,passa901,Call at 2B White Sox Manager Jack Onslow ejected by 2B umpire Art Passarella"1950CHA.EVA.regular.comment.csv",9

"CHA195005180",75,"$Eddie Yost and Gil Coan both wound up on 3B; Coan was tagged out and Yost mistakenly walked off the bag"1950CHA.EVA.regular.comment.csv",10

"CHA195005220",0,"$a thick haze hung over the field the entire game; it was difficult to see the outfielders from the stands behind HP"1950CHA.EVA.regular.comment.csv",11

"CHA195005220",11,"$Dom DiMaggio's throw went into the dugout"1950CHA.EVA.regular.comment.csv",12

"CHA195005220",86,"$Bobby Doerr hurt leg running to 1B"1950CHA.EVA.regular.comment.csv",13

"CHA195005220",102,"$off Walt Dropo's glove into the stands behind 1B"1950CHA.EVA.regular.comment.csv",14

"CHA195005250",21,"22 minute rain delay"1950CHA.EVA.regular.comment.csv",15

"CHA195005250",50,"$Hank Majeski rounded 3B too far"1950CHA.EVA.regular.comment.csv",16

"CHA195005250",52,"game called for rain"1950CHA.EVA.regular.comment.csv",17

"CHA195005281",20,"ej,mitcd101,P,papaj901,Called third strike $Mitchell ejected by HP umpire Paparella for arguing called third strike"1950CHA.EVA.regular.comment.csv",18

"CHA195006130",29,"$Bill Johnson rounded 2B too far"1950CHA.EVA.regular.comment.csv",19

"CHA195006130",32,"$the Yankees claimed that Eddie Robinson interfered with Phil Rizzuto's view of the ball"1950CHA.EVA.regular.comment.csv",20

"CHA195006160",31,"Debut game for Bob Ross"1950CHA.EVA.regular.comment.csv",21

"CHA195006170",60,"missing play in CHA195006170"1950CHA.EVA.regular.comment.csv",22

"CHA195006210",7,"Doerr threw it into the CHA dugout"1950CHA.EVA.regular.comment.csv",23

"CHA195006210",37,"Into LF stands"1950CHA.EVA.regular.comment.csv",24

"CHA195007030",74,"pbp accounts ends here, rest deduced"1950CHA.EVA.regular.comment.csv",25

"CHA195007290",25,"$Chico Carrasquel left to rest right knee jarred Friday night"1950CHA.EVA.regular.comment.csv",26

"CHA195007290",75,"pbp account ends here, rest deduced"1950CHA.EVA.regular.comment.csv",27

"CHA195007302",67,"$game called for darkness"1950CHA.EVA.regular.comment.csv",28

"CHA195008010",5,"Philley: 1-handed catch off the wall"1950CHA.EVA.regular.comment.csv",29

"CHA195008010",7,"Into RCF stands"1950CHA.EVA.regular.comment.csv",30

"CHA195008010",31,"catcher missed throw home, allowing batter to second"1950CHA.EVA.regular.comment.csv",31

"CHA195008061",24,"Wind blown pop falls and is kicked into foul territory by 1B Robinson"1950CHA.EVA.regular.comment.csv",32

"CHA195008061",44,"Wide throw to first by 2B Fox allows 2nd run to score, but no error charged"1950CHA.EVA.regular.comment.csv",33

"CHA195008062",3,"Guess at when Philley's assist was"1950CHA.EVA.regular.comment.csv",34

"CHA195008062",25,"Originally scored as an error and later changed to a hit"1950CHA.EVA.regular.comment.csv",35

"CHA195008062",34,"No information about circumstances of Niarhos's error"1950CHA.EVA.regular.comment.csv",36

"CHA195008062",61,"ej,suscg102,C,mcgob901,Fan interference non-call $Red Sox bullpen coach Susce ejected by 1B umpire McGowan for arguing that fan reached over and interfered"1950CHA.EVA.regular.comment.csv",37

"CHA195008062",76,"Goodman throws full body block on Fox to break up DP"1950CHA.EVA.regular.comment.csv",38

"CHA195008090",33,"$Gus Zernial injured his right foot when he ran into the wall fielding George Kell's fly in the third inning"1950CHA.EVA.regular.comment.csv",39

"CHA195008101",0,"ej,millb108,C,grieb901,Balls and strikes White Sox Coach Buster Mills ejected by HP umpire Bill Grieve sometime in game"1950CHA.EVA.regular.comment.csv",40

"CHA195009042",42,"$Mike Garcia struck on left shin by line drive"1950CHA.EVA.regular.comment.csv",41

"CHA195009070",63,"pbp account ends here, rest deduced"1950CHA.EVA.regular.comment.csv",42

"CHA195009090",28,"$Hoot Evers rounded 1B too far"1950CHA.EVA.regular.comment.csv",43

"CHA195009200",61,"pbp account ends here, rest deduced"1950CHA.EVA.regular.comment.csv",44

