"PHI193305102",45,"ej,grang102,P,stard901,Call at 1B George Grantham ejected by 1B umpire Dolly Stark","FILENAME_TX","LINE_NUMBER_CT"
"PHI193305300",54,"$Game called due to rain Game 2 of scheduled doubleheader postponed","1933PHI.EVN.regular.comment.csv",2
"PHI193306020",79,"pbp account ends here, rest deduced","1933PHI.EVN.regular.comment.csv",3
"PHI193306120",51,"$Dick Bartell left with injured hand from line drive","1933PHI.EVN.regular.comment.csv",4
"PHI193306281",78,"ej,campg101,P,morac102,Bench jockeying Gilly Campbell ejected by 1B umpire Charlie Moran","1933PHI.EVN.regular.comment.csv",5
"PHI193307291",90,"$Al Todd spiked by Sam Leslie","1933PHI.EVN.regular.comment.csv",6
"PHI193308242",78,"ej,bartd101,P,powej901,Call at 2B Dick Bartell ejected by 1B umpire Jack Powell","1933PHI.EVN.regular.comment.csv",7
"PHI193309231",54,"ej,mckeb101,M,stard901,Call at 2B $Boston manager McKechnie ejected by 1B umpire Stark for arguing call at 2B","1933PHI.EVN.regular.comment.csv",8
"PHI193309260",42,"$Lonny Frey called for interference for running into his own batted ball","1933PHI.EVN.regular.comment.csv",9
