"PIT196904120",67,"Debut game for Jose Martinez"FILENAME_TX","LINE_NUMBER_CT"

"PIT196904130",73,"Count missing"1969PIT.EVN.regular.comment.csv",2

"PIT196904221",33,"$Al Oliver injured chasing a foul ball hit by Ernie Banks"1969PIT.EVN.regular.comment.csv",3

"PIT196904221",71,"ej,durol101,M,olsea901,Balls and strikes $Cubs manager Durocher ejected by HP umpire Olsen for arguing ball called to Alou"1969PIT.EVN.regular.comment.csv",4

"PIT196904222",19,"No pitches for this half inning"1969PIT.EVN.regular.comment.csv",5

"PIT196904222",64,"No pitches from this point"1969PIT.EVN.regular.comment.csv",6

"PIT196904250",79,"$Willie Stargell out for passing Roberto Clemente"1969PIT.EVN.regular.comment.csv",7

"PIT196904260",51,"466 feet"1969PIT.EVN.regular.comment.csv",8

"PIT196904270",41,"400 feet"1969PIT.EVN.regular.comment.csv",9

"PIT196904270",44,"400 feet"1969PIT.EVN.regular.comment.csv",10

"PIT196905060",12,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",11

"PIT196905060",29,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",12

"PIT196905060",48,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",13

"PIT196905060",57,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",14

"PIT196905060",59,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",15

"PIT196905060",60,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",16

"PIT196905060",61,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",17

"PIT196905060",65,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",18

"PIT196905060",71,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",19

"PIT196905070",8,"53 minute rain delay between innings"1969PIT.EVN.regular.comment.csv",20

"PIT196905070",9,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",21

"PIT196905070",17,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",22

"PIT196905070",22,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",23

"PIT196905070",26,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",24

"PIT196905070",39,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",25

"PIT196905070",42,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",26

"PIT196905070",50,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",27

"PIT196905070",57,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",28

"PIT196905070",71,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",29

"PIT196905302",66,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",30

"PIT196905302",76,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",31

"PIT196905302",79,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",32

"PIT196905302",86,"Debut game for Lou Marone"1969PIT.EVN.regular.comment.csv",33

"PIT196905310",8,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",34

"PIT196905310",13,"$Missed suicide squeeze"1969PIT.EVN.regular.comment.csv",35

"PIT196905310",17,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",36

"PIT196905310",19,"TJR: could be swapped with single in the 7th"1969PIT.EVN.regular.comment.csv",37

"PIT196905310",23,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",38

"PIT196905310",27,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",39

"PIT196905310",40,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",40

"PIT196905310",46,"TJR: could be swapped with single in the 1st"1969PIT.EVN.regular.comment.csv",41

"PIT196906010",75,"$Wade Blasingame struck on the knee; carried from the field on a stretcher"1969PIT.EVN.regular.comment.csv",42

"PIT196906140",19,"Debut game for Johnny Jeter"1969PIT.EVN.regular.comment.csv",43

"PIT196906150",24,"$Bob Moose hurt his leg; replaced mid-count"1969PIT.EVN.regular.comment.csv",44

"PIT196906160",60,"no pitches for rest of half-inning"1969PIT.EVN.regular.comment.csv",45

"PIT196906171",31,"no pitches"1969PIT.EVN.regular.comment.csv",46

"PIT196906171",32,"no pitches"1969PIT.EVN.regular.comment.csv",47

"PIT196906171",48,"ej,jetej101,P,varge901,Call at HP $Jeter ejected by HP umpire Vargo for arguing he was safe"1969PIT.EVN.regular.comment.csv",48

"PIT196906172",1,"Debut game for Gene Garber"1969PIT.EVN.regular.comment.csv",49

"PIT196906172",28,"no pitches"1969PIT.EVN.regular.comment.csv",50

"PIT196906180",63,"no pitches"1969PIT.EVN.regular.comment.csv",51

"PIT196906180",73,"no pitches for next three hitters"1969PIT.EVN.regular.comment.csv",52

"PIT196906180",85,"no pitches"1969PIT.EVN.regular.comment.csv",53

"PIT196907010",51,"$the ball struck 1B umpire Frank Dezelan"1969PIT.EVN.regular.comment.csv",54

"PIT196907080",33,"TJR: at some point after Jones' error, Staub made one. TJR: assuming it's a FLE.  Placement is a guess."1969PIT.EVN.regular.comment.csv",55

"PIT196907092",29,"400 ft"1969PIT.EVN.regular.comment.csv",56

"PIT196907092",42,"TJR: the IW might also have been in the 1st."1969PIT.EVN.regular.comment.csv",57

"PIT196907100",36,"$Jerry May hit on throat by foul ball"1969PIT.EVN.regular.comment.csv",58

"PIT196907240",12,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",59

"PIT196907240",21,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",60

"PIT196907240",25,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",61

"PIT196907240",37,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",62

"PIT196907240",38,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",63

"PIT196907240",50,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",64

"PIT196907240",53,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",65

"PIT196907240",55,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",66

"PIT196907240",66,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",67

"PIT196907240",79,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",68

"PIT196907250",4,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",69

"PIT196907250",18,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",70

"PIT196907250",24,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",71

"PIT196907250",33,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",72

"PIT196907250",38,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",73

"PIT196907250",41,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",74

"PIT196907250",60,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",75

"PIT196907250",68,"TJR: placement a guess."1969PIT.EVN.regular.comment.csv",76

"PIT196907270",7,"TJR: Placement a guess."1969PIT.EVN.regular.comment.csv",77

"PIT196907270",14,"TJR: Placement a guess."1969PIT.EVN.regular.comment.csv",78

"PIT196907270",17,"TJR: might be swapped with the HP in the 7th."1969PIT.EVN.regular.comment.csv",79

"PIT196907270",40,"TJR: Placement a guess."1969PIT.EVN.regular.comment.csv",80

"PIT196907292",59,"ej,shepl801,M,burkk101,Balls and strikes $Pirates manager Shepard ejected by HP umpire Burkhart while changing pitchers for arguing balls and strikes"1969PIT.EVN.regular.comment.csv",81

"PIT196908190",25,"1:15 rain delay sometime in fourth"1969PIT.EVN.regular.comment.csv",82

"PIT196908190",58,"$over the roof"1969PIT.EVN.regular.comment.csv",83

"PIT196908200",2,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",84

"PIT196908200",3,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",85

"PIT196908200",5,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",86

"PIT196908200",6,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",87

"PIT196908200",9,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",88

"PIT196908200",14,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",89

"PIT196908200",15,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",90

"PIT196908200",24,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",91

"PIT196908200",38,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",92

"PIT196908200",43,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",93

"PIT196908200",45,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",94

"PIT196908200",48,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",95

"PIT196908200",50,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",96

"PIT196908200",62,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",97

"PIT196908240",52,"$Freddie Patek called for interference for running into his own batted ball"1969PIT.EVN.regular.comment.csv",98

"PIT196908260",29,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",99

"PIT196908260",49,"$Gene Alley left with jammed left shoulder"1969PIT.EVN.regular.comment.csv",100

"PIT196908260",55,"TJR: placement a guess"1969PIT.EVN.regular.comment.csv",101

"PIT196908260",79,"$Ron Reed left with a blood blister on the 3rd finger of right hand"1969PIT.EVN.regular.comment.csv",102

"PIT196908280",54,"$first pitch by Bruce DalCanton"1969PIT.EVN.regular.comment.csv",103

"PIT196909101",31,"Debut game for Frank Brosseau"1969PIT.EVN.regular.comment.csv",104

"PIT196909102",25,"$Failed suicide squeeze"1969PIT.EVN.regular.comment.csv",105

"PIT196909110",44,"$Mike Shannon rounded 1B too far"1969PIT.EVN.regular.comment.csv",106

"PIT196909121",41,"$Donn Clendenon rounded 2B too far"1969PIT.EVN.regular.comment.csv",107

"PIT196909130",53,"missing play in PIT196909130"1969PIT.EVN.regular.comment.csv",108

"PIT196909130",72,"Debut game for Dave Cash"1969PIT.EVN.regular.comment.csv",109

"PIT196909251",33,"$Mike Ryan left with injured left knee"1969PIT.EVN.regular.comment.csv",110

"PIT196910020",20,"missing play in PIT196910020"1969PIT.EVN.regular.comment.csv",111

"PIT196910020",24,"$Al Oliver sick with food poisoning"1969PIT.EVN.regular.comment.csv",112

