"CHA194104290",31,"Kreevich fumbled","FILENAME_TX","LINE_NUMBER_CT"
"CHA194104290",41,"Hit & run","1941CHA.EVA.regular.comment.csv",2
"CHA194104290",43,"$Kuhel tried to score when Ferrell's throw hit Lodigiani","1941CHA.EVA.regular.comment.csv",3
"CHA194104300",41,"Smith threw into CF trying to double Ferrell off 2B. Ferrell went to 3B without tagging up.","1941CHA.EVA.regular.comment.csv",4
"CHA194104300",67,"Chase kicked it out of the infield","1941CHA.EVA.regular.comment.csv",5
"CHA194105010",41,"Hit & run","1941CHA.EVA.regular.comment.csv",6
"CHA194105020",47,"$Mike Kreevich run down on attempted double steal but Larry Rosenthal scored before the out","1941CHA.EVA.regular.comment.csv",7
"CHA194105302",26,"$Moose Solters fell rounding 1B, injuring his left arm","1941CHA.EVA.regular.comment.csv",8
"CHA194105310",60,"$Hallett out on interference; Lucadello injured","1941CHA.EVA.regular.comment.csv",9
"CHA194106100",59,"play by play account ends here, rest dedcued from NY Times and Chicago Tribune","1941CHA.EVA.regular.comment.csv",10
"CHA194107020",13,"$Dietrich and Mullin collided at first; Dietrich sustained a minor leg injury and Mullins left with dislocated shoulder","1941CHA.EVA.regular.comment.csv",11
"CHA194107020",57,"$Dietrich bruised right thumb while trying to funt","1941CHA.EVA.regular.comment.csv",12
"CHA194107050",71,"ej,dykej101,M,basis901,Interference non-call $Beau Bell hit a foul the RF line that landed untouched near the Indians bullpen; White Sox Manager Jimmy Dykes claimed that the Indians players interfered with Taffy Wright's attempt to catch the ball; Dykes ejected by 3B umpire Steve Basil","1941CHA.EVA.regular.comment.csv",13
"CHA194107060",29,"$on an attempted squeeze play, Taffy Wright was caught off 3B but all three runners advanced safely","1941CHA.EVA.regular.comment.csv",14
"CHA194107120",3,"ej,tresm101,P,pipgg101,Arguing balls and strikes $Tresh was ejected by Umpire Pipgras for arguing balls and strikes","1941CHA.EVA.regular.comment.csv",15
"CHA194107150",20,"$missed squeeze play","1941CHA.EVA.regular.comment.csv",16
"CHA194107170",59,"$the ball struck Bob Kennedy on the face","1941CHA.EVA.regular.comment.csv",17
"CHA194107180",17,"$Turner missed 1b on apparent D","1941CHA.EVA.regular.comment.csv",18
"CHA194108111",67,"ej,kuhej101,P,quinj901,Fighting ej,aukee101,P,quinj901,Fighting ej,straa102,P,quinj901,Fighting $Kuhel felt that Auker had hit him intentionally in the shoulder and jawed at Auker as he went to first base; Auker charged him as he neared the base and Kuhel punched Auker in the cheekbone; a 'dozen blows' were exchanged before Coach Mule Haas and Pitcher Ed Smith pulled Auker away; utility infielder Alan Strange left the Browns bench to join the fight; Kuhel challenged Auker to meet him under the stands to continue the fight and umpire Quinn ordered Auker taken into protective police custody; Kuhel, Auker, and Strange were ejected by Quinn","1941CHA.EVA.regular.comment.csv",19
"CHA194108150",58,"ej,peckr101,M,hubbc901,Obstruction call $Taffy Wright collided with Hal Trosky while rounding 1B; Trosky called for obstruction; Indians Manager Roger Peckinpaugh ejected by 1B umpire Cal Hubbard","1941CHA.EVA.regular.comment.csv",20
"CHA194108171",43,"$Hal Trosky injured in a collision with Ted Lyons","1941CHA.EVA.regular.comment.csv",21
"CHA194108172",13,"$Taffy Wright picked off 1B","1941CHA.EVA.regular.comment.csv",22
"CHA194108191",46,"$Shortstop apparently dropped pop fly and left fielder alertly picked it up to get force at third","1941CHA.EVA.regular.comment.csv",23
"CHA194108220",20,"$Knickerbocker failed to cover second on Tresh's throw, which went into CF, with Knickerbocker being charged the error.","1941CHA.EVA.regular.comment.csv",24
"CHA194108242",8,"$Myril Hoag injured his leg running to 2B","1941CHA.EVA.regular.comment.csv",25
"CHA194108242",12,"$Moose Solters caused ran to the occupied 2B; Mike Kreevich left 3B and was run down","1941CHA.EVA.regular.comment.csv",26
"CHA194108270",3,"Kennedy let throw get away","1941CHA.EVA.regular.comment.csv",27
"CHA194108270",80,"Solters fumbled","1941CHA.EVA.regular.comment.csv",28
"CHA194109050",49,"$RRoss left with pulled side muscle","1941CHA.EVA.regular.comment.csv",29
