"KCA201804090",19,"$Royals challenged call that Moustakas was out at first; call was overturned - safe for single"FILENAME_TX","LINE_NUMBER_CT"

"KCA201804100",44,"$Mariners chalennged call that Marjama was out at 2nd; call was upheld - out on caught stealing"2018KCA.EVA.regular.comment.csv",2

"KCA201804240",26,"$Ian Kennedy left game with injured foot"2018KCA.EVA.regular.comment.csv",3

"KCA201804240",67,"$Eric Thames hurt left thumb diving for ball hit by Moustakeas; he left game in 9th and had surgery for torn ligament on April 28"2018KCA.EVA.regular.comment.csv",4

"KCA201804260",20,"$originally scored as E6, changed to single on 05-08-2018"2018KCA.EVA.regular.comment.csv",5

"KCA201804260",56,"$Royals challenged call that Anderson was safe at 1st; call was overturned - out at first to complete double play"2018KCA.EVA.regular.comment.csv",6

"KCA201804282",7,"$originally scored as E7; changed to single on 05-01-2018, making all runs in inning earned"2018KCA.EVA.regular.comment.csv",7

"KCA201805030",56,"$Miguel Cabrera left with injured leg"2018KCA.EVA.regular.comment.csv",8

"KCA201805040",35,"$Tigers challenged call that Duda was safe at 1st; call was overturned - double play"2018KCA.EVA.regular.comment.csv",9

"KCA201805040",48,"$Royals challenged call that McCann was safe at 2ndl call was overturned - out on caught stealing"2018KCA.EVA.regular.comment.csv",10

"KCA201805140",55,"$Rays challenged call that Gomez was out at first; call was upheld - out at first after strikeout"2018KCA.EVA.regular.comment.csv",11

"KCA201805150",38,"$Matt Duffy left with an injured leg"2018KCA.EVA.regular.comment.csv",12

"KCA201805150",47,"$Carlos Gomez left with an injured groin"2018KCA.EVA.regular.comment.csv",13

"KCA201805190",48,"$Royals challeng3d call that Moustakas was out at home; call was upheld - out at home"2018KCA.EVA.regular.comment.csv",14

"KCA201805190",64,"$Yankees challenged call that Soler was safe at first; call was overturned - ground out"2018KCA.EVA.regular.comment.csv",15

"KCA201805190",79,"$Yankees challenged call that Dozier was safe at 2nd on wild pitch; call was overturned - out advancing"2018KCA.EVA.regular.comment.csv",16

"KCA201805280",75,"$Royals challenged call that 5th pitch to Escobar was a ball, claiming it hit him; call was overturned - hit by pitch"2018KCA.EVA.regular.comment.csv",17

"KCA201805300",24,"$Umpire review; call was upheld - double not home run"2018KCA.EVA.regular.comment.csv",18

"KCA201806020",17,"$Royals challenged call taht Goins was out at first; call was overturned - safe on single"2018KCA.EVA.regular.comment.csv",19

"KCA201806020",41,"$Matt Joyce left with an injured back"2018KCA.EVA.regular.comment.csv",20

"KCA201806030",43,"$Daniel Gossett left with an injured elbow"2018KCA.EVA.regular.comment.csv",21

"KCA201806150",51,"$Jorge Soler left with an injured foot"2018KCA.EVA.regular.comment.csv",22

"KCA201806150",60,"$Astros challenged call that Reddick was out at first; call was overturned - single"2018KCA.EVA.regular.comment.csv",23

"KCA201806150",70,"$Astros challenged call that Springer was out at 1st; call was upheld - double play"2018KCA.EVA.regular.comment.csv",24

"KCA201806160",57,"$Royals challenged call that Bregman was safe at first; call was overturned - ground out"2018KCA.EVA.regular.comment.csv",25

"KCA201806170",20,"$Merrifield left the game due to an injured knee"2018KCA.EVA.regular.comment.csv",26

"KCA201806170",28,"ej,mousm001,P,tumpj901,Call at HP $Moustakas ejected by HP umpire Tumpane for arguing he was out at home; call was challenged by Royals and upheld"2018KCA.EVA.regular.comment.csv",27

"KCA201806170",48,"ej,duffd001,P,tumpj901,Arguing play at home $Royals' pitcher Danny Duffy ejected from dugout by plate umpire Tumpan for contuing argument about call on Moustakas in 3rd"2018KCA.EVA.regular.comment.csv",28

"KCA201806180",56,"$Rangers challenged call that DeShields was out at 2nd; call was upheld - out advancing"2018KCA.EVA.regular.comment.csv",29

"KCA201806190",25,"$Run scored by Profar originally earned; changed to unearned on 06-20-2018"2018KCA.EVA.regular.comment.csv",30

"KCA201806200",64,"ej,escoa003,P,fairc901,Arguing called third strike $Escobar ejected by plate umpire Fairchild for arguing called third strike"2018KCA.EVA.regular.comment.csv",31

"KCA201807020",9,"Mound Visit"2018KCA.EVA.regular.comment.csv",32

"KCA201807020",22,"Mound Visit"2018KCA.EVA.regular.comment.csv",33

"KCA201807020",48,"Mound Visit"2018KCA.EVA.regular.comment.csv",34

"KCA201807020",49,"Mound Visit"2018KCA.EVA.regular.comment.csv",35

"KCA201807020",57,"Mound Visit"2018KCA.EVA.regular.comment.csv",36

"KCA201807030",12,"Mound Visit"2018KCA.EVA.regular.comment.csv",37

"KCA201807030",22,"Mound Visit"2018KCA.EVA.regular.comment.csv",38

"KCA201807030",34,"Mound Visit"2018KCA.EVA.regular.comment.csv",39

"KCA201807030",53,"Mound Visit"2018KCA.EVA.regular.comment.csv",40

"KCA201807030",72,"Mound Visit"2018KCA.EVA.regular.comment.csv",41

"KCA201807030",75,"Mound Visit"2018KCA.EVA.regular.comment.csv",42

"KCA201807030",76,"$Indians challenged call that Perez was safe at home; call was overturned - out trying to score"2018KCA.EVA.regular.comment.csv",43

"KCA201807030",77,"Injury Delay"2018KCA.EVA.regular.comment.csv",44

"KCA201807030",83,"Mound Visit"2018KCA.EVA.regular.comment.csv",45

"KCA201807040",11,"Mound Visit"2018KCA.EVA.regular.comment.csv",46

"KCA201807040",20,"$Orignally scored as double steal, changed to caught stealing of home with dropped catch error at 2nd, making run unearned"2018KCA.EVA.regular.comment.csv",47

"KCA201807040",45,"Mound Visit"2018KCA.EVA.regular.comment.csv",48

"KCA201807040",54,"Mound Visit"2018KCA.EVA.regular.comment.csv",49

"KCA201807040",62,"Mound Visit $Indians challenged call that Ramirez was out at second; call was overturned - stolen base"2018KCA.EVA.regular.comment.csv",50

"KCA201807040",67,"Mound Visit"2018KCA.EVA.regular.comment.csv",51

"KCA201807040",73,"Mound Visit"2018KCA.EVA.regular.comment.csv",52

"KCA201807060",6,"Mound Visit"2018KCA.EVA.regular.comment.csv",53

"KCA201807060",17,"Mound Visit"2018KCA.EVA.regular.comment.csv",54

"KCA201807060",24,"Mound Visit"2018KCA.EVA.regular.comment.csv",55

"KCA201807060",73,"Mound Visit"2018KCA.EVA.regular.comment.csv",56

"KCA201807070",27,"Injury Delay"2018KCA.EVA.regular.comment.csv",57

"KCA201807070",34,"Mound Visit"2018KCA.EVA.regular.comment.csv",58

"KCA201807070",40,"Mound Visit"2018KCA.EVA.regular.comment.csv",59

"KCA201807070",42,"Mound Visit"2018KCA.EVA.regular.comment.csv",60

"KCA201807070",43,"Mound Visit"2018KCA.EVA.regular.comment.csv",61

"KCA201807070",50,"Mound Visit"2018KCA.EVA.regular.comment.csv",62

"KCA201807070",52,"Mound Visit"2018KCA.EVA.regular.comment.csv",63

"KCA201807070",60,"Mound Visit"2018KCA.EVA.regular.comment.csv",64

"KCA201807070",63,"Mound Visit"2018KCA.EVA.regular.comment.csv",65

"KCA201807070",67,"Mound Visit"2018KCA.EVA.regular.comment.csv",66

"KCA201807070",76,"Injury Delay"2018KCA.EVA.regular.comment.csv",67

"KCA201807070",81,"Injury Delay"2018KCA.EVA.regular.comment.csv",68

"KCA201807070",86,"Injury Delay"2018KCA.EVA.regular.comment.csv",69

"KCA201807070",89,"Mound Visit"2018KCA.EVA.regular.comment.csv",70

"KCA201807080",6,"$Red Sox challenged call that Merrifield returned safely to to first; call was upheld - safe at first"2018KCA.EVA.regular.comment.csv",71

"KCA201807080",35,"Mound Visit"2018KCA.EVA.regular.comment.csv",72

"KCA201807080",39,"Mound Visit"2018KCA.EVA.regular.comment.csv",73

"KCA201807080",41,"Mound Visit"2018KCA.EVA.regular.comment.csv",74

"KCA201807080",57,"Mound Visit"2018KCA.EVA.regular.comment.csv",75

"KCA201807080",59,"Mound Visit"2018KCA.EVA.regular.comment.csv",76

"KCA201807080",64,"Mound Visit"2018KCA.EVA.regular.comment.csv",77

"KCA201807080",78,"Mound Visit"2018KCA.EVA.regular.comment.csv",78

"KCA201807080",81,"Mound Visit"2018KCA.EVA.regular.comment.csv",79

"KCA201807080",84,"Mound Visit"2018KCA.EVA.regular.comment.csv",80

"KCA201807200",43,"Mound Visit"2018KCA.EVA.regular.comment.csv",81

"KCA201807200",49,"Mound Visit"2018KCA.EVA.regular.comment.csv",82

"KCA201807200",71,"Mound Visit"2018KCA.EVA.regular.comment.csv",83

"KCA201807200",75,"Mound Visit"2018KCA.EVA.regular.comment.csv",84

"KCA201807210",25,"Mound Visit"2018KCA.EVA.regular.comment.csv",85

"KCA201807210",31,"Mound Visit"2018KCA.EVA.regular.comment.csv",86

"KCA201807210",52,"Mound Visit"2018KCA.EVA.regular.comment.csv",87

"KCA201807210",65,"Mound Visit"2018KCA.EVA.regular.comment.csv",88

"KCA201807210",68,"Mound Visit"2018KCA.EVA.regular.comment.csv",89

"KCA201807220",15,"$Twins challenged call that ball hit by Cave was caught, claiming a trap; call was upheld - fly out"2018KCA.EVA.regular.comment.csv",90

"KCA201807220",50,"Mound Visit"2018KCA.EVA.regular.comment.csv",91

"KCA201807220",54,"Mound Visit"2018KCA.EVA.regular.comment.csv",92

"KCA201807230",6,"$Originally scored as single, changed to error on 08-01-2018, making both runs in inning unearned"2018KCA.EVA.regular.comment.csv",93

"KCA201807230",10,"Mound Visit"2018KCA.EVA.regular.comment.csv",94

"KCA201807230",15,"Mound Visit"2018KCA.EVA.regular.comment.csv",95

"KCA201807230",39,"$Royals challenged call that Iglesias was safe at first; call was overturned - ground out"2018KCA.EVA.regular.comment.csv",96

"KCA201807230",43,"Mound Visit"2018KCA.EVA.regular.comment.csv",97

"KCA201807230",50,"Injury Delay Mound Visit"2018KCA.EVA.regular.comment.csv",98

"KCA201807230",55,"Mound Visit"2018KCA.EVA.regular.comment.csv",99

"KCA201807230",56,"Mound Visit"2018KCA.EVA.regular.comment.csv",100

"KCA201807230",59,"$Originally scored as single, changed to error on 07-24-2018, removing RBI; run still unearned"2018KCA.EVA.regular.comment.csv",101

"KCA201807230",62,"Mound Visit"2018KCA.EVA.regular.comment.csv",102

"KCA201807230",64,"Mound Visit"2018KCA.EVA.regular.comment.csv",103

"KCA201807240",52,"Mound Visit"2018KCA.EVA.regular.comment.csv",104

"KCA201807240",53,"Mound Visit"2018KCA.EVA.regular.comment.csv",105

"KCA201807240",67,"Mound Visit"2018KCA.EVA.regular.comment.csv",106

"KCA201807250",35,"Mound Visit"2018KCA.EVA.regular.comment.csv",107

"KCA201807250",45,"Mound Visit"2018KCA.EVA.regular.comment.csv",108

"KCA201807250",52,"Mound Visit"2018KCA.EVA.regular.comment.csv",109

"KCA201807250",54,"Mound Visit"2018KCA.EVA.regular.comment.csv",110

"KCA201807250",76,"Mound Visit"2018KCA.EVA.regular.comment.csv",111

"KCA201808060",36,"Mound Visit"2018KCA.EVA.regular.comment.csv",112

"KCA201808060",43,"Injury Delay"2018KCA.EVA.regular.comment.csv",113

"KCA201808060",49,"Injury Delay"2018KCA.EVA.regular.comment.csv",114

"KCA201808060",54,"Mound Visit"2018KCA.EVA.regular.comment.csv",115

"KCA201808060",60,"Mound Visit"2018KCA.EVA.regular.comment.csv",116

"KCA201808060",62,"Mound Visit"2018KCA.EVA.regular.comment.csv",117

"KCA201808070",41,"$Ben Zobrist left with an injured hip"2018KCA.EVA.regular.comment.csv",118

"KCA201808070",56,"Mound Visit"2018KCA.EVA.regular.comment.csv",119

"KCA201808080",1,"Injury Delay"2018KCA.EVA.regular.comment.csv",120

"KCA201808080",16,"Mound Visit"2018KCA.EVA.regular.comment.csv",121

"KCA201808080",47,"Mound Visit"2018KCA.EVA.regular.comment.csv",122

"KCA201808080",48,"Mound Visit"2018KCA.EVA.regular.comment.csv",123

"KCA201808080",53,"Mound Visit"2018KCA.EVA.regular.comment.csv",124

"KCA201808100",14,"Mound Visit"2018KCA.EVA.regular.comment.csv",125

"KCA201808100",15,"Mound Visit"2018KCA.EVA.regular.comment.csv",126

"KCA201808100",20,"$Cardinals challenged call that Bonifacio was safe at first; call was upheld - safe on error"2018KCA.EVA.regular.comment.csv",127

"KCA201808100",30,"Mound Visit"2018KCA.EVA.regular.comment.csv",128

"KCA201808100",31,"Mound Visit"2018KCA.EVA.regular.comment.csv",129

"KCA201808100",48,"Injury Delay"2018KCA.EVA.regular.comment.csv",130

"KCA201808100",48,"$Yairo Munoz left with an injured wrist"2018KCA.EVA.regular.comment.csv",131

"KCA201808100",58,"Mound Visit"2018KCA.EVA.regular.comment.csv",132

"KCA201808110",22,"Mound Visit"2018KCA.EVA.regular.comment.csv",133

"KCA201808110",41,"Mound Visit"2018KCA.EVA.regular.comment.csv",134

"KCA201808110",46,"Mound Visit ej,duffd001,P,hamaa901,Arguing check swing call $Danny Duffy ejected by 1b umpire Hamari on check swing call to Bader three pitches before home run"2018KCA.EVA.regular.comment.csv",135

"KCA201808110",64,"Injury Delay Mound Visit"2018KCA.EVA.regular.comment.csv",136

"KCA201808110",66,"Mound Visit"2018KCA.EVA.regular.comment.csv",137

"KCA201808120",7,"Mound Visit"2018KCA.EVA.regular.comment.csv",138

"KCA201808120",26,"$Cardinals challenged call that Perez was safe at home; call was upheld - safe"2018KCA.EVA.regular.comment.csv",139

"KCA201808120",42,"$Royals challenged call that Ozuna was safe at first; call was overturned - ground out"2018KCA.EVA.regular.comment.csv",140

"KCA201808120",48,"Mound Visit"2018KCA.EVA.regular.comment.csv",141

"KCA201808120",49,"Mound Visit"2018KCA.EVA.regular.comment.csv",142

"KCA201808120",50,"Mound Visit"2018KCA.EVA.regular.comment.csv",143

"KCA201808120",51,"Mound Visit"2018KCA.EVA.regular.comment.csv",144

"KCA201808120",69,"Mound Visit"2018KCA.EVA.regular.comment.csv",145

"KCA201808120",72,"Mound Visit"2018KCA.EVA.regular.comment.csv",146

"KCA201808120",76,"On-field Delay ej,webbt001,P,hamaa901,Intentional hit by pitch $Tyler Webb ejected by plate umpire Hamari for intentionally hitting Bonifacio"2018KCA.EVA.regular.comment.csv",147

"KCA201808130",30,"Mound Visit"2018KCA.EVA.regular.comment.csv",148

"KCA201808130",59,"Mound Visit"2018KCA.EVA.regular.comment.csv",149

"KCA201808140",22,"Mound Visit"2018KCA.EVA.regular.comment.csv",150

"KCA201808140",29,"Mound Visit"2018KCA.EVA.regular.comment.csv",151

"KCA201808140",40,"Mound Visit"2018KCA.EVA.regular.comment.csv",152

"KCA201808140",43,"Mound Visit"2018KCA.EVA.regular.comment.csv",153

"KCA201808140",58,"Mound Visit"2018KCA.EVA.regular.comment.csv",154

"KCA201808140",65,"Mound Visit"2018KCA.EVA.regular.comment.csv",155

"KCA201808140",72,"Mound Visit"2018KCA.EVA.regular.comment.csv",156

"KCA201808140",79,"Injury Delay"2018KCA.EVA.regular.comment.csv",157

