"TEX200604060",29,"Rangers second baseman Mark DeRosa left the game due to an injured leg","FILENAME_TX","LINE_NUMBER_CT"
"TEX200604240",37,"$Rod Barajas called for interference","2006TEX.EVA.regular.comment.csv",2
"TEX200604250",35,"Athletics right fielder Milton Bradley left the game due to an injured knee","2006TEX.EVA.regular.comment.csv",3
"TEX200604260",32,"Athletics pitcher Rich Harden left the game due to an injured back","2006TEX.EVA.regular.comment.csv",4
"TEX200605040",42,"Rangers left fielder Brad Wilkerson left the game due to an injured head","2006TEX.EVA.regular.comment.csv",5
"TEX200605100",30,"ej,showb801,M,wegnm901,Balls and strikes Rangers Manager Buck Showalter ejected by HP umpire Mark Wegner","2006TEX.EVA.regular.comment.csv",6
"TEX200605300",4,"ej,ibanr001,P,nauep901,Balls and strikes Mariners left fielder Raul Ibanez ejected by HP umpire Paul Nauert","2006TEX.EVA.regular.comment.csv",7
"TEX200606130",59,"Rangers pitcher Scott Feldman left the game due to an injured arm","2006TEX.EVA.regular.comment.csv",8
"TEX200606220",47,"ej,bochb002,M,mcclt901,Call at HP $Mark Teixeira was tagged out by catcher Josh Bard; when Bard reached up to show HP umpire Tim McClelland his mitt, the ball rolled out and McClelland ruled Teixeira safe; Padres Manager Bruce Bochy argued the call and was ejected by McClelland","2006TEX.EVA.regular.comment.csv",9
"TEX200607020",34,"Rangers pitcher Kevin Millwood left the game due to an injured arm","2006TEX.EVA.regular.comment.csv",10
"TEX200607070",22,"Twins pitcher Carlos Silva left the game due to an injured knee","2006TEX.EVA.regular.comment.csv",11
"TEX200607240",0,"Rangers managed by bench coach Don Wakamatsu as Mgr Buck Showalter still out due to irregular heartbeat","2006TEX.EVA.regular.comment.csv",12
"TEX200607300",59,"Royals pitcher Brandon Duckworth left the game due to an injured elbow","2006TEX.EVA.regular.comment.csv",13
"TEX200608110",45,"Rangers pitcher Kip Wells left the game due to an injured foot/ankle","2006TEX.EVA.regular.comment.csv",14
"TEX200608150",39,"ej,padiv001,P,wendh902,Intentional HBP ej,showb801,M,wendh902,Intentional HBP Rangers pitcher Vicente Padilla and Mgr Buck Showalter ejected by HP umpire Hunter Wendelstedt","2006TEX.EVA.regular.comment.csv",15
"TEX200608160",69,"Gregg's pitch went well behind Kinsler; both sides warned","2006TEX.EVA.regular.comment.csv",16
"TEX200608160",71,"ej,gregk001,P,holbs901,Intentional HBP ej,sciom001,M,holbs901,Intentional HBP Angels pitcher Kevin Gregg & Mgr Mike Scioscia ejected by HP umpire Sam Holbrook","2006TEX.EVA.regular.comment.csv",17
"TEX200608160",72,"ej,donnb001,P,holbs901,Intentional HBP ej,roenr001,C,holbs901,Intentional HBP Angels pitcher Brendan Donnelly & Bench coach Ron Roenicke ejected by HP umpire Sam Holbrook","2006TEX.EVA.regular.comment.csv",18
"TEX200608160",76,"ej,kenna001,P,holbs901,Charging mound after HBP ej,felds001,P,holbs901,Intentional HBP ej,showb801,M,holbs901,Intentional HBP $Adam Kennedy charged the mound, causing a bench-clearing brawl; Rangers pitcher Scott Feldman & Mgr Buck Showalter ejected by HP umpire Sam Holbrook; Angels Adam Kennedy also ejected","2006TEX.EVA.regular.comment.csv",19
"TEX200608290",21,"Orioles Corey Patterson left the game due to a sprained right shoulder after crashing into the wall making a leaping catch","2006TEX.EVA.regular.comment.csv",20
"TEX200609010",70,"Indians designated hitter Travis Hafner left the game due to an injured hand/wrist","2006TEX.EVA.regular.comment.csv",21
"TEX200609140",37,"Angels pitcher Kelvim Escobar left the game due to an injured knee","2006TEX.EVA.regular.comment.csv",22
"TEX200609180",39,"acually begins FC4.1X2(4E6)","2006TEX.EVA.regular.comment.csv",23
"TEX200609190",31,"Mariners pitcher Jarrod Washburn left the game due to an injured leg","2006TEX.EVA.regular.comment.csv",24
