"NYA194310050",31,"$Nick Etten, thinking Ray Sanders was out, threw past Bill Dickey"FILENAME_TX","LINE_NUMBER_CT"

"NYA194310060",57,"$Bill Johnson lost the high bounce in the sun"1943WS.EVE.post.comment.csv",2

"NYA194310070",59,"$Whitey Kurowski dropped ball when Johnny Lindell crashed into him"1943WS.EVE.post.comment.csv",3

"SLN194310100",63,"$Walker Cooper rounded 2B too far after beating the throw"1943WS.EVE.post.comment.csv",4

"SLN194310110",38,"$Walker Cooper left with a fractured finger"1943WS.EVE.post.comment.csv",5

