"SFN196604140",86,"Debut game for Don Mason"FILENAME_TX","LINE_NUMBER_CT"

"SFN196604150",43,"Debut game for Greg Sims"1966SFN.EVN.regular.comment.csv",2

"SFN196605040",37,"$Willie Mays passed Mel Ott: 512 homers for most in NL history"1966SFN.EVN.regular.comment.csv",3

"SFN196607100",64,"$Tommy Harper called for interference"1966SFN.EVN.regular.comment.csv",4

"SFN196607220",44,"Debut game for Joe Verbanic"1966SFN.EVN.regular.comment.csv",5

"SFN196608260",13,"$John Kennedy fouled the ball off his left foot"1966SFN.EVN.regular.comment.csv",6

"SFN196608260",71,"$Ron Fairly hit on right hand"1966SFN.EVN.regular.comment.csv",7

"SFN196609100",46,"Debut game for Rich Robertson"1966SFN.EVN.regular.comment.csv",8

"SFN196609190",74,"Debut game for Don Bosch"1966SFN.EVN.regular.comment.csv",9

