"DET195704180",64,"ej,farrk101,M,honoj901,Non-call of foul tip $Indians manager Farrell ejected by HP umpire Honochick for arguing ball called to Boone was really foul tip strike 3","FILENAME_TX","LINE_NUMBER_CT"
"DET195704210",24,"DIFF: per Det s/s Carrasquel CS; not per officials","1957DET.EVA.regular.comment.csv",2
"DET195704230",69,"check for failed SH try","1957DET.EVA.regular.comment.csv",3
"DET195705010",35,"$off Frank Lary's hip","1957DET.EVA.regular.comment.csv",4
"DET195705010",55,"$Ray Boone called for obstruction","1957DET.EVA.regular.comment.csv",5
"DET195705010",77,"$Mickey Mantle called for interference","1957DET.EVA.regular.comment.csv",6
"DET195705040",22,"ej,richp101,M,hurle901,Balls and strikes $Orioles manager Richards ejected by HP umpire Hurley for arguing strike called to Gardner","1957DET.EVA.regular.comment.csv",7
"DET195705050",33,"$Boone held near 2nd since he thought ball would be caught, but House took off from 1st and was out when he passed Boone","1957DET.EVA.regular.comment.csv",8
"DET195705060",109,"$3bman Causey injured when Wilson's ball hit him on cheek","1957DET.EVA.regular.comment.csv",9
"DET195705070",0,"$Senators manager Charlie Dressen fired before the game and replaced him with coach Cookie Lavagetto","1957DET.EVA.regular.comment.csv",10
"DET195705080",45,"$off 3B bag","1957DET.EVA.regular.comment.csv",11
"DET195705120",43,"$Into upper CF stands over 400 sign","1957DET.EVA.regular.comment.csv",12
"DET195705270",30,"$onto RF roof","1957DET.EVA.regular.comment.csv",13
"DET195705270",66,"ej,housf103,P,ricej901,Balls and strikes ej,tighj801,M,ricej901,Balls and strikes Frank House and Tigers Manager Jack Tighe ejected by HP umpire John Rice","1957DET.EVA.regular.comment.csv",14
"DET195706040",10,"$Lou Berberet left with injured hand","1957DET.EVA.regular.comment.csv",15
"DET195706050",19,"$Clint Courtney rounded 1B too far on error","1957DET.EVA.regular.comment.csv",16
"DET195706070",18,"DIFF: CS per Det s/s; not per officials $Failed hit and run","1957DET.EVA.regular.comment.csv",17
"DET195706080",11,"DIFF: CS per Det s/s; not per officials","1957DET.EVA.regular.comment.csv",18
"DET195706090",24,"ej,boonr101,P,chyln901,Fighting ej,sturt101,P,chyln901,Fighting $Tom Sturdivant's first pitch to Ray Boone sailed over his head struck his bat and glanced off his shoulder; Boone charged the mound and both benches cleared; Boone and Sturdivant ejected by HP umpire Nestor Chylak","1957DET.EVA.regular.comment.csv",19
"DET195706090",43,"$370 feet","1957DET.EVA.regular.comment.csv",20
"DET195706090",55,"$the ball struck the LF pole and caromed back onto the field; the Tigers to argued that the ball was in play","1957DET.EVA.regular.comment.csv",21
"DET195706090",72,"$Lou Sleater went into a full windup with the bases loaded; Hank Bauer tried to steal 2B, realized his mistake, and headed back to 1B; Frank House threw to 1B and Earl Torgeson threw to 3B, allowing Bill Skowron to score before the Tigers could catch Bobby Richardson in a rundown for the third out","1957DET.EVA.regular.comment.csv",22
"DET195706100",58,"$upper bleachers over 400 foor mark","1957DET.EVA.regular.comment.csv",23
"DET195706130",27,"ej,richp101,M,tabaf901,Balls and strikes $Orioles manager Richards ejected by HP umpire Tabacchi for arguing balls and strikes","1957DET.EVA.regular.comment.csv",24
"DET195706160",8,"DIFF: per Det s/s  Vernon CS; not per officials","1957DET.EVA.regular.comment.csv",25
"DET195706160",18,"DIFF: per Det s/s  White CS; not per officials","1957DET.EVA.regular.comment.csv",26
"DET195707020",43,"$Minnie Minoso argued the call at 3B and appeared to be ejected by $HP umpire Bill Summers but was allowed to remain in the game","1957DET.EVA.regular.comment.csv",27
"DET195707110",0,"20 minute rain delay before start of game","1957DET.EVA.regular.comment.csv",28
