"SDN199004200",35,"$Fred Lynn lost ball in lights"FILENAME_TX","LINE_NUMBER_CT"

"SDN199004290",61,"ej,mckej801,M,westj901,Upset lights not turned on $Padres manager McKeon ejected by HP umpire West for arguing lights were turned off for the bottom of 7th; they were ordered on for the top of the inning, but took 10 minutes to warm up, during which time the Pirates completed their inning; when the Padres came up, West ordered the lights off so they would not have an unfair advantage; McKeon objected and was ejected"1990SDN.EVN.regular.comment.csv",2

"SDN199005120",7,"$Tony Gwynn called for interference"1990SDN.EVN.regular.comment.csv",3

"SDN199005160",56,"ej,howek001,P,quicj901,Balls and strikes $Pitcher Howell ejected by HP umpire Quick for arguing balls and strikes after being removed"1990SDN.EVN.regular.comment.csv",4

"SDN199005180",11,"Debut game for Todd Hundley"1990SDN.EVN.regular.comment.csv",5

"SDN199005200",40,"$ball 4 called when Sid Fernandez went to his mouth"1990SDN.EVN.regular.comment.csv",6

"SDN199005200",48,"ej,abnes001,P,monte901,Called third strike Shawn Abner ejected by HP umpire Ed Montague after being called out on strikes and called for interference with the catcher on a stolen base attempt; Montague called the runner out"1990SDN.EVN.regular.comment.csv",7

"SDN199005310",53,"$Mike Pagliarulo hurt going to 3B"1990SDN.EVN.regular.comment.csv",8

"SDN199006040",65,"$Eric Yelding called for interference at 2B"1990SDN.EVN.regular.comment.csv",9

"SDN199006080",8,"ej,lasot101,M,bonig901,Call at 3B Dodgers manager Tommy Lasorda ejected by 3B umpire Greg Bonin"1990SDN.EVN.regular.comment.csv",10

"SDN199006290",69,"$Dwight Smith rounded 3B too far"1990SDN.EVN.regular.comment.csv",11

"SDN199006300",67,"Debut game for Rich Rodriguez"1990SDN.EVN.regular.comment.csv",12

"SDN199007030",6,"Debut game for Thomas Howard"1990SDN.EVN.regular.comment.csv",13

"SDN199007270",39,"$Andy Benes called out for running outside of base line"1990SDN.EVN.regular.comment.csv",14

"SDN199007310",53,"ej,smitl002,P,hohnb901,Balls and strikes Lonnie Smith ejected by HP umpire Bill Hohn when the fourth pitch was called a strike"1990SDN.EVN.regular.comment.csv",15

"SDN199008200",60,"$Mark Carreon tore knee ligament rounding 3B"1990SDN.EVN.regular.comment.csv",16

"SDN199009040",44,"ej,clarj001,P,darlg901,Balls and strikes Jack Clark ejected by HP umpire Gary Darling"1990SDN.EVN.regular.comment.csv",17

"SDN199009050",74,"Debut game for Mike Simms"1990SDN.EVN.regular.comment.csv",18

"SDN199009060",15,"Debut game for Paul Faries"1990SDN.EVN.regular.comment.csv",19

"SDN199009070",63,"$pitcher Charlie Liebrandt recovered ball after bounced off shinguard"1990SDN.EVN.regular.comment.csv",20

"SDN199009080",71,"$Roberto Alomar suffered injured left arm ligaments in collision with Greg Olson"1990SDN.EVN.regular.comment.csv",21

"SDN199009080",76,"$Jeff Parrett's grounder hit the bag"1990SDN.EVN.regular.comment.csv",22

"SDN199009090",93,"$winning run scored before play could be made at 1B"1990SDN.EVN.regular.comment.csv",23

