"LAN199504280",44,"Debut game for Jason Schmidt","FILENAME_TX","LINE_NUMBER_CT"
"LAN199504280",53,"Debut game for Greg Hansell","1995LAN.EVN.regular.comment.csv",2
"LAN199504290",53,"Debut game for Todd Williams","1995LAN.EVN.regular.comment.csv",3
"LAN199504300",56,"ej,lasot101,M,fordw901,Interference non-call $Dodger manager Lasorda ejected by 1B umpire Wade Ford for arguing that Kelly was running inside baseline","1995LAN.EVN.regular.comment.csv",4
"LAN199504300",75,"Debut game for Noe Munoz","1995LAN.EVN.regular.comment.csv",5
"LAN199505130",21,"$Ozzie Smith called for interference","1995LAN.EVN.regular.comment.csv",6
"LAN199505130",59,"Debut game for Felix Rodriguez","1995LAN.EVN.regular.comment.csv",7
"LAN199506230",0,"ej,baked002,M,rungp901,Balls and strikes Giants manager Dusty Baker ejected by HP umpire Paul Runge sometime in game","1995LAN.EVN.regular.comment.csv",8
"LAN199507260",40,"ej,cox-b103,M,rungp901,Balls and strikes $Braves manager Cox ejected by HP umpire Runge for arguing balls and strikes while Offerman was at bat","1995LAN.EVN.regular.comment.csv",9
"LAN199507280",62,"ej,websm001,P,darlg901,Called third strike Mitch Webster ejected by HP umpire Gary Darling","1995LAN.EVN.regular.comment.csv",10
"LAN199508100",67,"ej,karre001,P,quicj901,Called third strike $Karros ejected by HP umpire Quick for arguing called third strike","1995LAN.EVN.regular.comment.csv",11
"LAN199508100",71,"ej,mondr002,P,quicj901,Balls and strikes ej,lasot101,M,quicj901,Balls and strikes $Mondesi and Dodgers manager Lasorda ejected by HP umpire Quick for arguing balls and strikes","1995LAN.EVN.regular.comment.csv",12
"LAN199508100",71,"$Game forfeited to St. Louis as souvenir baseballs (giveaway at game) were thrown on the field three times; all individual stats count","1995LAN.EVN.regular.comment.csv",13
"LAN199508120",117,"$The pitch rolled a foot from the plate and Encarnacion picked it up with his mask. This is an automatic advance, scored an error per role 7.05(j)","1995LAN.EVN.regular.comment.csv",14
"LAN199508300",87,"Debut game for Mike Busch","1995LAN.EVN.regular.comment.csv",15
"LAN199509020",50,"Debut game for Karim Garcia","1995LAN.EVN.regular.comment.csv",16
"LAN199509020",88,"Debut game for Juan Castro","1995LAN.EVN.regular.comment.csv",17
