"CHN198204090",74,"Debut game for Gary Rajsich"FILENAME_TX","LINE_NUMBER_CT"

"CHN198204100",16,"CS may have occurred with Zachry or Wilson at bat"1982CHN.EVN.regular.comment.csv",2

"CHN198204100",50,"missing play in CHN198204100 DWS: fielding credit invented on SH"1982CHN.EVN.regular.comment.csv",3

"CHN198204100",55,"missing play in CHN198204100 DWS: fielding credit invented on SF"1982CHN.EVN.regular.comment.csv",4

"CHN198204110",16,"CS may have occurred with any of the next three at bat"1982CHN.EVN.regular.comment.csv",5

"CHN198204150",55,"PB may have occurred with any of the next three at bat"1982CHN.EVN.regular.comment.csv",6

"CHN198204230",78,"PB may have occurred with Easler or Pena at bat"1982CHN.EVN.regular.comment.csv",7

"CHN198204240",23,"$Ross Baumgarten left due to broken ring and little fingers on left hand, making diving stop on Bill Buckner's ball"1982CHN.EVN.regular.comment.csv",8

"CHN198204250",32,"CS may have occurred with Ray or Parker at bat"1982CHN.EVN.regular.comment.csv",9

"CHN198206160",57,"ej,farme101,P,harvd901,Balls and strikes $Pitcher Farmer ejected by HP umpire Harvey for arguing balls and strikes from dugout after being removed"1982CHN.EVN.regular.comment.csv",10

"CHN198206200",68,"$the ball popped from Gary Carter's glove into Al Oliver's"1982CHN.EVN.regular.comment.csv",11

"CHN198206270",62,"Debut game for Jeff Lahti"1982CHN.EVN.regular.comment.csv",12

"CHN198206290",53,"ej,morek001,P,grege901,Call at 1B Keith Moreland was ejected by 1B umpire Eric Gregg"1982CHN.EVN.regular.comment.csv",13

"CHN198207010",25,"$Larry Bowa left with back spasms"1982CHN.EVN.regular.comment.csv",14

"CHN198207010",59,"$Dave Parker left with pulled groin"1982CHN.EVN.regular.comment.csv",15

"CHN198207101",0,"43 minute rain delay before start of game"1982CHN.EVN.regular.comment.csv",16

"CHN198207102",0,"Suspend=19820711,CHI11,5,5,54 33 minute rain delay before start of game"1982CHN.EVN.regular.comment.csv",17

"CHN198207102",39,"17 minute rain delay"1982CHN.EVN.regular.comment.csv",18

"CHN198207102",45,"15 minute rain delay"1982CHN.EVN.regular.comment.csv",19

"CHN198207102",79,"suspended,19820711,CHI11,darkness $game suspended and resumed the next day"1982CHN.EVN.regular.comment.csv",20

"CHN198207150",64,"ej,bowal001,P,mcshj901,Balls and strikes Larry Bowa ejected by HP umpire John McSherry arguing the strike zone during his at bat"1982CHN.EVN.regular.comment.csv",21

"CHN198207210",52,"$Nolan Ryan left with a bruised hip"1982CHN.EVN.regular.comment.csv",22

"CHN198208030",26,"$ball stuck in the ivy"1982CHN.EVN.regular.comment.csv",23

"CHN198208040",37,"$Joel Youngblood was traded to the Expos in the fourth inning; he flew to Philadelphia and entered that game in the sixth inning; this is the day he got a hit in two cities for two teams off two future Hall of Famers: Fergie Jenkins here and Steve Carlton later"1982CHN.EVN.regular.comment.csv",24

"CHN198208050",0,"53 minute rain delay at start"1982CHN.EVN.regular.comment.csv",25

"CHN198208050",13,"$Jody Davis was hit in the head by Charlie Puleo's throw while diving back into 2B"1982CHN.EVN.regular.comment.csv",26

"CHN198208170",0,"Suspend=19820818,CHI11,1,1,102"1982CHN.EVN.regular.comment.csv",27

"CHN198208170",70,"ej,elial101,M,grege901,Call at HP Cubs manager Lee Elia ejected by HP umpire Eric Gregg"1982CHN.EVN.regular.comment.csv",28

"CHN198208170",75,"ej,johnj002,P,grege901,Balls and strikes Jay Johnstone ejected by HP umpire Eric Gregg arguing balls and strikes during his at bat"1982CHN.EVN.regular.comment.csv",29

"CHN198208170",142,"suspended,19820818,CHI11,darkness Game suspended for darkness at 6:45 PM and completed the next day"1982CHN.EVN.regular.comment.csv",30

"CHN198208170",151,"ej,vukoj101,C,grege901,Balls and strikes Cubs coach John Vukovich ejected by HP umpire Eric Gregg"1982CHN.EVN.regular.comment.csv",31

"CHN198208170",159,"ej,cey-r001,P,palld901,Call at 1B (Bumped umpire) ej,lasot101,M,palld901,Call at 1B Ron Cey ejected by 1B umpire Dave Pallone for pushing the umpire arguing the call on the pickoff; Dodgers manager Tommy Lasorda also ejected by Pallone"1982CHN.EVN.regular.comment.csv",32

"CHN198209060",66,"Debut game for Alejandro Sanchez"1982CHN.EVN.regular.comment.csv",33

"CHN198209080",24,"ej,corrp102,M,grege901,Balls and strikes $Phillies manager Corrales ejected by HP umpire Gregg for arguing balls and strikes after Durham walked"1982CHN.EVN.regular.comment.csv",34

"CHN198209120",52,"ej,bowal001,P,mcshj901,Balls and strikes ej,davij001,P,mcshj901,Balls and strikes ej,elial101,M,mcshj901,Balls and strikes $Jody Davis, Larry Bowa and Cubs manager Lee Elia ejected by HP umpire John McSherry; Davis argued with McSherry while catching about the strike zone"1982CHN.EVN.regular.comment.csv",35

"CHN198209200",64,"Debut game for Junior Ortiz"1982CHN.EVN.regular.comment.csv",36

"CHN198210030",16,"$Pat Tabler called for interference on the steal attempt"1982CHN.EVN.regular.comment.csv",37

