"SEA199604060",73,"Debut game for Mike Potts"FILENAME_TX","LINE_NUMBER_CT"

"SEA199604220",66,"Debut game for Andy Sheets"1996SEA.EVA.regular.comment.csv",2

"SEA199605020",0,"Suspend=19960503,,6,3,40"1996SEA.EVA.regular.comment.csv",3

"SEA199605020",58,"suspended,19960503,SEA02,earthquake $Earthquake of magnitide 5.4 at 9:04 PM, reported as 30 seconds of shaking. Game suspended at 9:12 PM. Game resumed on May 3 at 5:35 PM before regularly scheduled game."1996SEA.EVA.regular.comment.csv",4

"SEA199605060",60,"$Joey Cora called for interference"1996SEA.EVA.regular.comment.csv",5

"SEA199605250",1,"Debut game for Ramiro Mendoza"1996SEA.EVA.regular.comment.csv",6

"SEA199605280",0,"Debut for umpire Ray DiMuro"1996SEA.EVA.regular.comment.csv",7

"SEA199606140",19,"Debut game for Manny Martinez"1996SEA.EVA.regular.comment.csv",8

"SEA199606150",76,"ej,philt001,P,koscg901,Called third strike Tony Phillips ejected by HP umpire Greg Kosc"1996SEA.EVA.regular.comment.csv",9

"SEA199606160",81,"ej,philt001,P,clara901,Balls and strikes Tony Phillips ejected by HP umpire Al Clark"1996SEA.EVA.regular.comment.csv",10

"SEA199606300",28,"ej,oatej101,M,barrt901,Balls and strikes Rangers manager Johnny Oates ejected by HP umpire Ted Barrett"1996SEA.EVA.regular.comment.csv",11

"SEA199607110",109,"Debut game for Mike Holtz"1996SEA.EVA.regular.comment.csv",12

"SEA199608260",28,"ej,pinil001,M,merrd901,HR reversal to double $Mariners manager Piniella ejected by 3B umpire Merrill after Martinez apparent home run was changed to double on on fan interference"1996SEA.EVA.regular.comment.csv",13

"SEA199608280",67,"ej,oneip001,P,roe-r901,Bench-clearing brawl ej,marzj001,P,roe-r901,Bench-clearing brawl ej,strad001,P,roe-r901,Bench-clearing brawl ej,ayalb002,P,roe-r901,Bench-clearing brawl ej,bosic001,P,roe-r901,Bench-clearing brawl $the first pitch by Tim Davis buzzed Paul O'Neill; O'Neill and catcher John Marzano exchanged words and then shoves; both benches emptied for a 10-minute delay; O'Neill, Marzano, Darryl Strawberry, Bobby Ayala and Chris Bosio ejected by HP umpire Rocky Roe"1996SEA.EVA.regular.comment.csv",14

"SEA199608280",71,"ej,nelsj001,P,roe-r901,Intentional HBP Jeff Nelson ejected by HP umpire Rocky Roe"1996SEA.EVA.regular.comment.csv",15

"SEA199608280",79,"Debut game for Greg McCarthy"1996SEA.EVA.regular.comment.csv",16

"SEA199609020",0,"ej,pinil001,M,cobld901,Claiming opposing 3B coach touched runner Mariners manager Lou Piniella ejected by 2B umpire Drew Coble sometime in game"1996SEA.EVA.regular.comment.csv",17

"SEA199609190",38,"ej,cookd001,P,johnm901,Balls and strikes $Pitchers Cook ejected by HP umpire Johnson for arguing balls and strikes after he was removed from game"1996SEA.EVA.regular.comment.csv",18

